"comparison","GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","size_category","genomic_position","gene_biotype_simple","IncLevelDifference","FDR"
"KO_vs_Parental","ENSMUSG00000009995","Tafazzin","chrX",73332534,73332625,91,"Regular (>50bp)","CDS","protein_coding",-0.468,0
"KO_vs_Parental","ENSMUSG00000009995","Tafazzin","chrX",73332589,73332625,36,"Small (30-50bp)","CDS","protein_coding",-0.507,0
"KO_vs_Parental","ENSMUSG00000024858","Grk2","chr19",4338439,4338535,96,"Regular (>50bp)","CDS","protein_coding",-0.13,0
"KO_vs_Parental","ENSMUSG00000031310","Zmym3","chrX",100461878,100462558,680,"Regular (>50bp)","CDS","protein_coding",-0.175,0
"KO_vs_Parental","ENSMUSG00000031310","Zmym3","chrX",100462400,100462558,158,"Regular (>50bp)","CDS","protein_coding",-0.21,0
"KO_vs_Parental","ENSMUSG00000024392","Bag6","chr17",35361473,35361581,108,"Regular (>50bp)","CDS","protein_coding",-0.176,0
"KO_vs_Parental","ENSMUSG00000040097","Flywch1","chr17",23989208,23989306,98,"Regular (>50bp)","UTR","protein_coding",0.268,0
"KO_vs_Parental","ENSMUSG00000022791","Tnk2","chr16",32499717,32499813,96,"Regular (>50bp)","CDS","protein_coding",-0.105,0
"KO_vs_Parental","ENSMUSG00000022791","Tnk2","chr16",32499723,32499813,90,"Regular (>50bp)","CDS","protein_coding",-0.206,0
"KO_vs_Parental","ENSMUSG00000033287","Kctd17","chr15",78321100,78321299,199,"Regular (>50bp)","CDS","protein_coding",-0.212,0
"KO_vs_Parental","ENSMUSG00000022564","Grina","chr15",76131839,76131937,98,"Regular (>50bp)","UTR","protein_coding",-0.122,0
"KO_vs_Parental","ENSMUSG00000020674","Pxdn","chr12",30049497,30049692,195,"Regular (>50bp)","Unknown","protein_coding",-0.108,0
"KO_vs_Parental","ENSMUSG00000020863","Luc7l3","chr11",94183219,94183298,79,"Regular (>50bp)","CDS","protein_coding",-0.376,0
"KO_vs_Parental","ENSMUSG00000020863","Luc7l3","chr11",94183232,94183298,66,"Regular (>50bp)","CDS","protein_coding",-0.345,0
"KO_vs_Parental","ENSMUSG00000004631","Sgce","chr6",4677162,4677197,35,"Small (30-50bp)","CDS","protein_coding",-0.236,0
"KO_vs_Parental","ENSMUSG00000004631","Sgce","chr6",4677162,4677233,71,"Regular (>50bp)","CDS","protein_coding",-0.277,0
"KO_vs_Parental","ENSMUSG00000029328","Hnrnpdl","chr5",100183493,100183598,105,"Regular (>50bp)","UTR","protein_coding",-0.202,0
"KO_vs_Parental","ENSMUSG00000030257","Srgap3","chr6",112704173,112704501,328,"Regular (>50bp)","CDS","protein_coding",-0.165,0
"KO_vs_Parental","ENSMUSG00000037062","Sh3glb1","chr3",144407520,144407607,87,"Regular (>50bp)","CDS","protein_coding",-0.253,0
"KO_vs_Parental","ENSMUSG00000037062","Sh3glb1","chr3",144407568,144407607,39,"Small (30-50bp)","CDS","protein_coding",-0.235,0
"KO_vs_Parental","ENSMUSG00000026782","Abi2","chr1",60478100,60478118,18,"Microexon (0-30bp)","CDS","protein_coding",-0.192,0
"KO_vs_Parental","ENSMUSG00000026074","Map4k4","chr1",40040589,40040751,162,"Regular (>50bp)","CDS","protein_coding",-0.131,0
"KO_vs_Parental","ENSMUSG00000039804","Ncoa5","chr2",164865065,164865132,67,"Regular (>50bp)","CDS","protein_coding",0.143,0
"KO_vs_Parental","ENSMUSG00000016921","Srsf6","chr2",162774734,162775002,268,"Regular (>50bp)","CDS","protein_coding",-0.12,0
"KO_vs_Parental","ENSMUSG00000029267","Mtf2","chr5",108217027,108217229,202,"Regular (>50bp)","Unknown","protein_coding",-0.237,0
"KO_vs_Parental","ENSMUSG00000029267","Mtf2","chr5",108217027,108217389,362,"Regular (>50bp)","Unknown","protein_coding",-0.231,0
"KO_vs_Parental","ENSMUSG00000029267","Mtf2","chr5",108221172,108221320,148,"Regular (>50bp)","Unknown","protein_coding",-0.153,0
"KO_vs_Parental","ENSMUSG00000037364","Srrt","chr5",137299579,137299909,330,"Regular (>50bp)","UTR","protein_coding",-0.213,0
"KO_vs_Parental","ENSMUSG00000018736","Ndel1","chr11",68716995,68717030,35,"Small (30-50bp)","Unknown","protein_coding",0.111,0
"KO_vs_Parental","ENSMUSG00000027346","Gpcpd1","chr2",132400526,132400602,76,"Regular (>50bp)","CDS","protein_coding",0.26,0
"KO_vs_Parental","ENSMUSG00000027692","Tnik","chr3",28649055,28649142,87,"Regular (>50bp)","CDS","protein_coding",-0.251,0
"KO_vs_Parental","ENSMUSG00000017677","Wsb1","chr11",79134225,79134401,176,"Regular (>50bp)","CDS","protein_coding",-0.322,0
"KO_vs_Parental","ENSMUSG00000030231","Plekha5","chr6",140526072,140526261,189,"Regular (>50bp)","CDS","protein_coding",-0.297,0
"KO_vs_Parental","ENSMUSG00000020198","Ap3d1","chr10",80545922,80546126,204,"Regular (>50bp)","CDS","protein_coding",-0.186,0
"KO_vs_Parental","ENSMUSG00000001576","Ergic1","chr17",26873800,26873927,127,"Regular (>50bp)","CDS","protein_coding",-0.101,0
"KO_vs_Parental","ENSMUSG00000031391","L1cam","chrX",72899257,72899269,12,"Microexon (0-30bp)","CDS","protein_coding",-0.15,0
"KO_vs_Parental","ENSMUSG00000004207","Psap","chr10",60133316,60133325,9,"Microexon (0-30bp)","CDS","protein_coding",-0.169,0
"KO_vs_Parental","ENSMUSG00000022744","Cldnd1","chr16",58549535,58549586,51,"Regular (>50bp)","UTR","protein_coding",0.189,0
"KO_vs_Parental","ENSMUSG00000021843","Ktn1","chr14",47963385,47963457,72,"Regular (>50bp)","CDS","protein_coding",-0.178,1.02697337813697e-13
"KO_vs_Parental","ENSMUSG00000036281","Snapc4","chr2",26268172,26268291,119,"Regular (>50bp)","Unknown","protein_coding",-0.258,1.02697337813697e-13
"KO_vs_Parental","ENSMUSG00000058886","Deaf1","chr7",140904354,140904529,175,"Regular (>50bp)","CDS","protein_coding",-0.29,1.02697337813697e-13
"KO_vs_Parental","ENSMUSG00000025968","Ndufs1","chr1",63211312,63211416,104,"Regular (>50bp)","UTR","protein_coding",0.194,1.02697337813697e-13
"KO_vs_Parental","ENSMUSG00000032624","Eml4","chr17",83732686,83732860,174,"Regular (>50bp)","CDS","protein_coding",0.266,1.02697337813697e-13
"KO_vs_Parental","ENSMUSG00000028863","Meaf6","chr4",125001309,125001339,30,"Microexon (0-30bp)","CDS","protein_coding",-0.103,2.02282635086675e-13
"KO_vs_Parental","ENSMUSG00000029106","Add1","chr5",34786482,34786516,34,"Small (30-50bp)","CDS","protein_coding",-0.222,2.90231606863926e-13
"KO_vs_Parental","ENSMUSG00000046311","Zfp62","chr11",49105049,49105481,432,"Regular (>50bp)","UTR","protein_coding",0.114,2.90231606863926e-13
"KO_vs_Parental","ENSMUSG00000029267","Mtf2","chr5",108221172,108221320,148,"Regular (>50bp)","Unknown","protein_coding",-0.128,1.01984161856407e-12
"KO_vs_Parental","ENSMUSG00000057541","Pus7","chr5",23968331,23968349,18,"Microexon (0-30bp)","CDS","protein_coding",-0.241,1.18875685550730e-12
"KO_vs_Parental","ENSMUSG00000000568","Hnrnpd","chr5",100124392,100124449,57,"Regular (>50bp)","CDS","protein_coding",0.163,1.69108282932661e-12
"KO_vs_Parental","ENSMUSG00000033287","Kctd17","chr15",78321100,78321194,94,"Regular (>50bp)","CDS","protein_coding",-0.201,1.71162229688725e-12
"KO_vs_Parental","ENSMUSG00000074238","Ap1ar","chr3",127609244,127609343,99,"Regular (>50bp)","CDS","protein_coding",-0.12,1.71162229688725e-12
"KO_vs_Parental","ENSMUSG00000039233","Tbce","chr13",14178127,14178281,154,"Regular (>50bp)","CDS","protein_coding",-0.166,3.21986359143672e-12
"KO_vs_Parental","ENSMUSG00000028478","Clta","chr4",44030214,44030268,54,"Regular (>50bp)","CDS","protein_coding",-0.138,3.8033839643605e-12
"KO_vs_Parental","ENSMUSG00000032135","Mcam","chr9",44052571,44052689,118,"Regular (>50bp)","CDS","protein_coding",-0.102,8.62542247364813e-12
"KO_vs_Parental","ENSMUSG00000027624","Epb41l1","chr2",156366800,156367208,408,"Regular (>50bp)","CDS","protein_coding",0.114,8.82626564425687e-12
"KO_vs_Parental","ENSMUSG00000042035","Igsf3","chr3",101340230,101340290,60,"Regular (>50bp)","CDS","protein_coding",0.111,1.01963785400366e-11
"KO_vs_Parental","ENSMUSG00000067629","Syngap1","chr17",27186654,27186734,80,"Regular (>50bp)","CDS","protein_coding",-0.204,1.08111273556568e-11
"KO_vs_Parental","ENSMUSG00000029106","Add1","chr5",34786479,34786516,37,"Small (30-50bp)","CDS","protein_coding",-0.119,1.53181187032846e-11
"KO_vs_Parental","ENSMUSG00000032624","Eml4","chr17",83734651,83734780,129,"Regular (>50bp)","CDS","protein_coding",0.212,1.66883173946507e-11
"KO_vs_Parental","ENSMUSG00000029267","Mtf2","chr5",108217027,108217229,202,"Regular (>50bp)","Unknown","protein_coding",-0.159,1.85955536683481e-11
"KO_vs_Parental","ENSMUSG00000027940","Tpm3","chr3",89998319,89998398,79,"Regular (>50bp)","CDS","protein_coding",-0.102,2.05600070302397e-11
"KO_vs_Parental","ENSMUSG00000037151","Lrrc20","chr10",61318114,61318261,147,"Regular (>50bp)","CDS","protein_coding",0.153,2.05600070302397e-11
"KO_vs_Parental","ENSMUSG00000037458","Azin1","chr15",38507430,38507590,160,"Regular (>50bp)","UTR","protein_coding",-0.111,2.2074843603236e-11
"KO_vs_Parental","ENSMUSG00000009995","Tafazzin","chrX",73332589,73332625,36,"Small (30-50bp)","CDS","protein_coding",-0.299,2.69508527644452e-11
"KO_vs_Parental","ENSMUSG00000041936","Agrn","chr4",156254002,156254014,12,"Microexon (0-30bp)","CDS","protein_coding",-0.114,2.71957764949863e-11
"KO_vs_Parental","ENSMUSG00000020831","0610010K14Rik","chr11",70127713,70127804,91,"Regular (>50bp)","CDS","protein_coding",-0.159,3.06102830770282e-11
"KO_vs_Parental","ENSMUSG00000025138","Sirt7","chr11",120509974,120510116,142,"Regular (>50bp)","CDS","protein_coding",-0.199,3.27858978903823e-11
"KO_vs_Parental","ENSMUSG00000020886","Dlg4","chr11",69934483,69934593,110,"Regular (>50bp)","CDS","protein_coding",-0.113,3.27858978903823e-11
"KO_vs_Parental","ENSMUSG00000002265","Peg3","chr7",6715948,6716011,63,"Regular (>50bp)","CDS","protein_coding",-0.117,3.46648557811692e-11
