"event_id","GeneID","geneSymbol","exon_length","IncLevelDifference_Neg_vs_Parental","IncLevelDifference_Pos_vs_Parental","IncLevelDifference_KO_vs_Parental","IncLevelDifference_Pos_vs_Neg","IncLevelDifference_KO_vs_Neg","IncLevelDifference_KO_vs_Pos","FDR_Neg_vs_Parental","FDR_Pos_vs_Parental","FDR_KO_vs_Parental","FDR_Pos_vs_Neg","FDR_KO_vs_Neg","FDR_KO_vs_Pos"
"ENSMUSG00000024983_chr19_55375620_55375641","ENSMUSG00000024983","Vti1a",21,0.135,0.171,0.133,NA,NA,NA,0.0167201831173847,0.000231369095081125,0.028565428913202,NA,NA,NA
"ENSMUSG00000028184_chr3_148566062_148566074","ENSMUSG00000028184","Adgrl2",12,0.142,-0.116,-0.2,-0.258,-0.342,NA,8.24021668515075e-05,0.00343523606591965,2.75212031095613e-05,0,0,NA
"ENSMUSG00000039671_chr2_165694787_165694799","ENSMUSG00000039671","Zmynd8",12,0.206,0.134,-0.103,NA,-0.309,-0.237,2.98823603224726e-12,1.42618348871355e-05,0.00121419725215528,NA,0,0
"ENSMUSG00000016664_chr15_83267823_83267829","ENSMUSG00000016664","Pacsin2",6,0.132,-0.13,-0.127,-0.262,-0.259,NA,1.47590581058568e-08,4.78678250710644e-06,2.68699662676668e-06,0,0,NA
"ENSMUSG00000021198_chr12_103016153_103016182","ENSMUSG00000021198","Unc79",29,0.285,0.211,0.207,NA,NA,NA,5.84596770543621e-05,0.0177010912773212,0.0295964181947837,NA,NA,NA
"ENSMUSG00000027506_chr3_9008610_9008637","ENSMUSG00000027506","Tpd52",27,0.314,0.115,-0.167,-0.321,-0.48,-0.16,4.42357879944787e-07,0,4.35077212331642e-07,1.95434381321732e-11,0,2.04873155477467e-13
"ENSMUSG00000004980_chr6_51441407_51441431","ENSMUSG00000004980","Hnrnpa2b1",24,-0.167,-0.115,-0.109,NA,NA,NA,1.60289999095546e-11,9.85658267333971e-06,6.62101601546216e-05,NA,NA,NA
"ENSMUSG00000062785_chr7_44247013_44247043","ENSMUSG00000062785","Kcnc3",30,0.151,0.178,0.435,NA,-0.139,-0.167,1.7021590643803e-05,1.82748512603246e-06,0.00216674875329145,NA,0.000906739352620324,0.000335518293043425
"ENSMUSG00000034602_chr10_122858990_122858993","ENSMUSG00000034602","Mon2",3,0.104,-0.106,-0.123,-0.21,-0.228,NA,0.00513475016025838,0.0142090723300144,0.00305786624407419,0,0,NA
"ENSMUSG00000040354_chr10_127132585_127132609","ENSMUSG00000040354","Mars1",24,-0.123,-0.22,-0.141,NA,NA,NA,8.84120397101463e-07,0,6.08886163483443e-09,NA,NA,NA
