"event_id","GeneID","geneSymbol","exon_length","IncLevelDifference_Neg_vs_Parental","IncLevelDifference_Pos_vs_Parental","IncLevelDifference_KO_vs_Parental","IncLevelDifference_Pos_vs_Neg","IncLevelDifference_KO_vs_Neg","IncLevelDifference_KO_vs_Pos","FDR_Neg_vs_Parental","FDR_Pos_vs_Parental","FDR_KO_vs_Parental","FDR_Pos_vs_Neg","FDR_KO_vs_Neg","FDR_KO_vs_Pos"
"ENSMUSG00000009995_chrX_73332589_73332625","ENSMUSG00000009995","Tafazzin",36,-0.365,-0.575,-0.507,-0.21,NA,NA,0.000452701285271854,0,0,0.0292797805256068,NA,NA
"ENSMUSG00000025217_chr19_45394983_45395025","ENSMUSG00000025217","Btrc",42,0.152,0.152,0.123,NA,0.129,0.111,0.000812282191415622,0.000417580588114848,0.00388008188258202,NA,0.00238815296047215,0.000973555293051615
"ENSMUSG00000035629_chr16_32661906_32661951","ENSMUSG00000035629","Rubcn",45,0.329,0.138,0.184,-0.19,-0.145,NA,0,0.00314166215695235,4.02231637073725e-05,9.58033054836184e-09,3.41041276440735e-05,NA
"ENSMUSG00000071454_chr12_3824569_3824610","ENSMUSG00000071454","Dtnb",41,-0.187,-0.202,-0.179,NA,NA,NA,3.98457234897981e-05,4.03815502687876e-06,0.000669812396665153,NA,NA,NA
"ENSMUSG00000039159_chr6_30242536_30242576","ENSMUSG00000039159","Ube2h",40,0.13,0.147,0.134,NA,NA,NA,0.000683516245056237,0.000615747366875657,0.000496921798760012,NA,NA,NA
"ENSMUSG00000021557_chr13_59665466_59665504","ENSMUSG00000021557","Agtpbp1",38,0.119,0.124,0.107,NA,NA,NA,5.21793667820254e-06,4.38670691185662e-07,2.134314874085e-05,NA,NA,NA
"ENSMUSG00000057858_chr19_60208761_60208792","ENSMUSG00000057858","Fam204a",31,-0.194,-0.222,-0.137,NA,NA,NA,5.54044420961763e-11,3.13897056497055e-14,2.82567480169774e-07,NA,NA,NA
"ENSMUSG00000045761_chr17_72002691_72002738","ENSMUSG00000045761","Togaram2",47,0.161,0.188,0.133,NA,NA,NA,0.000722167580853768,1.42790946565984e-06,0.02160506909144,NA,NA,NA
"ENSMUSG00000022973_chr16_90744953_90745001","ENSMUSG00000022973","Synj1",48,0.254,0.422,0.317,NA,0.296,0.355,1.25703508435077e-06,0.000220853498945123,0.00520790593001812,NA,0.0128754614657459,0.00164105145253752
"ENSMUSG00000035640_chr10_79972538_79972577","ENSMUSG00000035640","Cbarp",39,-0.193,-0.34,-0.134,-0.146,NA,0.206,6.82236601168504e-07,0,0.00288614933888376,0.00373229191556747,NA,0.000361527758132942
"ENSMUSG00000002031_chr9_44685479_44685528","ENSMUSG00000002031","Ift46",49,0.103,0.809,0.777,0.315,NA,NA,0.00318488327296499,6.10355387630414e-14,3.88352532165494e-10,0.00170460865419152,NA,NA
"ENSMUSG00000017652_chr2_164911736_164911768","ENSMUSG00000017652","Cd40",32,-0.152,-0.108,-0.11,NA,NA,NA,1.82714629193345e-06,0.000206461651473083,0.000463351307114717,NA,NA,NA
