"event_key","event_type","GeneID","geneSymbol","chr","strand","exon_start","exon_end","exon_length","size_category","dPSI","FDR"
"chr18:24604118:24604141:24604037:24608581:SE","SE","ENSMUSG00000024273","2700062C07Rik","chr18","+",24604118,24604141,23,"Microexon (0-30bp)",-0.102,0.0216985677542389
"chr5:8136593:8136623:8132269:8161894:SE","SE","ENSMUSG00000040537","Adam22","chr5","-",8136593,8136623,30,"Microexon (0-30bp)",0.13,0.00900364149579749
"chr3:148532847:148532874:148532169:148533176:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148532847,148532874,27,"Microexon (0-30bp)",0.203,0.000209883033950081
"chr3:148566062:148566074:148565169:148571235:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148566062,148566074,12,"Microexon (0-30bp)",0.142,8.24021668515075e-05
"chr4:156253002:156253026:156252266:156253189:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156253002,156253026,24,"Microexon (0-30bp)",0.323,0.00409956888691432
"chr3:126772904:126772916:126770596:126775448:SE","SE","ENSMUSG00000032826","Ank2","chr3","-",126772904,126772916,12,"Microexon (0-30bp)",0.138,0.00303344410374097
"chr10:69765276:69765288:69763648:69768223:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69765276,69765288,12,"Microexon (0-30bp)",0.251,0.00548380560396285
"chr10:69816653:69816680:69816224:69817945:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69816653,69816680,27,"Microexon (0-30bp)",0.187,0.000174189054449646
"chr2:20888010:20888040:20886662:20891916:SE","SE","ENSMUSG00000036591","Arhgap21","chr2","-",20888010,20888040,30,"Microexon (0-30bp)",0.21,4.24107750950333e-05
"chr11:97382469:97382492:97382056:97383876:SE","SE","ENSMUSG00000049807","Arhgap23","chr11","+",97382469,97382492,23,"Microexon (0-30bp)",0.228,8.00498907670246e-13
"chr7:24617944:24617956:24617425:24618608:SE","SE","ENSMUSG00000040940","Arhgef1","chr7","+",24617944,24617956,12,"Microexon (0-30bp)",0.131,0.000225967412359808
"chr3:87625535:87625565:87624827:87629663:SE","SE","ENSMUSG00000041977","Arhgef11","chr3","+",87625535,87625565,30,"Microexon (0-30bp)",0.146,2.78873270258153e-06
"chr14:52242335:52242356:52242199:52242445:SE","SE","ENSMUSG00000004562","Arhgef40","chr14","+",52242335,52242356,21,"Microexon (0-30bp)",-0.176,0.00878694833148361
"chr16:18219530:18219548:18219003:18220316:SE","SE","ENSMUSG00000118669","Arvcf","chr16","+",18219530,18219548,18,"Microexon (0-30bp)",0.166,7.88857169241047e-11
"chr9:105370741:105370753:105347346:105371613:SE","SE","ENSMUSG00000032570","Atp2c1","chr9","-",105370741,105370753,12,"Microexon (0-30bp)",0.168,5.43819269842008e-06
"chr5:115810202:115810214:115808359:115811138:SE","SE","ENSMUSG00000041609","Bicdl1","chr5","-",115810202,115810214,12,"Microexon (0-30bp)",0.126,2.96143813022664e-09
"chr18:32562752:32562776:32559405:32564723:SE","SE","ENSMUSG00000024381","Bin1","chr18","+",32562752,32562776,24,"Microexon (0-30bp)",0.14,0.0132226098273639
"chr18:32562752:32562776:32559405:32565035:SE","SE","ENSMUSG00000024381","Bin1","chr18","+",32562752,32562776,24,"Microexon (0-30bp)",0.158,0.00216435526037455
"chrX:13462924:13462942:13453204:13466595:SE","SE","ENSMUSG00000031012","Cask","chrX","-",13462924,13462942,18,"Microexon (0-30bp)",0.169,0
"chr2:73540798:73540826:73510247:73546707:SE","SE","ENSMUSG00000056486","Chn1","chr2","-",73540798,73540826,28,"Microexon (0-30bp)",-0.173,0.00124751535681706
"chr9:113687648:113687672:113683414:113691253:SE","SE","ENSMUSG00000033392","Clasp2","chr9","+",113687648,113687672,24,"Microexon (0-30bp)",0.252,1.26060491336164e-07
"chr8:11254535:11254552:11253008:11256225:SE","SE","ENSMUSG00000031502","Col4a1","chr8","-",11254535,11254552,17,"Microexon (0-30bp)",0.116,0.029292636882421
"chr11:31868800:31868824:31839939:31870408:SE","SE","ENSMUSG00000020300","Cpeb4","chr11","+",31868800,31868824,24,"Microexon (0-30bp)",0.103,1.13081564246697e-05
