"GeneID","geneSymbol","n_events_pos","n_sig_pos","n_event_types","event_types","n_microexon","mean_abs_dPSI","n_selection_events","selection_mean_dPSI"
"ENSMUSG00000031865","Dctn1",22,1,2,"MXE,SE",10,0.043,4,0.129
"ENSMUSG00000020300","Cpeb4",10,0,2,"MXE,SE",2,0.036,2,0.134
"ENSMUSG00000024163","Mapk8ip3",30,0,4,"A3SS,A5SS,MXE,SE",7,0.017,2,-0.021
"ENSMUSG00000024381","Bin1",16,1,2,"MXE,SE",2,0.033,2,0.149
"ENSMUSG00000024983","Vti1a",11,1,2,"MXE,SE",4,0.049,2,0.214
"ENSMUSG00000028078","Dclk2",13,0,3,"A3SS,A5SS,SE",2,0.022,2,0.118
"ENSMUSG00000028184","Adgrl2",45,3,4,"A3SS,A5SS,MXE,SE",7,0.051,2,0.172
"ENSMUSG00000028524","Sgip1",15,1,3,"A3SS,MXE,SE",6,0.036,2,0.314
"ENSMUSG00000029462","Vps29",12,0,2,"A3SS,SE",2,0.03,2,0.138
"ENSMUSG00000031561","Tenm3",12,1,2,"MXE,SE",4,0.041,2,0.198
"ENSMUSG00000061306","Slc38a10",35,0,3,"A3SS,MXE,SE",1,0.023,2,0.033
"ENSMUSG00000062785","Kcnc3",9,2,2,"A3SS,SE",2,0.079,2,0.238
"ENSMUSG00000069601","Ank3",32,3,4,"A3SS,A5SS,MXE,SE",4,0.044,2,0.219
"ENSMUSG00000000827","Tpd52l2",7,0,1,"SE",1,0.024,1,0.106
"ENSMUSG00000001248","Gramd1a",26,0,5,"A3SS,A5SS,MXE,RI,SE",2,0.018,1,0.183
"ENSMUSG00000003810","Mast2",24,0,3,"A3SS,MXE,SE",3,0.021,1,0.248
"ENSMUSG00000003863","Ppfia3",4,0,3,"A5SS,RI,SE",1,0.027,1,0.239
"ENSMUSG00000004562","Arhgef40",32,3,5,"A3SS,A5SS,MXE,RI,SE",1,0.029,1,-0.176
"ENSMUSG00000004980","Hnrnpa2b1",29,2,4,"A3SS,A5SS,MXE,SE",3,0.02,1,-0.167
"ENSMUSG00000005881","Ergic3",12,0,4,"A3SS,MXE,RI,SE",1,0.013,1,0.169
"ENSMUSG00000006476","Nsmf",16,1,2,"MXE,SE",3,0.028,1,0.141
"ENSMUSG00000009079","Ewsr1",22,0,4,"A3SS,A5SS,MXE,SE",1,0.01,1,0.222
"ENSMUSG00000016346","Kcnq2",29,1,4,"A3SS,A5SS,RI,SE",1,0.055,1,0.153
"ENSMUSG00000016664","Pacsin2",8,1,2,"RI,SE",1,0.021,1,0.132
"ENSMUSG00000018820","Zfyve27",9,0,2,"MXE,SE",1,0.021,1,0.131
"ENSMUSG00000020231","Dip2a",13,0,4,"A3SS,MXE,RI,SE",1,0.009,1,0.168
"ENSMUSG00000020859","Spag9",16,1,4,"A3SS,MXE,RI,SE",5,0.034,1,0.196
"ENSMUSG00000021198","Unc79",20,2,3,"A3SS,MXE,SE",2,0.037,1,0.285
"ENSMUSG00000021375","Kif13a",9,2,2,"MXE,SE",2,0.07,1,0.115
"ENSMUSG00000021427","Ssr1",1,0,1,"SE",1,0.058,1,0.156
"ENSMUSG00000022329","Stk3",4,0,1,"SE",1,0.015,1,0.135
"ENSMUSG00000022623","Shank3",1,0,1,"SE",0,0.081,1,0.129
"ENSMUSG00000022635","Zcrb1",16,0,2,"MXE,SE",4,0.017,1,-0.163
"ENSMUSG00000022770","Dlg1",41,1,4,"A3SS,A5SS,MXE,SE",1,0.026,1,-0.104
"ENSMUSG00000024273","2700062C07Rik",7,0,3,"A5SS,MXE,SE",3,0.057,1,-0.102
"ENSMUSG00000024603","Dctn4",9,0,2,"MXE,SE",1,0.01,1,0.164
"ENSMUSG00000024908","Ppp6r3",34,0,4,"A3SS,MXE,RI,SE",1,0.015,1,0.211
"ENSMUSG00000025006","Sorbs1",41,4,5,"A3SS,A5SS,MXE,RI,SE",2,0.055,1,0.149
"ENSMUSG00000026113","Inpp4a",12,3,4,"A3SS,A5SS,MXE,SE",3,0.058,1,0.181
"ENSMUSG00000026860","Sh3glb2",22,3,5,"A3SS,A5SS,MXE,RI,SE",6,0.036,1,0.228
"ENSMUSG00000026977","Marchf7",15,0,4,"A3SS,A5SS,MXE,SE",1,0.014,1,0.187
"ENSMUSG00000027506","Tpd52",15,1,3,"A5SS,MXE,SE",2,0.025,1,0.314
"ENSMUSG00000027523","Gnas",48,0,4,"A3SS,A5SS,MXE,SE",4,0.015,1,0.15
"ENSMUSG00000027646","Src",5,0,1,"SE",1,0.015,1,0.119
"ENSMUSG00000027692","Tnik",9,1,2,"MXE,SE",1,0.024,1,0.176
"ENSMUSG00000027799","Nbea",16,0,2,"MXE,SE",1,0.012,1,0.201
"ENSMUSG00000028033","Kcnq5",2,0,1,"SE",1,0.151,1,0.353
"ENSMUSG00000029055","Plch2",5,4,3,"A5SS,RI,SE",1,0.208,1,0.144
"ENSMUSG00000029148","Nrbp1",13,0,4,"A5SS,MXE,RI,SE",1,0.01,1,0.114
"ENSMUSG00000029461","Fam168a",10,2,2,"MXE,SE",3,0.07,1,-0.191
"ENSMUSG00000030172","Erc1",22,0,3,"A5SS,MXE,SE",1,0.027,1,0.163
