"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000031865","Dctn1",4,"MXE; SE","Microexon (0-30bp)","chr6:83160917-83160938; chr6:83160917-83160938; chr6:83163409-83163427; chr6:83164745-83164766",0.129
"ENSMUSG00000020300","Cpeb4",2,"SE","Microexon (0-30bp)","chr11:31868800-31868824; chr11:31868800-31868824",0.134
"ENSMUSG00000024163","Mapk8ip3",2,"MXE; SE","Microexon (0-30bp)","chr17:25127384-25127402; chr17:25127384-25127402",-0.021
"ENSMUSG00000024381","Bin1",2,"SE","Microexon (0-30bp)","chr18:32562752-32562776; chr18:32562752-32562776",0.149
"ENSMUSG00000024983","Vti1a",2,"SE","Microexon (0-30bp)","chr19:55375620-55375641; chr19:55375620-55375641",0.214
"ENSMUSG00000028078","Dclk2",2,"SE","Microexon (0-30bp)","chr3:86695928-86695941; chr3:86695928-86695941",0.118
"ENSMUSG00000028184","Adgrl2",2,"SE","Microexon (0-30bp)","chr3:148532847-148532874; chr3:148566062-148566074",0.172
"ENSMUSG00000028524","Sgip1",2,"SE","Microexon (0-30bp)","chr4:102757722-102757734; chr4:102762761-102762773",0.314
"ENSMUSG00000029462","Vps29",2,"SE","Microexon (0-30bp)","chr5:122494856-122494868; chr5:122494856-122494868",0.138
"ENSMUSG00000031561","Tenm3",2,"SE","Microexon (0-30bp)","chr8:48740167-48740188; chr8:48766272-48766299",0.198
"ENSMUSG00000061306","Slc38a10",2,"MXE; SE","Microexon (0-30bp)","chr11:119999292-119999316; chr11:119999292-119999316",0.033
"ENSMUSG00000062785","Kcnc3",2,"SE","Microexon (0-30bp)","chr7:44247013-44247043; chr7:44247013-44247043",0.238
"ENSMUSG00000069601","Ank3",2,"SE","Microexon (0-30bp)","chr10:69765276-69765288; chr10:69816653-69816680",0.219
"ENSMUSG00000000827","Tpd52l2",1,"SE","Microexon (0-30bp)","chr2:181152296-181152323",0.106
"ENSMUSG00000001248","Gramd1a",1,"SE","Microexon (0-30bp)","chr7:30832644-30832656",0.183
"ENSMUSG00000003810","Mast2",1,"SE","Microexon (0-30bp)","chr4:116190609-116190630",0.248
"ENSMUSG00000003863","Ppfia3",1,"SE","Microexon (0-30bp)","chr7:44992976-44993003",0.239
"ENSMUSG00000004562","Arhgef40",1,"SE","Microexon (0-30bp)","chr14:52242335-52242356",-0.176
"ENSMUSG00000004980","Hnrnpa2b1",1,"SE","Microexon (0-30bp)","chr6:51441407-51441431",-0.167
"ENSMUSG00000005881","Ergic3",1,"SE","Microexon (0-30bp)","chr2:155857296-155857311",0.169
"ENSMUSG00000006476","Nsmf",1,"MXE","Microexon (0-30bp)","chr2:24947976-24947982",0.141
"ENSMUSG00000009079","Ewsr1",1,"SE","Microexon (0-30bp)","chr11:5041459-5041477",0.222
"ENSMUSG00000016346","Kcnq2",1,"SE","Microexon (0-30bp)","chr2:180745434-180745464",0.153
"ENSMUSG00000016664","Pacsin2",1,"SE","Microexon (0-30bp)","chr15:83267823-83267829",0.132
"ENSMUSG00000018820","Zfyve27",1,"SE","Microexon (0-30bp)","chr19:42174058-42174079",0.131
"ENSMUSG00000020231","Dip2a",1,"SE","Microexon (0-30bp)","chr10:76107209-76107239",0.168
"ENSMUSG00000020859","Spag9",1,"SE","Microexon (0-30bp)","chr11:93970024-93970036",0.196
"ENSMUSG00000021198","Unc79",1,"SE","Microexon (0-30bp)","chr12:103016153-103016182",0.285
"ENSMUSG00000021375","Kif13a",1,"SE","Microexon (0-30bp)","chr13:47018294-47018307",0.115
"ENSMUSG00000021427","Ssr1",1,"SE","Microexon (0-30bp)","chr13:38167070-38167085",0.156
"ENSMUSG00000022329","Stk3",1,"SE","Microexon (0-30bp)","chr15:35115083-35115104",0.135
"ENSMUSG00000022623","Shank3",1,"SE","Microexon (0-30bp)","chr15:89422217-89422241",0.129
"ENSMUSG00000022635","Zcrb1",1,"SE","Microexon (0-30bp)","chr15:93293467-93293496",-0.163
"ENSMUSG00000022770","Dlg1",1,"SE","Microexon (0-30bp)","chr16:31673485-31673506",-0.104
"ENSMUSG00000024273","2700062C07Rik",1,"SE","Microexon (0-30bp)","chr18:24604118-24604141",-0.102
"ENSMUSG00000024603","Dctn4",1,"SE","Microexon (0-30bp)","chr18:60678428-60678449",0.164
"ENSMUSG00000024908","Ppp6r3",1,"SE","Microexon (0-30bp)","chr19:3509746-3509764",0.211
"ENSMUSG00000025006","Sorbs1",1,"SE","Microexon (0-30bp)","chr19:40371199-40371226",0.149
"ENSMUSG00000026113","Inpp4a",1,"SE","Microexon (0-30bp)","chr1:37413355-37413370",0.181
"ENSMUSG00000026860","Sh3glb2",1,"SE","Microexon (0-30bp)","chr2:30239237-30239249",0.228
"ENSMUSG00000026977","Marchf7",1,"SE","Microexon (0-30bp)","chr2:60077831-60077856",0.187
"ENSMUSG00000027506","Tpd52",1,"SE","Microexon (0-30bp)","chr3:9008610-9008637",0.314
"ENSMUSG00000027523","Gnas",1,"SE","Microexon (0-30bp)","chr2:174169900-174169924",0.15
"ENSMUSG00000027646","Src",1,"SE","Microexon (0-30bp)","chr2:157300762-157300780",0.119
