"VastDB.ID","paper_gene","paper_length","match_type","n_candidates","selected","rmats_ID","geneSymbol","chr","exonStart_0base","exonEnd","exon_size","strand","IncLevelDifference","FDR"
"MmuEX0000269","1500009L16Rik",25,"gene_size",2,TRUE,24842,"1500009L16Rik","chr10",83573772,83573797,25,"+",0.006,1
"MmuEX0000269","1500009L16Rik",25,"gene_size",2,FALSE,24843,"1500009L16Rik","chr10",83573772,83573797,25,"+",0.005,1
"MmuEX0000800","2210408F21Rik",29,"gene_size",2,FALSE,48217,"2210408F21Rik","chr6",31305266,31305295,29,"+",0.024,1
"MmuEX0000800","2210408F21Rik",29,"gene_size",2,TRUE,48218,"2210408F21Rik","chr6",31305266,31305295,29,"+",-0.202,0.0156336776689927
"MmuEX0001195","2700062C07Rik",23,"gene_size",2,FALSE,2795,"2700062C07Rik","chr18",24604118,24604141,23,"+",-0.024,0.218196460840093
"MmuEX0001195","2700062C07Rik",23,"gene_size",2,TRUE,2796,"2700062C07Rik","chr18",24604118,24604141,23,"+",-0.032,1
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",4,FALSE,19060,"9430015G10Rik","chr4",156208432,156208458,26,"+",0.001,1
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",4,TRUE,19061,"9430015G10Rik","chr4",156208432,156208458,26,"+",-0.015,1
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",4,FALSE,19063,"9430015G10Rik","chr4",156208548,156208579,31,"+",-0.019,1
"MmuEX0002364","9430015G10Rik",26,"gene_size_contained",4,FALSE,19064,"9430015G10Rik","chr4",156208548,156208579,31,"+",-0.001,1
"MmuEX0003242","Abi1",15,"gene_size",2,TRUE,25496,"Abi1","chr2",22853225,22853240,15,"-",-0.016,2.92710950542726e-05
"MmuEX0003242","Abi1",15,"gene_size",2,FALSE,25497,"Abi1","chr2",22853225,22853240,15,"-",0.008,1
"MmuEX0004297","Agrn",12,"gene_size",2,FALSE,29431,"Agrn","chr4",156254002,156254014,12,"-",0.005,1
"MmuEX0004297","Agrn",12,"gene_size",2,TRUE,29432,"Agrn","chr4",156254002,156254014,12,"-",-0.114,2.71957764949863e-11
"MmuEX0004311","Agrn",24,"gene_size",2,FALSE,29427,"Agrn","chr4",156253002,156253026,24,"-",0.004,1
"MmuEX0004311","Agrn",24,"gene_size",2,TRUE,29428,"Agrn","chr4",156253002,156253026,24,"-",-0.017,1
"MmuEX0004470","Akap1",13,"gene_size",2,FALSE,31809,"Akap1","chr11",88734637,88734650,13,"-",-0.188,1
"MmuEX0004470","Akap1",13,"gene_size",2,TRUE,31810,"Akap1","chr11",88734637,88734650,13,"-",-0.445,1
"MmuEX0004898","Ank2",12,"gene_size",2,FALSE,25078,"Ank2","chr3",126772904,126772916,12,"-",0.002,1
"MmuEX0004898","Ank2",12,"gene_size",2,TRUE,25079,"Ank2","chr3",126772904,126772916,12,"-",-0.184,0.00608290220861478
"MmuEX0004910","Ank3",12,"gene_size",2,TRUE,60664,"Ank3","chr10",69765276,69765288,12,"+",-0.03,1
"MmuEX0004910","Ank3",12,"gene_size",2,FALSE,60665,"Ank3","chr10",69765276,69765288,12,"+",0.002,1
"MmuEX0004931","Ank3",27,"gene_size_contained",2,FALSE,60658,"Ank3","chr10",69658907,69658931,24,"+",-0.019,1
"MmuEX0004931","Ank3",27,"gene_size_contained",2,TRUE,60667,"Ank3","chr10",69816653,69816680,27,"+",-0.129,0.00320802029789536
"MmuEX0005383","Ap1ar",26,"gene_size",2,TRUE,42257,"Ap1ar","chr3",127614408,127614434,26,"-",0.022,1
"MmuEX0005383","Ap1ar",26,"gene_size",2,FALSE,42258,"Ap1ar","chr3",127614408,127614434,26,"-",-0.002,1
"MmuEX0005816","Arhgap21",25,"gene_size",2,FALSE,27021,"Arhgap21","chr2",20858768,20858789,21,"-",-0.004,1
"MmuEX0005816","Arhgap21",25,"gene_size",2,TRUE,27028,"Arhgap21","chr2",20888010,20888040,30,"-",0.109,0.0259022052114803
