"VastDB.ID","gene","length","chrom","start","end","strand","neural.trend","ASD.trend","Ptbp1.dPSI","Ptbp1.signif","Srrm4.dPSI","Srrm4.signif","Srrm3.Srrm4.dPSI","Srrm3.Srrm4.signif","Srsf11.dPSI","Srsf11.signif","Rbfox2.dPSI","Rbfox2.signif","Srrm3.dPSI","Srrm3.signif","Rnps1.dPSI","Rnps1.signif","srrm3_srrm4_dPSI","srrm3_dPSI","srrm4_dPSI","srrm3_srrm4_signif","srrm3_signif","srrm4_signif","match_type","n_rmats_candidates","rmats_id","rmats_gene","rmats_chr","rmats_start","rmats_end","rmats_exon_size","rmats_dPSI","rmats_FDR","rmats_PValue"
"MmuEX0000269","1500009L16Rik",25,"chr10",83185780,83220189,"+",NA,NA,-1,"n.s.",0.5,"n.s.",0,"n.s.",-3,"n.s.",-1,"n.s.",0,"n.s.",-8,"n.s.",0,0,0.005,"n.s.","n.s.","n.s.","gene_size",2,24842,"1500009L16Rik","chr10",83573773,83573797,25,0.006,1,0.238697525503
"MmuEX0000800","2210408F21Rik",29,"chr6",31235121,31285990,"+",NA,NA,3,"n.s.",9.6,"n.s.",4,"n.s.",5,"n.s.",5,"n.s.",-6,"n.s.",-7,"n.s.",0.04,-0.06,0.096,"n.s.","n.s.","n.s.","gene_size",2,48218,"2210408F21Rik","chr6",31305267,31305295,29,-0.202,0.0156336776689927,0.000599141852274
"MmuEX0001195","2700062C07Rik",23,"chr18",24629482,24631450,"+",NA,NA,NA,"n.s.",NA,"n.s.",0,"n.s.",-3,"n.s.",-6,"n.s.",NA,"n.s.",NA,"n.s.",0,NA,NA,"n.s.","n.s.","n.s.","gene_size",2,2796,"2700062C07Rik","chr18",24604119,24604141,23,-0.032,1,1
"MmuEX0002176","6430548M08Rik",30,"chr8",122680275,122683858,"+","Neural-high","n.s.",17,"higher",-13.2,"lower",-27,"lower",-16,"n.s.",-7,"n.s.",-9,"n.s.",-13,"n.s.",-0.27,-0.09,-0.132,"lower","n.s.","lower","gene_size",1,62247,"6430548M08Rik","chr8",120884207,120884236,30,-0.121,0.0274146668240237,0.00124064977594
"MmuEX0002364","9430015G10Rik",26,"chr4",155497779,155498200,"+",NA,NA,-2,"n.s.",-0.3,"n.s.",NA,"n.s.",NA,"n.s.",NA,"n.s.",NA,"n.s.",-6,"n.s.",NA,NA,-0.003,"n.s.","n.s.","n.s.","gene_size_contained",4,19061,"9430015G10Rik","chr4",156208433,156208458,26,-0.015,1,0.492039690383
"MmuEX0003242","Abi1",15,"chr2",22818022,22826602,"-","Neural-high","n.s.",2,"n.s.",-20,"lower",-39,"lower",-4,"n.s.",-2,"n.s.",-6,"n.s.",-29,"lower",-0.39,-0.06,-0.2,"lower","n.s.","lower","gene_size",2,25496,"Abi1","chr2",22853226,22853240,15,-0.016,2.92710950542726e-05,2.8576876554e-07
"MmuEX0003403","Acap2",21,"chr16",31119534,31127406,"-",NA,NA,NA,"n.s.",-2.3,"n.s.",NA,"n.s.",NA,"n.s.",-4,"n.s.",NA,"n.s.",NA,"n.s.",NA,NA,-0.023,"n.s.","n.s.","n.s.","gene_size",1,5566,"Acap2","chr16",30941439,30941459,21,-0.006,1,1
"MmuEX0003484","Acly",30,"chr11",100360077,100365516,"-",NA,"n.s.",9,"n.s.",-1.5,"n.s.",-3,"n.s.",-19,"lower",-16,"lower",5,"n.s.",-20,"lower",-0.03,0.05,-0.015,"n.s.","n.s.","n.s.","gene_size",1,14499,"Acly","chr11",100393986,100394015,30,0.034,0.13221878070649,0.00957017153369
"MmuEX0004027","Adcyap1r1",21,"chr6",55422322,55425460,"+",NA,NA,7,"n.s.",-2.3,"n.s.",-4,"n.s.",-8,"n.s.",-7,"n.s.",1,"n.s.",-1,"n.s.",-0.04,0.01,-0.023,"n.s.","n.s.","n.s.","gene_size",1,49615,"Adcyap1r1","chr6",55451545,55451565,21,-0.013,1,0.557182062147
"MmuEX0004187","Agap1",12,"chr1",91506159,91524335,"+","Neural-high",NA,50,"higher",-3.4,"n.s.",-6,"n.s.",-4,"n.s.",6,"n.s.",-5,"n.s.",-8,"n.s.",-0.06,-0.05,-0.034,"n.s.","n.s.","n.s.","gene_size",1,60242,"Agap1","chr1",89538006,89538017,12,-0.128,1.35832390990953e-05,1.1611923123e-07
"MmuEX0004297","Agrn",12,"chr4",155543446,155543878,"-","Neural-high",NA,18,"higher",-10.4,"n.s.",-7,"n.s.",-18,"lower",-1,"n.s.",-16,"n.s.",-12,"n.s.",-0.07,-0.16,-0.104,"n.s.","n.s.","n.s.","gene_size",2,29432,"Agrn","chr4",156254003,156254014,12,-0.114,2.71957764949863e-11,4.88498130835e-14
"MmuEX0004311","Agrn",24,"chr4",155541616,155542841,"-","Neural-high","ASD-low",4,"n.s.",-5.7,"n.s.",-5,"n.s.",-2,"n.s.",-3,"n.s.",-2,"n.s.",NA,"n.s.",-0.05,-0.02,-0.057,"n.s.","n.s.","n.s.","gene_size",2,29428,"Agrn","chr4",156253003,156253026,24,-0.017,1,0.880756437714
"MmuEX0004381","Ahi1",27,"chr10",20720512,20737718,"+",NA,NA,-2,"n.s.",1.1,"n.s.",2,"n.s.",-4,"n.s.",5,"n.s.",0,"n.s.",1,"n.s.",0.02,0,0.011,"n.s.","n.s.","n.s.","gene_size",1,21098,"Ahi1","chr10",20883651,20883677,27,0.02,0.121844502872171,0.00855153398908
"MmuEX0004470","Akap1",13,"chr11",88702617,88705572,"-",NA,NA,2,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",-1,"n.s.",0,-0.01,0,"n.s.","n.s.","n.s.","gene_size",2,31810,"Akap1","chr11",88734638,88734650,13,-0.445,1,1
"MmuEX0004898","Ank2",12,"chr3",126679866,126684717,"-","Neural-high","ASD-low",20,"higher",-17.9,"n.s.",-25,"lower",10,"n.s.",-17,"lower",-21,"lower",-24,"lower",-0.25,-0.21,-0.179,"lower","lower","n.s.","gene_size",2,25079,"Ank2","chr3",126772905,126772916,12,-0.184,0.00608290220861478,0.000178867230563
"MmuEX0004901","Ank2",24,"chr3",126751199,126755605,"-","Neural-high",NA,0,"n.s.",-18.3,"lower",-43,"lower",-1,"n.s.",0,"n.s.",-2,"n.s.",-4,"n.s.",-0.43,-0.02,-0.183,"lower","n.s.","lower","gene_size",1,25083,"Ank2","chr3",126845875,126845898,24,0.005,1,1
"MmuEX0004910","Ank3",12,"chr10",69390567,69395141,"+","Neural-high",NA,-4,"n.s.",-7.1,"n.s.",-12,"lower",-5,"n.s.",-8,"n.s.",-7,"n.s.",-12,"n.s.",-0.12,-0.07,-0.071,"lower","n.s.","n.s.","gene_size",2,60664,"Ank3","chr10",69765277,69765288,12,-0.03,1,0.52205394877
"MmuEX0004931","Ank3",27,"chr10",69443143,69444863,"+","Neural-high","n.s.",44,"higher",-15.1,"lower",-18,"lower",-12,"lower",NA,"n.s.",-8,"n.s.",-4,"n.s.",-0.18,-0.08,-0.151,"lower","n.s.","lower","gene_size_contained",2,60667,"Ank3","chr10",69816654,69816680,27,-0.129,0.00320802029789536,8.07794087585e-05
"MmuEX0005343","Anxa6",18,"chr11",54799718,54804892,"-",NA,"n.s.",7,"n.s.",-1.6,"n.s.",-2,"n.s.",-14,"lower",-9,"n.s.",-1,"n.s.",-12,"lower",-0.02,-0.01,-0.016,"n.s.","n.s.","n.s.","gene_size",1,34345,"Anxa6","chr11",54877877,54877894,18,0.01,1,0.491981739207
"MmuEX0005383","Ap1ar",26,"chr3",127519925,127525501,"-",NA,NA,-3,"n.s.",-1,"n.s.",-5,"n.s.",3,"n.s.",-6,"n.s.",2,"n.s.",7,"n.s.",-0.05,0.02,-0.01,"n.s.","n.s.","n.s.","gene_size",2,42257,"Ap1ar","chr3",127614409,127614434,26,0.022,1,0.587868266293
"MmuEX0005395","Ap1g1",9,"chr8",112353576,112356616,"+","Neural-high","n.s.",1,"n.s.",-4.8,"n.s.",-6,"n.s.",-12,"lower",-23,"lower",-3,"n.s.",-6,"n.s.",-0.06,-0.03,-0.048,"n.s.","n.s.","n.s.","gene_size",1,40340,"Ap1g1","chr8",110557245,110557253,9,-0.008,1,0.933504938385
"MmuEX0005412","Ap1s2",9,"chrX",160355776,160370064,"+","Neural-high","ASD-low",-1,"n.s.",-13.6,"lower",-36,"lower",-2,"n.s.",1,"n.s.",-2,"n.s.",-20,"lower",-0.36,-0.02,-0.136,"lower","n.s.","lower","gene_size",1,38119,"Ap1s2","chrX",162714359,162714367,9,-0.012,1,0.798984825097
