"GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR","sig_splicing","log2FoldChange","padj","sig_expression"
"ENSMUSG00000000386","Mx1","chr16",97259879,97259932,53,"Regular (>50bp)",0.173,0.00331046029530328,TRUE,-0.672085490404612,5.19552358749424e-06,FALSE
"ENSMUSG00000000386","Mx1","chr16",97256688,97256843,155,"Regular (>50bp)",-0.222,0.00170232807648526,TRUE,-0.672085490404612,5.19552358749424e-06,FALSE
"ENSMUSG00000000538","Tom1l2","chr11",60129835,60129898,63,"Regular (>50bp)",-0.151,6.10806624409645e-06,TRUE,-0.214453990191695,0.00113906455937632,FALSE
"ENSMUSG00000000568","Hnrnpd","chr5",100124392,100124449,57,"Regular (>50bp)",0.202,0,TRUE,-0.115986971872958,0.0578736583538803,FALSE
"ENSMUSG00000000631","Myo18a","chr11",77706681,77706717,36,"Small (30-50bp)",0.169,0.000733043013247745,TRUE,-0.0809852501055471,0.296268996510784,FALSE
"ENSMUSG00000000631","Myo18a","chr11",77706681,77706825,144,"Regular (>50bp)",0.185,7.64290750052284e-07,TRUE,-0.0809852501055471,0.296268996510784,FALSE
"ENSMUSG00000000827","Tpd52l2","chr2",181152296,181152323,27,"Microexon (0-30bp)",0.106,0.000429899112835956,TRUE,0.0584576419315052,0.443616383789084,FALSE
"ENSMUSG00000001036","Epn2","chr11",61444335,61444405,70,"Regular (>50bp)",-0.119,0.00167767497948593,TRUE,0.079540560707157,0.265530913896407,FALSE
"ENSMUSG00000001036","Epn2","chr11",61425403,61425439,36,"Small (30-50bp)",0.122,7.70019309919651e-05,TRUE,0.079540560707157,0.265530913896407,FALSE
"ENSMUSG00000001053","N4bp3","chr11",51540975,51541181,206,"Regular (>50bp)",0.176,0.0167201831173847,TRUE,0.511467155921427,2.95362015352964e-11,FALSE
"ENSMUSG00000001120","Pcbp3","chr10",76686055,76686182,127,"Regular (>50bp)",0.179,3.76564719817768e-08,TRUE,-0.101186139119715,0.0953535910008909,FALSE
"ENSMUSG00000001143","Lman2l","chr1",36468503,36468536,33,"Small (30-50bp)",0.204,0,TRUE,0.155353298458487,0.00674814813536954,FALSE
"ENSMUSG00000001143","Lman2l","chr1",36468503,36468536,33,"Small (30-50bp)",0.228,7.43889692715926e-06,TRUE,0.155353298458487,0.00674814813536954,FALSE
"ENSMUSG00000001248","Gramd1a","chr7",30832644,30832656,12,"Microexon (0-30bp)",0.183,0,TRUE,-0.423998333278918,1.9061500180806e-14,FALSE
"ENSMUSG00000001419","Mef2d","chr3",88065527,88065662,135,"Regular (>50bp)",-0.326,0.0389513018178845,TRUE,0.00982697289326646,0.916948372804588,FALSE
"ENSMUSG00000001520","Nrip2","chr6",128381893,128382047,154,"Regular (>50bp)",0.01,1,FALSE,1.15327769188095,0.000260012862448204,TRUE
"ENSMUSG00000001520","Nrip2","chr6",128381897,128382047,150,"Regular (>50bp)",0.005,1,FALSE,1.15327769188095,0.000260012862448204,TRUE
"ENSMUSG00000001576","Ergic1","chr17",26873800,26873927,127,"Regular (>50bp)",-0.156,9.56667335520824e-06,TRUE,0.302130056873258,1.03685525244372e-05,FALSE
