"GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR","sig_splicing","log2FoldChange","padj","sig_expression"
"ENSMUSG00000000037","Scml2","chrX",160038025,160038177,152,"Regular (>50bp)",-0.251,0.0012169775474326,TRUE,-0.402999357257098,0.00279170777513452,FALSE
"ENSMUSG00000000131","Xpo6","chr7",125702794,125702887,93,"Regular (>50bp)",0.148,0.0300447947991917,TRUE,-0.0114166702809811,0.872355939597341,FALSE
"ENSMUSG00000000296","Tpd52l1","chr10",31214180,31214241,61,"Regular (>50bp)",-0.561,0.00014979744909032,TRUE,-0.241204329597759,0.158261397081529,FALSE
"ENSMUSG00000000296","Tpd52l1","chr10",31214180,31214241,61,"Regular (>50bp)",-0.592,0.000113527244093131,TRUE,-0.241204329597759,0.158261397081529,FALSE
"ENSMUSG00000000386","Mx1","chr16",97263898,97263970,72,"Regular (>50bp)",-0.312,0.0498350464452013,TRUE,-0.582033375367959,7.64738987874151e-05,FALSE
"ENSMUSG00000000538","Tom1l2","chr11",60129835,60129898,63,"Regular (>50bp)",-0.234,3.20736397438526e-06,TRUE,-0.351320750797245,2.92996571086524e-08,FALSE
"ENSMUSG00000000538","Tom1l2","chr11",60129835,60129898,63,"Regular (>50bp)",-0.235,0,TRUE,-0.351320750797245,2.92996571086524e-08,FALSE
"ENSMUSG00000000568","Hnrnpd","chr5",100124392,100124449,57,"Regular (>50bp)",0.258,0,TRUE,0.0639389783613342,0.324939806567802,FALSE
"ENSMUSG00000000631","Myo18a","chr11",77702834,77703545,711,"Regular (>50bp)",-0.444,0.0158665579843822,TRUE,-0.437032279669625,2.19596651377955e-11,FALSE
"ENSMUSG00000000631","Myo18a","chr11",77745503,77745548,45,"Small (30-50bp)",-0.12,0.000131915200960212,TRUE,-0.437032279669625,2.19596651377955e-11,FALSE
"ENSMUSG00000000751","Rpa1","chr11",75232969,75233020,51,"Regular (>50bp)",-0.144,0.000640439286395643,TRUE,0.741869709165862,7.36892637426688e-23,FALSE
"ENSMUSG00000000881","Dlg3","chrX",99853467,99853513,46,"Small (30-50bp)",0.134,7.81094895861366e-09,TRUE,-0.850403421355142,5.74500623387466e-23,FALSE
"ENSMUSG00000000889","Dbh","chr2",27064826,27064993,167,"Regular (>50bp)",0.133,1,FALSE,1.38921097804763,1.04825112176297e-05,TRUE
"ENSMUSG00000000889","Dbh","chr2",27060323,27060581,258,"Regular (>50bp)",-0.146,0.0114783170626558,TRUE,1.38921097804763,1.04825112176297e-05,TRUE
"ENSMUSG00000001017","Chtop","chr3",90409422,90409560,138,"Regular (>50bp)",-0.103,4.04967711294638e-08,TRUE,0.149276168167151,0.00763011157536571,FALSE
"ENSMUSG00000001036","Epn2","chr11",61444335,61444405,70,"Regular (>50bp)",-0.11,0.00419423930225094,TRUE,-0.0694489405825885,0.332471139201008,FALSE
"ENSMUSG00000001053","N4bp3","chr11",51538834,51538989,155,"Regular (>50bp)",-0.359,0.0455946029911624,TRUE,0.345137917014536,1.08153780053314e-05,FALSE
"ENSMUSG00000001053","N4bp3","chr11",51540975,51541181,206,"Regular (>50bp)",0.4,3.301150455564e-05,TRUE,0.345137917014536,1.08153780053314e-05,FALSE
"ENSMUSG00000001120","Pcbp3","chr10",76685210,76685444,234,"Regular (>50bp)",-0.12,2.8727302488982e-06,TRUE,-0.235276631630243,2.067915875788e-05,FALSE
"ENSMUSG00000001120","Pcbp3","chr10",76686055,76686182,127,"Regular (>50bp)",0.163,7.57467863377302e-09,TRUE,-0.235276631630243,2.067915875788e-05,FALSE
"ENSMUSG00000001134","Uxt","chrX",20818446,20818510,64,"Regular (>50bp)",-0.304,1.8838970051458e-05,TRUE,0.522766981365033,0.0184645625407955,FALSE
"ENSMUSG00000001143","Lman2l","chr1",36468503,36468536,33,"Small (30-50bp)",0.157,0.0317585911897278,TRUE,0.162588022655808,0.00410289892981589,FALSE
"ENSMUSG00000001482","Def8","chr8",124174055,124174102,47,"Small (30-50bp)",-0.364,1.16031370093126e-07,TRUE,0.184244046900364,0.0043779444184345,FALSE
"ENSMUSG00000001576","Ergic1","chr17",26873800,26873927,127,"Regular (>50bp)",-0.2,3.3578016557687e-10,TRUE,0.262373638431236,0.000137695735578462,FALSE
"ENSMUSG00000001844","Zdhhc4","chr5",143314432,143314652,220,"Regular (>50bp)",-0.137,1.81552964461352e-06,TRUE,0.163909867780454,0.127292470560373,FALSE
"ENSMUSG00000001988","Npas1","chr7",16194730,16194878,148,"Regular (>50bp)",0.117,0.000155889898031129,TRUE,-0.578947737504236,1.37059283369659e-11,FALSE
"ENSMUSG00000001995","Sipa1l2","chr8",126149931,126149985,54,"Regular (>50bp)",0.157,6.38313611492324e-05,TRUE,0.193711554147335,0.00182270711067483,FALSE
"ENSMUSG00000002012","Pnck","chrX",72702785,72702855,70,"Regular (>50bp)",0.135,0.00040050022321504,TRUE,-0.954833366274903,3.32982318012407e-11,FALSE
"ENSMUSG00000002031","Ift46","chr9",44685479,44685528,49,"Small (30-50bp)",0.499,0.00420438101659756,TRUE,-0.106708739334931,0.0823002712527151,FALSE
"ENSMUSG00000002031","Ift46","chr9",44687653,44687758,105,"Regular (>50bp)",-0.27,3.68914802048504e-05,TRUE,-0.106708739334931,0.0823002712527151,FALSE
"ENSMUSG00000002031","Ift46","chr9",44685479,44685528,49,"Small (30-50bp)",0.809,6.10355387630414e-14,TRUE,-0.106708739334931,0.0823002712527151,FALSE
"ENSMUSG00000002104","Rapsn","chr2",90872198,90872357,159,"Regular (>50bp)",0.192,0.00970617544764476,TRUE,-0.00991463731282486,0.961168225386123,FALSE
"ENSMUSG00000002105","Slc39a13","chr2",90895250,90895352,102,"Regular (>50bp)",-0.118,2.70313564030006e-09,TRUE,-0.191060657375286,0.0597895242829014,FALSE
"ENSMUSG00000002228","Ppm1j","chr3",104692271,104692335,64,"Regular (>50bp)",-0.006,1,FALSE,-1.41748209256082,5.044548609886e-30,TRUE
"ENSMUSG00000002228","Ppm1j","chr3",104691949,104692068,119,"Regular (>50bp)",-0.006,1,FALSE,-1.41748209256082,5.044548609886e-30,TRUE
"ENSMUSG00000002228","Ppm1j","chr3",104692501,104692609,108,"Regular (>50bp)",-0.005,1,FALSE,-1.41748209256082,5.044548609886e-30,TRUE
"ENSMUSG00000002228","Ppm1j","chr3",104692271,104692335,64,"Regular (>50bp)",0.008,1,FALSE,-1.41748209256082,5.044548609886e-30,TRUE
"ENSMUSG00000002228","Ppm1j","chr3",104691949,104692068,119,"Regular (>50bp)",-0.004,1,FALSE,-1.41748209256082,5.044548609886e-30,TRUE
"ENSMUSG00000002279","Lmf1","chr17",25807649,25807716,67,"Regular (>50bp)",0.237,3.13897056497055e-14,TRUE,-0.225586279453143,0.000503805062758042,FALSE
"ENSMUSG00000002395","Use1","chr8",71820141,71820337,196,"Regular (>50bp)",-0.11,2.33161561093591e-07,TRUE,-0.136491659257081,0.152379510370209,FALSE
"ENSMUSG00000002477","Snrpd1","chr18",10626948,10627017,69,"Regular (>50bp)",-0.108,8.64525148203521e-05,TRUE,0.349551060799742,6.02709826639789e-05,FALSE
"ENSMUSG00000002496","Tsc2","chr17",24820362,24820431,69,"Regular (>50bp)",-0.136,0.00016420310232901,TRUE,0.192644950981383,0.00311331751072305,FALSE
"ENSMUSG00000002524","Puf60","chr15",75946455,75946506,51,"Regular (>50bp)",0.168,0,TRUE,0.358847438491631,2.32862790446539e-11,FALSE
"ENSMUSG00000002578","Ikzf4","chr10",128479743,128479837,94,"Regular (>50bp)",-0.186,0.0317159376809196,TRUE,0.101628054313039,0.477994009777344,FALSE
"ENSMUSG00000002769","Gnmt","chr17",47037194,47037337,143,"Regular (>50bp)",0.049,1,FALSE,1.10060748896277,0.000392005711004028,TRUE
"ENSMUSG00000002771","Grin2d","chr7",45506163,45506317,154,"Regular (>50bp)",-0.121,0.00379792490271077,TRUE,0.169094252983649,0.101715793776423,FALSE
"ENSMUSG00000002799","Jag2","chr12",112879224,112879338,114,"Regular (>50bp)",-0.174,0,TRUE,0.0201290616203073,0.785138328331915,FALSE
"ENSMUSG00000002885","Adgre5","chr8",84456739,84456886,147,"Regular (>50bp)",0.214,0.0228343239875342,TRUE,-0.163905480978339,0.27005531291303,FALSE
"ENSMUSG00000002885","Adgre5","chr8",84458531,84458666,135,"Regular (>50bp)",0.171,0.0434580165481204,TRUE,-0.163905480978339,0.27005531291303,FALSE
"ENSMUSG00000003032","Klf4","chr4",55531629,55531750,121,"Regular (>50bp)",0.028,0.452753559220338,FALSE,1.3356997808045,1.30952305258351e-34,TRUE
"ENSMUSG00000003033","Ap1m1","chr8",72995567,72995782,215,"Regular (>50bp)",-0.28,0.0157787671167549,TRUE,0.0647683576663544,0.384072176133381,FALSE
"ENSMUSG00000003131","Pafah1b2","chr9",45895148,45895337,189,"Regular (>50bp)",-0.418,0.00788053050323619,TRUE,0.172486187196309,0.00584323544393937,FALSE
"ENSMUSG00000003198","Zfp959","chr17",56199757,56199860,103,"Regular (>50bp)",0.291,3.9339154757188e-06,TRUE,0.250916720888799,0.130349253217409,FALSE
"ENSMUSG00000003341","Atp8b3","chr10",80357844,80357983,139,"Regular (>50bp)",-0.335,2.23933541925972e-09,TRUE,-0.29870293459416,0.00289156684409986,FALSE
"ENSMUSG00000003341","Atp8b3","chr10",80359485,80359725,240,"Regular (>50bp)",-0.166,0.00404021948619805,TRUE,-0.29870293459416,0.00289156684409986,FALSE
