"GeneID","geneSymbol","chr","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR","sig_splicing","log2FoldChange","padj","sig_expression"
"ENSMUSG00000000037","Scml2","chrX",160038025,160038177,152,"Regular (>50bp)",-0.276,0.00668244294781898,TRUE,-0.892481969174154,5.82588541011612e-12,FALSE
"ENSMUSG00000000148","Brat1","chr5",140702683,140702782,99,"Regular (>50bp)",-0.002,1,FALSE,-1.4017938042893,5.84976210165921e-116,TRUE
"ENSMUSG00000000148","Brat1","chr5",140700047,140700139,92,"Regular (>50bp)",-0.039,0.449975155443788,FALSE,-1.4017938042893,5.84976210165921e-116,TRUE
"ENSMUSG00000000148","Brat1","chr5",140698807,140698927,120,"Regular (>50bp)",0.005,1,FALSE,-1.4017938042893,5.84976210165921e-116,TRUE
"ENSMUSG00000000148","Brat1","chr5",140697260,140697408,148,"Regular (>50bp)",0.001,1,FALSE,-1.4017938042893,5.84976210165921e-116,TRUE
"ENSMUSG00000000148","Brat1","chr5",140702898,140703074,176,"Regular (>50bp)",-0.012,1,FALSE,-1.4017938042893,5.84976210165921e-116,TRUE
"ENSMUSG00000000148","Brat1","chr5",140691707,140691851,144,"Regular (>50bp)",0.001,1,FALSE,-1.4017938042893,5.84976210165921e-116,TRUE
"ENSMUSG00000000149","Gna12","chr5",140748344,140748395,51,"Regular (>50bp)",0,1,FALSE,-1.29201094642766,1.42213845354968e-77,TRUE
"ENSMUSG00000000149","Gna12","chr5",140771151,140771367,216,"Regular (>50bp)",0,1,FALSE,-1.29201094642766,1.42213845354968e-77,TRUE
"ENSMUSG00000000154","Slc22a18","chr7",143029806,143030042,236,"Regular (>50bp)",-0.016,1,FALSE,1.29736709933005,3.37477840450207e-09,TRUE
"ENSMUSG00000000154","Slc22a18","chr7",143033021,143033119,98,"Regular (>50bp)",-0.01,1,FALSE,1.29736709933005,3.37477840450207e-09,TRUE
"ENSMUSG00000000159","Igsf5","chr16",96187685,96187826,141,"Regular (>50bp)",-0.014,1,FALSE,5.88462862617748,1.21238726533084e-108,TRUE
"ENSMUSG00000000159","Igsf5","chr16",96179284,96179584,300,"Regular (>50bp)",-0.245,1,FALSE,5.88462862617748,1.21238726533084e-108,TRUE
"ENSMUSG00000000159","Igsf5","chr16",96187685,96187826,141,"Regular (>50bp)",-0.006,1,FALSE,5.88462862617748,1.21238726533084e-108,TRUE
"ENSMUSG00000000244","Tspan32","chr7",142568695,142568797,102,"Regular (>50bp)",-0.259,0.0387604030216811,TRUE,1.6533902152637,4.51254440887476e-05,TRUE
"ENSMUSG00000000244","Tspan32","chr7",142570937,142571021,84,"Regular (>50bp)",0.112,0.299731781490126,FALSE,1.6533902152637,4.51254440887476e-05,TRUE
