"paper_event","paper_gene","match_type","n_candidates","selected","rmats_ID","geneSymbol","chr","exonStart_0base","exonEnd","strand","upstreamES","upstreamEE","downstreamES","downstreamEE","IncLevelDifference","FDR"
"Ank2.E1","Ank2","coordinate",2,FALSE,25078,"Ank2","chr3",126772904,126772916,"-",126770493,126770581,126775448,126775593,0.002,1
"Ank2.E1","Ank2","coordinate",2,TRUE,25079,"Ank2","chr3",126772904,126772916,"-",126770493,126770596,126775448,126775593,-0.184,0.00608290220861478
"Dock7.E1","Dock7","coordinate",2,FALSE,32839,"Dock7","chr4",98881883,98881973,"-",98879629,98879696,98889269,98889439,0.011,1
"Dock7.E1","Dock7","coordinate",2,TRUE,32840,"Dock7","chr4",98881883,98881973,"-",98880605,98880695,98889269,98889439,-0.05,2.99049614855242e-05
"Madd.E1","Madd","coordinate",2,FALSE,42864,"Madd","chr2",90990661,90990715,"-",90988749,90988833,90992372,90992579,-0.008,1
"Madd.E1","Madd","coordinate",2,TRUE,42865,"Madd","chr2",90990661,90990715,"-",90989549,90989650,90992372,90992579,-0.129,0.000222829488523958
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17901,"Pbrm1","chr14",30745023,30745127,"+",30741105,30741250,30747454,30747607,0.05,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17902,"Pbrm1","chr14",30745023,30745127,"+",30741105,30741250,30747457,30747607,-0.054,0.12401701313476
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17903,"Pbrm1","chr14",30745023,30745136,"+",30741133,30741250,30747454,30747607,0.058,1
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17904,"Pbrm1","chr14",30745023,30745136,"+",30741133,30741250,30747457,30747607,-0.054,0.113508890560536
"Pbrm1.E2","Pbrm1","coordinate",6,TRUE,17905,"Pbrm1","chr14",30745023,30745136,"+",30744676,30744816,30747454,30747607,0.157,4.78855602129256e-06
"Pbrm1.E2","Pbrm1","coordinate",6,FALSE,17906,"Pbrm1","chr14",30745023,30745136,"+",30744676,30744816,30747457,30747607,0.008,1
"Senp6.E1","Senp6","coordinate",2,TRUE,64463,"Senp6","chr9",80006167,80006188,"+",79974217,79974854,80010975,80011046,-0.012,1
"Senp6.E1","Senp6","coordinate",2,FALSE,64464,"Senp6","chr9",80006167,80006188,"+",80000818,80000923,80010975,80011046,-0.004,1
