"event","gene","VastDB.ID","chrom_mm39","strand","start_mm39","end_mm39","exon_size","srrm3_dPSI","srrm4_dPSI","match_type","n_rmats_candidates","rmats_id","rmats_gene","rmats_chr","rmats_start","rmats_end","rmats_exon_size","rmats_dPSI","rmats_FDR","rmats_PValue"
"Acap2.E1","Acap2","MmuEX0003401","chr16","-",30948432,30948443,12,-0.0189,-0.3192,"gene_name",1,5566,"Acap2","chr16",30941439,30941459,21,-0.006,1,1
"Acbd5.E1","Acbd5","MmuEX0003422","chr2","+",22970680,22970712,33,-0.2456,-0.3956,"coordinate",1,26912,"Acbd5","chr2",22970680,22970712,33,-0.053,0.632778229392441,0.0804725704264
"Ank2.E1","Ank2","MmuEX0004898","chr3","-",126772905,126772916,12,0.1067,NA,"coordinate",2,25079,"Ank2","chr3",126772905,126772916,12,-0.184,0.00608290220861478,0.000178867230563
"Csnk1g3.E1","Csnk1g3","MmuEX0012941","chr18","+",54081717,54081740,24,-0.0607,-0.0533,"coordinate",1,2297,"Csnk1g3","chr18",54081717,54081740,24,-0.008,0.322259670465235,0.0315313448649
"Dennd5a.E1","Dennd5a","MmuEX0014295","chr7","-",109534689,109534760,72,0.0336,0.112,"coordinate",1,57612,"Dennd5a","chr7",109534689,109534760,72,-0.012,1,0.260278020387
"Dock7.E1","Dock7","MmuEX0015458","chr4","-",98881884,98881973,90,-0.0383,-0.2379,"coordinate",2,32840,"Dock7","chr4",98881884,98881973,90,-0.05,2.99049614855242e-05,2.93449211264e-07
"Ergic3.E1","Ergic3","MmuEX0017296","chr2","+",155857297,155857311,15,-0.2154,NA,"coordinate",1,51155,"Ergic3","chr2",155857297,155857311,15,-0.123,1.68970967297462e-05,1.50350044081e-07
"Herc4.E1","Herc4","MmuEX0022805","chr10","+",63139624,63139647,24,-0.0599,-0.4534,"coordinate",1,66789,"Herc4","chr10",63139624,63139647,24,0.001,1,0.900404518562
"Kif1b.E1","Kif1b","MmuEX0025502","chr4","-",149349802,149349819,18,-0.1758,-0.7615,"coordinate",1,46172,"Kif1b","chr4",149349802,149349819,18,-0.002,1,1
"Kifap3.E1","Kifap3","MmuEX0025623","chr1","+",163739641,163739706,66,0.0073,0.0153,"coordinate",1,55850,"Kifap3","chr1",163739641,163739706,66,-0.018,1,0.402017885144
"Kifc3.E1","Kifc3","MmuEX0025635","chr8","-",95827275,95827301,27,0.0072,0.0748,"coordinate",1,61585,"Kifc3","chr8",95827275,95827301,27,-0.008,1,0.927344110916
"Madd.E1","Madd","MmuEX0027516","chr2","-",90990662,90990715,54,-0.13,-0.1692,"coordinate",2,42865,"Madd","chr2",90990662,90990715,54,-0.129,0.000222829488523958,3.17607809708e-06
"Med24.E1","Med24","MmuEX0028537","chr11","-",98608535,98608591,57,-0.1116,-0.1998,"coordinate",1,14575,"Med24","chr11",98608535,98608591,57,-0.168,5.39453251717858e-11,1.10356168648e-13
"Mef2d.E1","Mef2d","MmuEX0028570","chr3","+",88069088,88069108,21,-0.2158,-0.3272,"coordinate",1,39842,"Mef2d","chr3",88069088,88069108,21,0.013,1,0.203616413075
"Numa1.E1","Numa1","MmuEX0032644","chr7","+",101651502,101651543,42,0.0515,0.1798,"coordinate",1,57025,"Numa1","chr7",101651502,101651543,42,0.009,1,0.231633756722
"Pacsin2.E1","Pacsin2","MmuEX0033442","chr15","-",83263885,83264007,123,0.0501,0.0597,"coordinate",1,31996,"Pacsin2","chr15",83263885,83264007,123,-0.034,0,0
"Pbrm1.E2","Pbrm1","MmuEX0033844","chr14","+",30745024,30745136,113,0.0025,0.0124,"coordinate",6,17905,"Pbrm1","chr14",30745024,30745136,113,0.157,4.78855602129256e-06,3.33700058697e-08
"Ptbp2.E1","Ptbp2","MmuEX0037640","chr3","-",119518261,119518294,34,-0.0204,-9e-04,"coordinate",1,54735,"Ptbp2","chr3",119518261,119518294,34,-0.027,0.526061450757934,0.0619976622438
"Rnf114.E4","Rnf114","MmuEX0039988","chr2","+",167348989,167349117,129,-0.0404,NA,"gene_name",1,39708,"Rnf114","chr2",167354437,167354544,108,0.001,1,1
"Senp6.E1","Senp6","MmuEX0041679","chr9","+",80006168,80006188,21,-0.0566,-0.3452,"coordinate",2,64463,"Senp6","chr9",80006168,80006188,21,-0.012,1,0.552408310142
"Sgce.E1","Sgce","MmuEX0042031","chr6","-",4690469,4690495,27,-0.0238,0.2133,"coordinate",1,15833,"Sgce","chr6",4690469,4690495,27,-0.014,1,0.315122243991
"Trappc9.E1","Trappc9","MmuEX0048796","chr15","-",72914026,72914052,27,0.009,-0.0277,"coordinate",1,45813,"Trappc9","chr15",72914026,72914052,27,0.058,0.349702951872078,0.03513184454
