"GeneID","geneSymbol","neg_n_sig","neg_event_types","neg_n_SE","neg_n_microexon","neg_n_inclusion","neg_n_exclusion","neg_mean_dPSI","neg_mean_abs_dPSI","pos_n_sig","pos_event_types","pos_n_SE","pos_n_microexon","pos_n_inclusion","pos_n_exclusion","pos_mean_dPSI","pos_mean_abs_dPSI"
"ENSMUSG00000020300","Cpeb4",3,"MXE,SE",2,2,2,1,0.0547,0.1233,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024381","Bin1",2,"SE",2,2,2,0,0.149,0.149,1,"SE",1,0,0,1,-0.168,0.168
"ENSMUSG00000024983","Vti1a",2,"SE",2,2,2,0,0.214,0.214,1,"SE",1,1,1,0,0.171,0.171
"ENSMUSG00000028078","Dclk2",3,"SE",3,2,3,0,0.1243,0.1243,0,"",0,0,0,0,NA,NA
"ENSMUSG00000028184","Adgrl2",4,"A5SS,SE",3,2,2,2,-0.0855,0.258,3,"A3SS,SE",2,1,1,2,-0.0603,0.135
"ENSMUSG00000028524","Sgip1",3,"SE",3,2,3,0,0.2543,0.2543,1,"SE",1,0,1,0,0.128,0.128
"ENSMUSG00000029462","Vps29",2,"SE",2,2,2,0,0.1375,0.1375,0,"",0,0,0,0,NA,NA
"ENSMUSG00000031561","Tenm3",2,"SE",2,2,2,0,0.1975,0.1975,1,"SE",1,1,0,1,-0.107,0.107
"ENSMUSG00000031865","Dctn1",4,"MXE,SE",2,4,3,1,0.129,0.1975,1,"SE",1,1,0,1,-0.117,0.117
"ENSMUSG00000062785","Kcnc3",2,"SE",2,2,2,0,0.2385,0.2385,2,"SE",2,2,2,0,0.207,0.207
"ENSMUSG00000069601","Ank3",5,"A3SS,SE",4,2,3,2,0.0746,0.1746,3,"A3SS,SE",2,0,0,3,-0.2227,0.2227
"ENSMUSG00000000827","Tpd52l2",1,"SE",1,1,1,0,0.106,0.106,0,"",0,0,0,0,NA,NA
"ENSMUSG00000001248","Gramd1a",1,"SE",1,1,1,0,0.183,0.183,0,"",0,0,0,0,NA,NA
"ENSMUSG00000003810","Mast2",1,"SE",1,1,1,0,0.248,0.248,0,"",0,0,0,0,NA,NA
"ENSMUSG00000003863","Ppfia3",1,"SE",1,1,1,0,0.239,0.239,0,"",0,0,0,0,NA,NA
"ENSMUSG00000004562","Arhgef40",2,"A3SS,SE",1,1,0,2,-0.163,0.163,3,"A3SS,SE",1,1,0,3,-0.1637,0.1637
"ENSMUSG00000004980","Hnrnpa2b1",1,"SE",1,1,0,1,-0.167,0.167,2,"SE",2,1,0,2,-0.14,0.14
"ENSMUSG00000005881","Ergic3",1,"SE",1,1,1,0,0.169,0.169,0,"",0,0,0,0,NA,NA
"ENSMUSG00000009079","Ewsr1",1,"SE",1,1,1,0,0.222,0.222,0,"",0,0,0,0,NA,NA
"ENSMUSG00000016346","Kcnq2",2,"A5SS,SE",1,1,1,1,-0.02,0.173,1,"SE",1,1,1,0,0.126,0.126
"ENSMUSG00000016664","Pacsin2",1,"SE",1,1,1,0,0.132,0.132,1,"SE",1,1,0,1,-0.13,0.13
"ENSMUSG00000018820","Zfyve27",1,"SE",1,1,1,0,0.131,0.131,0,"",0,0,0,0,NA,NA
"ENSMUSG00000020231","Dip2a",1,"SE",1,1,1,0,0.168,0.168,0,"",0,0,0,0,NA,NA
"ENSMUSG00000020859","Spag9",1,"SE",1,1,1,0,0.196,0.196,1,"SE",1,1,1,0,0.168,0.168
"ENSMUSG00000021198","Unc79",1,"SE",1,1,1,0,0.285,0.285,2,"A3SS,SE",1,1,1,1,0.044,0.167
"ENSMUSG00000021375","Kif13a",1,"SE",1,1,1,0,0.115,0.115,2,"SE",2,1,1,1,-0.037,0.175
"ENSMUSG00000021427","Ssr1",1,"SE",1,1,1,0,0.156,0.156,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022329","Stk3",1,"SE",1,1,1,0,0.135,0.135,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022623","Shank3",1,"SE",1,1,1,0,0.129,0.129,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022635","Zcrb1",1,"SE",1,1,0,1,-0.163,0.163,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022770","Dlg1",2,"SE",2,1,1,1,0.0175,0.1215,1,"A5SS",0,0,1,0,0.153,0.153
"ENSMUSG00000024163","Mapk8ip3",2,"MXE,SE",1,2,1,1,-0.021,0.17,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024273","2700062C07Rik",1,"SE",1,1,0,1,-0.102,0.102,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024603","Dctn4",1,"SE",1,1,1,0,0.164,0.164,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024908","Ppp6r3",2,"A3SS,SE",1,1,1,1,0.03,0.181,0,"",0,0,0,0,NA,NA
"ENSMUSG00000025006","Sorbs1",7,"A3SS,MXE,SE",5,1,4,3,0.0384,0.1727,4,"A3SS,SE",3,0,2,2,0.0348,0.1683
"ENSMUSG00000026113","Inpp4a",3,"A5SS,SE",2,1,2,1,0.1007,0.1733,3,"A5SS,SE",2,0,2,1,0.0747,0.166
"ENSMUSG00000026860","Sh3glb2",1,"SE",1,1,1,0,0.228,0.228,3,"RI,SE",2,1,1,2,-0.141,0.2137
"ENSMUSG00000026977","Marchf7",1,"SE",1,1,1,0,0.187,0.187,0,"",0,0,0,0,NA,NA
"ENSMUSG00000027506","Tpd52",1,"SE",1,1,1,0,0.314,0.314,1,"SE",1,1,1,0,0.115,0.115
"ENSMUSG00000027523","Gnas",1,"SE",1,1,1,0,0.15,0.15,0,"",0,0,0,0,NA,NA
"ENSMUSG00000027646","Src",1,"SE",1,1,1,0,0.119,0.119,0,"",0,0,0,0,NA,NA
"ENSMUSG00000027692","Tnik",1,"SE",1,1,1,0,0.176,0.176,1,"SE",1,1,1,0,0.111,0.111
"ENSMUSG00000027799","Nbea",1,"SE",1,1,1,0,0.201,0.201,0,"",0,0,0,0,NA,NA
"ENSMUSG00000028033","Kcnq5",1,"SE",1,1,1,0,0.353,0.353,0,"",0,0,0,0,NA,NA
"ENSMUSG00000029055","Plch2",2,"RI,SE",1,1,1,1,-0.05,0.194,4,"A5SS,RI",0,0,0,4,-0.2212,0.2212
"ENSMUSG00000029148","Nrbp1",1,"SE",1,1,1,0,0.114,0.114,0,"",0,0,0,0,NA,NA
"ENSMUSG00000029461","Fam168a",1,"SE",1,1,0,1,-0.191,0.191,2,"MXE,SE",1,1,0,2,-0.1945,0.1945
"ENSMUSG00000030172","Erc1",2,"SE",2,1,2,0,0.1455,0.1455,0,"",0,0,0,0,NA,NA
"ENSMUSG00000031012","Cask",2,"SE",2,1,2,0,0.1385,0.1385,2,"MXE,SE",1,0,2,0,0.135,0.135
"ENSMUSG00000031314","Taf1",1,"SE",1,1,1,0,0.201,0.201,0,"",0,0,0,0,NA,NA
"ENSMUSG00000031502","Col4a1",1,"SE",1,1,1,0,0.116,0.116,1,"SE",1,1,0,1,-0.264,0.264
"ENSMUSG00000032570","Atp2c1",1,"SE",1,1,1,0,0.168,0.168,0,"",0,0,0,0,NA,NA
"ENSMUSG00000032826","Ank2",2,"SE",2,1,2,0,0.165,0.165,1,"A3SS",0,0,0,1,-0.118,0.118
"ENSMUSG00000033335","Dnm2",1,"SE",1,1,1,0,0.118,0.118,0,"",0,0,0,0,NA,NA
"ENSMUSG00000033382","Trappc8",1,"SE",1,1,1,0,0.11,0.11,0,"",0,0,0,0,NA,NA
"ENSMUSG00000033392","Clasp2",1,"SE",1,1,1,0,0.252,0.252,1,"SE",1,1,0,1,-0.131,0.131
"ENSMUSG00000033419","Snap91",3,"MXE,SE",2,1,3,0,0.192,0.192,1,"MXE",0,0,0,1,-0.145,0.145
"ENSMUSG00000033902","Mapkbp1",1,"SE",1,1,1,0,0.12,0.12,0,"",0,0,0,0,NA,NA
"ENSMUSG00000034602","Mon2",1,"SE",1,1,1,0,0.104,0.104,1,"SE",1,1,0,1,-0.106,0.106
"ENSMUSG00000034908","Sidt2",2,"SE",2,1,2,0,0.136,0.136,0,"",0,0,0,0,NA,NA
"ENSMUSG00000034973","Dop1a",2,"A3SS,SE",1,1,1,1,-0.0035,0.1985,0,"",0,0,0,0,NA,NA
"ENSMUSG00000035954","Dock4",1,"SE",1,1,1,0,0.164,0.164,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036104","Rab3gap1",1,"SE",1,1,1,0,0.191,0.191,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036435","Exoc1",1,"SE",1,1,1,0,0.252,0.252,1,"SE",1,1,1,0,0.186,0.186
"ENSMUSG00000036529","Sbf1",1,"SE",1,1,1,0,0.134,0.134,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036578","Fxyd7",1,"SE",1,1,1,0,0.198,0.198,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036591","Arhgap21",1,"SE",1,1,1,0,0.21,0.21,0,"",0,0,0,0,NA,NA
"ENSMUSG00000037519","Ppfia1",1,"SE",1,1,1,0,0.265,0.265,2,"SE",2,2,1,1,-0.037,0.208
"ENSMUSG00000037533","Rapgef6",2,"SE",2,1,1,1,0.014,0.197,0,"",0,0,0,0,NA,NA
"ENSMUSG00000037541","Shank2",1,"SE",1,1,1,0,0.216,0.216,0,"",0,0,0,0,NA,NA
"ENSMUSG00000037697","Ddhd1",3,"SE",3,1,3,0,0.1813,0.1813,3,"MXE,SE",2,0,2,1,0.1013,0.186
"ENSMUSG00000039361","Picalm",1,"SE",1,1,1,0,0.118,0.118,1,"SE",1,1,0,1,-0.188,0.188
"ENSMUSG00000039671","Zmynd8",1,"SE",1,1,1,0,0.206,0.206,2,"A5SS,SE",1,1,1,1,-0.012,0.146
"ENSMUSG00000039860","Srrm3",1,"SE",1,1,1,0,0.114,0.114,0,"",0,0,0,0,NA,NA
"ENSMUSG00000040111","Gramd1b",1,"SE",1,1,1,0,0.133,0.133,0,"",0,0,0,0,NA,NA
"ENSMUSG00000040354","Mars1",2,"RI,SE",1,1,0,2,-0.1295,0.1295,2,"RI,SE",1,1,0,2,-0.193,0.193
"ENSMUSG00000040537","Adam22",1,"SE",1,1,1,0,0.13,0.13,0,"",0,0,0,0,NA,NA
"ENSMUSG00000040687","Madd",1,"SE",1,1,1,0,0.143,0.143,2,"A5SS",0,0,2,0,0.165,0.165
"ENSMUSG00000040940","Arhgef1",1,"SE",1,1,1,0,0.131,0.131,2,"A3SS,SE",1,0,1,1,-0.0125,0.2345
"ENSMUSG00000041609","Bicdl1",2,"SE",2,1,2,0,0.1625,0.1625,2,"SE",2,0,1,1,-0.0035,0.1055
