"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026628",2463.86961861091,2.14362573579588,0.0994432552001461,21.5562707745384,4.62400409538523e-103,8.00183908706414e-99
"ENSMUSG00000037447",1898.31138006328,1.97235415553977,0.0964682149522622,20.445637524399,6.56943482045108e-93,5.6842034783953e-89
"ENSMUSG00000062901",4908.4445725242,-1.0507754542272,0.0561852902310534,-18.7019671858247,4.77116235136497e-78,2.75216548301236e-74
"ENSMUSG00000091345",30777.2110205093,-0.738542733431701,0.0420604471412016,-17.559079458959,5.06906150967218e-69,2.19300273562193e-65
"ENSMUSG00000027313",9612.69894220114,0.981801965658132,0.0600198433291096,16.3579561558428,3.81725722815615e-60,1.32115272666484e-56
"ENSMUSG00000093930",8294.32990963736,-1.21161762947511,0.0773367618561825,-15.666774770429,2.55205060905235e-55,7.36053929827515e-52
"ENSMUSG00000027589",4343.66859732125,-0.944508911953867,0.0606851322426736,-15.564090857986,1.27671298851504e-54,3.15621689517897e-51
"ENSMUSG00000030747",1859.7759476257,1.84931627550806,0.119010815132026,15.5390606597938,1.88729440990032e-54,4.08245372041563e-51
"ENSMUSG00000023087",84170.8786706749,-1.17290227973331,0.0759029191060708,-15.4526636596708,7.23890738165251e-54,1.3918810248833e-50
"ENSMUSG00000028266",4222.22812903391,1.05485667745827,0.0711810701654413,14.8193427691735,1.09854010229741e-49,1.90102364702567e-46
"ENSMUSG00000035049",5244.5656646053,0.998155388460657,0.0683264903097253,14.608614959381,2.47498431333108e-48,3.89360032201767e-45
"ENSMUSG00000023341",813.193897118109,-1.4027051476572,0.096203859215556,-14.580549669159,3.73497301696183e-48,5.38614233821037e-45
"ENSMUSG00000033762",3611.4761994175,1.19788774843295,0.0823723522387443,14.5423520863049,6.53094625676758e-48,8.69369422872023e-45
"ENSMUSG00000037370",2418.92474655661,-0.929902708865568,0.0640160549557853,-14.5260858312471,8.28194604702661e-48,1.02370768816997e-44
"ENSMUSG00000026127",5234.79754297302,0.877371550416407,0.0623464133680164,14.0725264376875,5.60313280668121e-45,6.46414754797455e-42
"ENSMUSG00000011179",20180.3302636084,0.911507160419061,0.0648131181992811,14.0636214665131,6.35491427214726e-45,6.87323696746927e-42
"ENSMUSG00000024083",17367.2562396013,-0.673692867766489,0.0481560844037925,-13.9897767043832,1.79976116820344e-44,1.83205100092709e-41
