"metric","value"
"group_name","group2b_negonly_micro_small"
"group_label","Neg-Only Micro+Small (0-50bp)"
"total_genes","155"
"genes_with_sig_pos_events","62"
"genes_without_sig_pos_events","93"
"pct_genes_with_sig_pos","40"
"pos_total_sig_events","118"
"pos_sig_SE","83"
"pos_sig_A3SS","7"
"pos_sig_A5SS","6"
"pos_sig_MXE","15"
"pos_sig_RI","7"
"pos_sig_microexon","16"
"pos_sig_small","24"
"pos_sig_regular","43"
"pos_sig_inclusion","55"
"pos_sig_exclusion","63"
"neg_total_sig_events","261"
"neg_sig_SE","220"
"neg_sig_A3SS","4"
"neg_sig_A5SS","7"
"neg_sig_MXE","26"
"neg_sig_RI","4"
"neg_sig_microexon","91"
"neg_sig_small","85"
"neg_sig_regular","44"
"neg_sig_inclusion","196"
"neg_sig_exclusion","65"
