ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	54720	54867	0	1691,2449,2260	3,0,4	2573,2547,3300	0,2,0	298	149	1	1.0	0.996,1.0,0.996	1.0,0.998,1.0	-0.002
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	55111	55701	1	113,289,208	4,0,5	256,284,430	0,0,2	298	149	0.158073220297	0.9702595583337733	0.934,1.0,0.954	1.0,1.0,0.991	-0.034
2	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	52189	52367	55111	55701	2	3095,4419,3479	4,0,5	4415,4442,5250	0,0,2	296	149	1	1.0	0.997,1.0,0.997	1.0,1.0,0.999	-0.002
3	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	53535	54479	55111	55701	3	4679,6603,5533	9,24,6	6734,6704,8130	2,1,10	296	149	1	1.0	0.996,0.993,0.998	0.999,1.0,0.998	-0.003
4	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	58563	58835	4	4683,7590,6045	546,643,579	6725,7511,8431	693,760,792	298	149	0.886323569052	1.0	0.811,0.855,0.839	0.829,0.832,0.842	0.001
5	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	59591	59667	5	2492,3794,3024	855,1016,938	3313,3835,4309	885,750,842	298	149	9.74570853285e-05	0.0035268443693752785	0.593,0.651,0.617	0.652,0.719,0.719	-0.076
6	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	55111	55701	59591	59667	6	3807,5949,5336	855,1016,938	5975,6258,7132	885,750,842	298	149	8.20349176156e-06	0.00048024572891081107	0.69,0.745,0.74	0.771,0.807,0.809	-0.071
7	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	56985	57151	59591	59667	7	5611,9222,7904	159,120,126	8789,9291,10557	95,117,94	298	149	2.25509250562e-06	0.00016595907521010445	0.946,0.975,0.969	0.979,0.975,0.983	-0.016
168	"ENSMUSG00000031358"	"Msl3"	chrX	-	167449938	167450097	167447038	167447301	167451626	167451787	168	1346,1438,958	0,5,0	894,1044,968	0,0,0	298	149	1	1.0	1.0,0.993,1.0	1.0,1.0,1.0	-0.002
169	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167451626	167451787	167453215	167453307	169	1959,1998,1456	1,0,0	1331,1395,1452	0,0,0	275	149	1	1.0	0.999,1.0,1.0	1.0,1.0,1.0	-0.0
