ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205699	163205579	163205660	163210927	163211060	5	7,22,27	1,5,5	28,37,30	1,1,4	188	149	0.0201997342751	0.12834203753055554	0.847,0.777,0.811	0.957,0.967,0.856	-0.115
6	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205660	163210927	163211060	6	205,341,267	1,5,5	272,253,265	1,1,4	298	149	0.165752192374	0.5507769934501058	0.99,0.972,0.964	0.993,0.992,0.971	-0.01
7	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205660	163210927	163211060	7	190,321,270	1,5,5	273,251,290	1,1,4	298	149	0.133190147098	0.4794097683831825	0.99,0.97,0.964	0.993,0.992,0.973	-0.011
8	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205660	163210927	163211060	8	169,291,242	1,5,5	226,221,239	1,1,4	298	149	0.161993650186	0.54179832785035	0.988,0.967,0.96	0.991,0.991,0.968	-0.012
12	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205982	163210927	163211060	12	118,169,121	36,52,25	159,142,181	46,35,26	298	149	0.279664926958	0.764522804444047	0.621,0.619,0.708	0.633,0.67,0.777	-0.044
13	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205982	163210927	163211060	13	97,139,93	36,52,25	112,112,130	46,35,26	298	149	0.535835279527	1.0	0.574,0.572,0.65	0.549,0.615,0.714	-0.027
14	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163206359	163210927	163211060	14	26,28,11	21,32,28	16,21,19	47,33,51	298	149	0.0397638339944	0.21059090740235595	0.382,0.304,0.164	0.145,0.241,0.157	0.102
15	"ENSMUSG00000031295"	"Phka2"	chrX	+	159369774	159369950	159369774	159369945	159371960	159372014	15	13,19,14	107,208,130	11,47,26	153,205,277	154	149	0.27706948458	0.7598420713481819	0.105,0.081,0.094	0.065,0.182,0.083	-0.017
16	"ENSMUSG00000025283"	"Sat1"	chrX	-	153998115	153998680	153998596	153998680	153997028	153997130	16	72,100,49	897,839,861	79,75,126	1130,873,1349	298	149	0.927697311958	1.0	0.039,0.056,0.028	0.034,0.041,0.045	0.001
18	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150252471	150254838	18	475,558,361	0,0,0	511,494,567	2,0,0	298	149	1	1.0	1.0,1.0,1.0	0.992,1.0,1.0	0.003
