ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
11	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150583878	150583942
12	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150584309	150584362
14	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150587441	150587536
16	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150691723	150691952	150691726	150691952	150689946	150690080
17	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150691723	150691952	150691726	150691952	150690271	150690440
28	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132973884	132974026	132973962	132974026	132973163	132973223
29	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132973884	132974026	132973962	132974026	132973426	132973513
32	"ENSMUSG00000025665"	"Rps6ka6"	chrX	-	110372546	110372798	110372546	110372795	110372967	110373152
44	"ENSMUSG00000035476"	"Tab3"	chrX	+	84652995	84653190	84652998	84653190	84619155	84619216
45	"ENSMUSG00000035476"	"Tab3"	chrX	+	84652995	84653190	84652998	84653190	84637257	84637360
50	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351735	73351867	73350450	73350550
55	"ENSMUSG00000031392"	"Irak1"	chrX	-	73060735	73061117	73060735	73061036	73061506	73061623
59	"ENSMUSG00000031392"	"Irak1"	chrX	-	73066454	73066671	73066454	73066558	73066971	73067139
63	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258833	72258961	72258846	72258961	72258379	72258426
65	"ENSMUSG00000015217"	"Hmgb3"	chrX	+	70601658	70601813	70601662	70601813	70599533	70599796
68	"ENSMUSG00000054626"	"Xlr"	chrX	-	52798109	52798235	52798109	52798187	52799590	52799673
72	"ENSMUSG00000036916"	"Zfp280c"	chrX	-	47667256	47667433	47667256	47667406	47680549	47680638
75	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926767	20926741	20926762	20928132	20928242
76	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926796	20926741	20926762	20928132	20928242
77	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926796	20926741	20926767	20928132	20928242
78	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926767	20926741	20926762	20928176	20928291
79	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926796	20926741	20926762	20928176	20928291
80	"ENSMUSG00000054737"	"Zfp182"	chrX	-	20926741	20926796	20926741	20926767	20928176	20928291
82	"ENSMUSG00000031066"	"Usp11"	chrX	+	20578564	20579221	20579075	20579221	20578268	20578399
87	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8009485	8009571	8009485	8009568	8010811	8010918
88	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8010086	8010918	8010086	8010186	8011193	8011311
92	"ENSMUSG00000031154"	"Otud5"	chrX	+	7733753	7734062	7733905	7734062	7722542	7722636
93	"ENSMUSG00000097785"	"B230217O12Rik"	chr19	-	57313027	57313229	57313027	57313225	57348445	57349301
102	"ENSMUSG00000025159"	"Mms19"	chr19	-	41937893	41938276	41937893	41938020	41938419	41938522
109	"ENSMUSG00000025159"	"Mms19"	chr19	-	41951839	41951909	41951839	41951897	41952756	41952842
111	"ENSMUSG00000025157"	"Zdhhc16"	chr19	+	41928038	41928172	41928126	41928172	41927246	41927275
149	"ENSMUSG00000024735"	"Prpf19"	chr19	+	10876289	10876488	10876346	10876488	10874866	10875016
158	"ENSMUSG00000024764"	"Naa40"	chr19	-	7207086	7207648	7207086	7207170	7211468	7211521
161	"ENSMUSG00000024963"	"Dnajc4"	chr19	-	6968085	6968199	6968085	6968179	6969916	6969940
162	"ENSMUSG00000024963"	"Dnajc4"	chr19	-	6969526	6969689	6969526	6969640	6969916	6969940
163	"ENSMUSG00000024955"	"Esrra"	chr19	-	6891446	6891660	6891446	6891563	6897430	6897767
165	"ENSMUSG00000024949"	"Sf1"	chr19	+	6424039	6424313	6424158	6424313	6423650	6423783
167	"ENSMUSG00000024949"	"Sf1"	chr19	+	6424578	6424638	6424583	6424638	6424039	6424317
170	"ENSMUSG00000024833"	"Pola2"	chr19	-	6011118	6011243	6011118	6011214	6013321	6013426
177	"ENSMUSG00000024944"	"Arl2"	chr19	-	6186008	6187670	6186008	6186089	6187759	6187870
179	"ENSMUSG00000056917"	"Sipa1"	chr19	-	5711623	5711654	5711623	5711651	5712615	5712869
180	"ENSMUSG00000056917"	"Sipa1"	chr19	-	5711623	5711686	5711623	5711651	5712615	5712869
186	"ENSMUSG00000024883"	"Rin1"	chr19	+	5101101	5101282	5101112	5101282	5100857	5100899
190	"ENSMUSG00000034108"	"Ccs"	chr19	-	4883368	4883546	4883368	4883475	4884200	4884338
194	"ENSMUSG00000024889"	"Rce1"	chr19	-	4674041	4674209	4674041	4674179	4674687	4674791
204	"ENSMUSG00000024824"	"Rad9a"	chr19	-	4247337	4247779	4247337	4247585	4250270	4250370
207	"ENSMUSG00000024845"	"Tmem134"	chr19	+	4177548	4177638	4177575	4177638	4175958	4176199
209	"ENSMUSG00000024845"	"Tmem134"	chr19	+	4177548	4177638	4177575	4177638	4177055	4177131
