ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205699	163205579	163205660	163210927	163211060	5	7,22,27	1,5,5	28,37,30	1,1,4	188	149	0.0201997342751	0.12359360886326731	0.847,0.777,0.811	0.957,0.967,0.856	-0.115
6	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205660	163210927	163211060	6	388,620,521	1,5,5	495,458,529	1,1,4	471	149	0.218489119523	0.6449841682019009	0.992,0.975,0.971	0.994,0.993,0.977	-0.009
7	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205660	163210927	163211060	7	557,852,674	1,5,5	683,658,808	1,1,4	848	149	0.135083671821	0.4780719833757	0.99,0.968,0.959	0.992,0.991,0.973	-0.013
8	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205660	163210927	163211060	8	592,867,681	1,5,5	677,668,805	1,1,4	1157	149	0.143829060519	0.4973127630485039	0.987,0.957,0.946	0.989,0.989,0.963	-0.017
12	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205982	163210927	163211060	12	205,284,178	36,52,25	234,235,305	46,35,26	526	149	0.33028126072	0.8404605820879463	0.617,0.607,0.669	0.59,0.655,0.769	-0.04
13	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205982	163210927	163211060	13	240,299,185	36,52,25	228,245,302	46,35,26	835	149	0.580832501183	1.0	0.543,0.506,0.569	0.469,0.555,0.675	-0.027
14	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163206359	163210927	163211060	14	56,47,35	21,32,28	41,43,48	47,33,51	458	149	0.0303946558014	0.1653447795274039	0.465,0.323,0.289	0.221,0.298,0.234	0.108
15	"ENSMUSG00000031295"	"Phka2"	chrX	+	159369774	159369950	159369774	159369945	159371960	159372014	15	13,19,14	107,208,130	11,47,26	153,205,277	154	149	0.27706948458	0.7483306517735263	0.105,0.081,0.094	0.065,0.182,0.083	-0.017
16	"ENSMUSG00000025283"	"Sat1"	chrX	-	153998115	153998680	153998596	153998680	153997028	153997130	16	141,197,125	897,839,861	151,151,245	1130,873,1349	630	149	0.432549484207	0.9915501770375978	0.036,0.053,0.033	0.031,0.039,0.041	0.004
18	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150252471	150254838	18	555,719,507	0,0,0	635,688,762	2,0,0	567	149	1	1.0	1.0,1.0,1.0	0.988,1.0,1.0	0.004
20	"ENSMUSG00000041245"	"Wnk3"	chrX	+	150076805	150077037	150076805	150076896	150077417	150077548	20	12,6,26	29,11,27	12,8,13	20,16,14	290	149	0.889944827151	1.0	0.175,0.219,0.331	0.236,0.204,0.323	-0.013
21	"ENSMUSG00000031433"	"Rbm41"	chrX	-	138895860	138895977	138895921	138895977	138894660	138894853	21	126,281,210	0,0,0	240,238,295	4,0,1	210	149	1	1.0	1.0,1.0,1.0	0.977,1.0,0.995	0.009
27	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619668	133619857	133619668	133619741	133620375	133620474	27	12,20,8	6,10,3	11,26,21	0,3,0	265	149	1.11966762517e-06	5.5604138998361776e-05	0.529,0.529,0.6	1.0,0.83,1.0	-0.391
31	"ENSMUSG00000025597"	"Klhl4"	chrX	+	113452698	113452885	113452698	113452867	113459049	113459274	31	0,3,0	2,3,8	0,0,0	4,3,8	167	149	0.400017760946	0.9481560322961772	0.0,0.472,0.0	0.0,0.0,0.0	0.157
