"GENE","EVENT","COORD","LENGTH","TIER"
"BTAF1","HsaEX1005916","chr10:91943826-91943843",18,"CR"
"PTGER2","HsaEX1029902","chr14:52325884-52325901",18,"CR"
"LMO7","HsaEX1021947","chr13:75842527-75842546",20,"CR"
"STAC2","HsaEX1039182","chr17:39214411-39214418",8,"CR"
"DEPTOR","HsaEX1011407","chr8:120004286-120004306",21,"CR"
"TBK1","HsaEX1040205","chr12:64457751-64457768",18,"CR"
"SERPINA1","HsaEX1036573","chr14:94389934-94389945",12,"CR"
"MPND","HsaEX1024093","chr19:4355989-4355996",8,"CR"
"NTN4","HsaEX1026281","chr12:95782455-95782462",8,"CR"
"NSFL1C","HsaEX0043902","chr20:1463433-1463441",9,"CR"
"TTC33","HsaEX0067917","chr5:40732944-40732955",12,"CR"
"ZNF280D","HsaEX0073335","chr15:56636097-56636108",12,"CR"
"MTMR6","HsaEX0040634","chr13:25250220-25250231",12,"CR"
"PIK3R5","HsaEX1028136","chr17:8892266-8892279",14,"CR"
"AP2M1","HsaEX1004130","chr3:184178218-184178223",6,"CR"
"SULT1B1","HsaEX1039577","chr4:69735628-69735636",9,"CR"
"POLE","HsaEX1028796","chr12:132657735-132657740",6,"CR"
"OVOS2","HsaEX1026777","chr12:31113710-31113722",13,"CR"
"SCN3A","HsaEX7001521","chr2:165119750-165119776",27,"CR"
"COL5A1","HsaEX6063887","chr9:134738474-134738515",42,"CS"
"SNCA","HsaEX6085392","chr4:89828143-89828184",42,"CS"
"ZNF638","HsaEX6013865","chr2:71405601-71405642",42,"CS"
"WFDC1","HsaEX6045177","chr16:84324419-84324460",42,"CS"
"UTP6","HsaEX0070113","chr17:31894970-31895011",42,"CS"
"PRPF19","HsaEX6002203","chr11:60901499-60901540",42,"CS"
"ADGRD1","HsaEX6070119","chr12:131136973-131137014",42,"CS"
"SNX17","HsaEX6012519","chr2:27376479-27376520",42,"CS"
"EPS15L1","HsaEX6093676","chr19:16442178-16442219",42,"CS"
"RNF122","HsaEX6080285","chr8:33551044-33551085",42,"CS"
"COL4A2","HsaEX6041122","chr13:110434401-110434442",42,"CS"
"ESYT1","HsaEX6067058","chr12:56130582-56130623",42,"CS"
"DYNLT3","HsaEX1012556","chrX:37846317-37846358",42,"CS"
"SEMA3F","HsaEX6056148","chr3:50185666-50185707",42,"CS"
"MTHFD1L","HsaEX6049931","chr6:151013779-151013820",42,"CS"
"POSTN","HsaEX6040016","chr13:37564519-37564560",42,"CS"
"ESYT3","HsaEX6058779","chr3:138452048-138452089",42,"CS"
"ANTXR1","HsaEX7001225","chr2:69170248-69170289",42,"CS"
"CARD9","HsaEX6063998","chr9:136367216-136367257",42,"CS"
"COL15A1","HsaEX6062147","chr9:99049854-99049895",42,"CS"
"AP1B1","HsaEX0004865","chr22:29329712-29329720",9,"Others"
"KIF1A","HsaEX0034466","chr2:240772570-240772596",27,"LS"
"NAV1","HsaEX0041746","chr1:201790554-201790577",24,"HS"
"CSNK1G3","HsaEX0017556","chr5:123605339-123605362",24,"HS"
"FMN2","HsaEX0026020","chr1:240180169-240180180",12,"HS"
"MYO5A","HsaEX0041193","chr15:52348818-52348826",9,"HS"
"KDM1A","HsaEX0033219","chr1:23066060-23066071",12,"NonResponding"
"RAPGEF2","HsaEX0052261","chr4:159243774-159243791",18,"HS"
"STX2","HsaEX0062697","chr12:130799168-130799190",23,"NonResponding"
"ATL2","HsaEX0006689","chr2:38296686-38296700",15,"HS"
"POLR3F","HsaEX0049118","chr20:18473242-18473262",21,"LS"
"ARRB1","HsaEX0006044","chr11:75271701-75271724",24,"LS"
"FNBP1L","HsaEX0026120","chr1:93541042-93541056",15,"LS"
"MFSD6","HsaEX0039034","chr2:190499832-190499856",25,"HS"
"SNX2","HsaEX0060835","chr5:122826638-122826649",12,"HS"
"CELSR3","HsaEX0014560","chr3:48650275-48650289",15,"Others"
"FSTL4","HsaEX0026517","chr5:133224190-133224216",27,"HS"
"MEF2C","HsaEX0038702","chr5:88730211-88730234",24,"HS"
"EEA1","HsaEX0021607","chr12:92846262-92846276",15,"HS"
"CAMTA2","HsaEX0012302","chr17:4969500-4969520",21,"HS"
"RAPGEF2","HsaEX0052258","chr4:159344036-159344059",24,"HS"
"OCRL","HsaEX0044588","chrX:129584344-129584367",24,"HS"
"ABI1","HsaEX0000641","chr10:26771075-26771089",15,"HS"
"DOCK11","HsaEX0020546","chrX:118685520-118685537",18,"HS"
"FBXO16","HsaEX0025234","chr8:28429378-28429403",26,"HS"
"GULP1","HsaEX0029101","chr2:188589740-188589750",11,"HS"
"PTPRK","HsaEX0051167","chr6:128001196-128001207",12,"HS"
"AP1G1","HsaEX0004874","chr16:71767877-71767885",9,"LS"
"MTA1","HsaEX0040386","chr14:105468338-105468349",12,"HS"
"RUNDC1","HsaEX0055952","chr17:42985651-42985656",6,"LS"
"POC1B","HsaEX0048789","chr12:89460016-89460038",23,"HS"
"PTPRU","HsaEX0051231","chr1:29307129-29307146",18,"LS"
"PLS3","HsaEX0048492","chrX:115640110-115640136",27,"LS"
"CD99L2","HsaEX0013936","chrX:150771805-150771822",18,"NonResponding"
"SLC12A7","HsaEX0058620","chr5:1056582-1056596",15,"NonResponding"
"KIF1C","HsaEX0034483","chr17:5019849-5019871",23,"LS"
"PTPRK","HsaEX0051168","chr6:127995249-127995266",18,"LS"
"ATP11A","HsaEX1005044","chr13:112866147-112866170",24,"LS"
"CARMIL1","HsaEX0036506","chr6:25612377-25612401",25,"NonResponding"
"ACVR2A","HsaEX0002213","chr2:147911537-147911560",24,"LS"
"PRPF18","HsaEX0050346","chr10:13597645-13597671",27,"NonResponding"
"INPP5F","HsaEX0031797","chr10:119819520-119819539",20,"NonResponding"
"OFD1","HsaEX1026556","chrX:13755779-13755797",19,"LS"
"AP1B1","HsaEX0004866","chr22:29339754-29339774",21,"NonResponding"
"KIF1A","HsaEX0034463","chr2:240728389-240728412",24,"LS"
"DTNA","HsaEX0021082","chr18:34866111-34866131",21,"NonResponding"
"FHOD1","HsaEX0025769","chr16:67236411-67236434",24,"NonResponding"
"KIF21A","HsaEX0034505","chr12:39330242-39330262",21,"Others"
"CEP78","HsaEX1008364","chr9:78250246-78250263",18,"LS"
"PTPRD","HsaEX0051111","chr9:8523513-8523524",12,"NonResponding"
"MRPL42","HsaEX0040137","chr12:93470486-93470505",20,"NonResponding"
"CTNND1","HsaEX0017872","chr11:57806461-57806478",18,"LS"
"AMPH","HsaEX1003606","chr7:38464089-38464097",9,"NonResponding"
"GLRB","HsaEX0027672","chr4:157091371-157091382",12,"LS"
"MYO1B","HsaEX0041101","chr2:191379267-191379272",6,"NonResponding"
"MTSS1L","HsaEX0040737","chr16:70679315-70679323",9,"LS"
"EXOC6","HsaEX0023471","chr10:93057906-93057917",12,"NonResponding"
"PRKACB","HsaEX0050092","chr1:84175799-84175807",9,"LS"
"FAM49B","HsaEX1014075","chr8:129878716-129878723",8,"LS"
"MED14","HsaEX0038584","chrX:40710413-40710421",9,"LS"
"COL4A5","HsaEX0016570","chrX:108618814-108618822",9,"LS"
"ITSN1","HsaEX0032608","chr21:33802437-33802444",8,"LS"
"ACSL4","HsaEX1045708","chrX:109685427-109685444",18,"CR"
"ITGB4","HsaEX0032460","chr17:75737207-75737221",15,"CR"
