"paper_EVENT","paper_GENE","paper_LENGTH","paper_TIER","match_type","Comparison","EventType","GeneSymbol","exon_length","DeltaPSI","FDR","Chromosome","Strand","exonStart_0base","exonEnd","n_candidates"
"HsaEX0052286","RAPGEF6",9,"CR","gene_only","Neg_vs_Parental","SE","Rapgef6",70,-0.183,0.000368485976317547,"chr11","+",54452150,54452220,2
"HsaEX1012413","DST",15,"CR","gene+length","Pos_vs_Parental","SE","Dst",18,-0.162,0,"chr1","+",34335822,34335840,1
"HsaEX0037042","LYL1",9,"CR","gene_only","Pos_vs_Parental","A5SS","Lyl1",356,-0.157,0.0372889011847202,"chr8","+",NA,NA,1
"HsaEX1028444","PLCH2",6,"CR","gene_only","Neg_vs_Parental","SE","Plch2",27,0.381,0.00135350089455971,"chr4","-",155069822,155069849,3
"HsaEX1028444","PLCH2",6,"CR","gene_only","Pos_vs_Parental","RI","Plch2",2026,-0.301,0.00253887186183368,"chr4","-",NA,NA,5
"HsaEX1041470","TNIK",9,"CR","gene_only","Neg_vs_Parental","SE","Tnik",24,0.176,3.79978041575934e-08,"chr3","+",28679347,28679371,1
"HsaEX1041470","TNIK",9,"CR","gene_only","KO_vs_Parental","SE","Tnik",87,-0.251,0,"chr3","+",28649055,28649142,1
"HsaEX1041470","TNIK",9,"CR","gene_only","Pos_vs_Parental","SE","Tnik",24,0.111,0.00674559213125424,"chr3","+",28679347,28679371,1
"HsaEX1029068","PPIP5K1",6,"CR","gene_only","Pos_vs_Parental","SE","Ppip5k1",63,0.176,0.0459003690023199,"chr2","-",121157332,121157395,1
"HsaEX6031765","ADGRL2",18,"CR","gene_only","Neg_vs_Parental","A5SS","Adgrl2",52,-0.519,1.10144643457812e-07,"chr3","-",NA,NA,4
"HsaEX6031765","ADGRL2",18,"CR","gene_only","KO_vs_Parental","SE","Adgrl2",12,-0.2,2.75212031095613e-05,"chr3","-",148566062,148566074,3
"HsaEX6031765","ADGRL2",18,"CR","gene_only","Pos_vs_Parental","A3SS","Adgrl2",82,-0.177,0.0012567052559445,"chr3","-",NA,NA,4
"HsaEX6004063","PICALM",42,"CS","gene_only","Neg_vs_Parental","SE","Picalm",24,0.118,1.15267724231651e-07,"chr7","+",89843480,89843504,1
"HsaEX6004063","PICALM",42,"CS","gene_only","Pos_vs_Parental","SE","Picalm",24,-0.188,1.78979631253235e-11,"chr7","+",89843480,89843504,1
"HsaEX6074196","SNAP23",42,"CS","gene_only","Pos_vs_Parental","SE","Snap23",157,-0.5,0.00466891369086734,"chr2","+",120398529,120398686,1
"HsaEX6024969","EXOC7",42,"CS","gene+length","Neg_vs_Parental","SE","Exoc7",39,0.169,2.46650849294221e-07,"chr11","-",116184100,116184139,1
"HsaEX6024969","EXOC7",42,"CS","gene_only","KO_vs_Parental","SE","Exoc7",69,0.114,1.56422732372529e-06,"chr11","-",116187555,116187624,1
"HsaEX6024969","EXOC7",42,"CS","gene_only","Pos_vs_Parental","SE","Exoc7",93,0.286,0,"chr11","-",116188396,116188489,3
"HsaEX6041060","COL4A1",42,"CS","gene_only","Neg_vs_Parental","SE","Col4a1",17,0.116,0.029292636882421,"chr8","-",11254535,11254552,1
"HsaEX6041060","COL4A1",42,"CS","gene_only","Pos_vs_Parental","SE","Col4a1",17,-0.264,6.10355387630414e-14,"chr8","-",11254535,11254552,1
"HsaEX1038166","SNHG14",42,"CS","gene_only","KO_vs_Parental","MXE","Snhg14",147,-0.198,0.012286058796513,"chr7","-",NA,NA,1
"HsaEX1038166","SNHG14",42,"CS","gene_only","Pos_vs_Parental","MXE","Snhg14",147,-0.234,9.56900357245781e-05,"chr7","-",NA,NA,1
"HsaEX6041225","PCID2",42,"CS","gene_only","KO_vs_Parental","SE","Pcid2",55,-0.284,0.00187510898830713,"chr8","-",13144142,13144197,1
"HsaEX6077184","SNAP25",42,"CS","gene_only","Neg_vs_Parental","SE","Snap25",118,-0.111,0.000239161961537944,"chr2","+",136611662,136611780,1
"HsaEX0042009","NCKAP1",18,"HS","gene+length","Pos_vs_Parental","SE","Nckap1",18,-0.142,0,"chr2","-",80401556,80401574,1
"HsaEX0037668","MAP4K4",9,"LS","gene_only","Neg_vs_Parental","SE","Map4k4",225,0.111,2.47459982056176e-06,"chr1","+",40042922,40043147,1
"HsaEX0037668","MAP4K4",9,"LS","gene_only","KO_vs_Parental","SE","Map4k4",162,-0.131,0,"chr1","+",40040589,40040751,2
"HsaEX0037668","MAP4K4",9,"LS","gene_only","Pos_vs_Parental","SE","Map4k4",162,-0.137,0,"chr1","+",40040589,40040751,2
"HsaEX0051135","PTPRF",12,"LS","gene_only","Pos_vs_Parental","SE","Ptprf",27,-0.109,0,"chr4","-",118085015,118085042,1
"HsaEX0060157","SLIT2",12,"LS","gene_only","KO_vs_Parental","SE","Slit2",24,-0.22,0.00109996440603661,"chr5","+",48378308,48378332,1
"HsaEX0004127","ANK2",12,"LS","gene+length","Neg_vs_Parental","SE","Ank2",12,0.138,0.00303344410374097,"chr3","-",126772904,126772916,1
"HsaEX0004127","ANK2",12,"LS","gene+length","KO_vs_Parental","SE","Ank2",12,-0.184,0.00608290220861478,"chr3","-",126772904,126772916,1
"HsaEX0004127","ANK2",12,"LS","gene_only","Pos_vs_Parental","A3SS","Ank2",103,-0.118,0.0236707118722263,"chr3","-",NA,NA,1
"HsaEX0061640","SRC",18,"LS","gene+length","Neg_vs_Parental","SE","Src",18,0.119,0.042033003448259,"chr2","+",157300762,157300780,1
"HsaEX0061640","SRC",18,"LS","gene_only","KO_vs_Parental","SE","Src",108,0.362,0.00499029436401678,"chr2","+",157266747,157266855,1
"HsaEX0061551","SPTAN1",15,"HS","gene_only","Neg_vs_Parental","SE","Sptan1",60,0.114,5.25885650815677e-12,"chr2","+",29891111,29891171,1
"HsaEX0061551","SPTAN1",15,"HS","gene+length","Pos_vs_Parental","SE","Sptan1",15,-0.216,0,"chr2","+",29904169,29904184,1
"HsaEX0044638","TENM3",27,"HS","gene+length","Neg_vs_Parental","SE","Tenm3",27,0.204,0.0346103153099895,"chr8","-",48766272,48766299,1
"HsaEX0044638","TENM3",27,"HS","gene+length","Pos_vs_Parental","SE","Tenm3",27,-0.107,0.000820526485570748,"chr8","-",48766272,48766299,1
"HsaEX0006966","ATP6V0A1",18,"HS","gene_only","KO_vs_Parental","A3SS","Atp6v0a1",104,0.153,0,"chr11","+",NA,NA,1
"HsaEX0006966","ATP6V0A1",18,"HS","gene+length","Pos_vs_Parental","SE","Atp6v0a1",18,-0.134,0,"chr11","+",100940284,100940302,1
"HsaEX0006858","ATP1B3",20,"HS","gene_only","Neg_vs_Parental","SE","Atp1b3",185,-0.144,0.0190141447503712,"chr9","-",96222254,96222439,1
"HsaEX0006858","ATP1B3",20,"HS","gene_only","Pos_vs_Parental","SE","Atp1b3",185,-0.158,0.0337888415180265,"chr9","-",96222254,96222439,1
