"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000031865","Dctn1",4,"MXE; SE","Microexon (0-30bp)","chr6:83160917-83160938; chr6:83160917-83160938; chr6:83163409-83163427; chr6:83164745-83164766",0.129
"ENSMUSG00000028078","Dclk2",3,"SE","Microexon (0-30bp); Small (30-50bp)","chr3:86695928-86695941; chr3:86695928-86695941; chr3:86738130-86738178",0.124
"ENSMUSG00000039126","Prune2",3,"SE","Small (30-50bp)","chr19:17189655-17189694; chr19:17189655-17189694; chr19:17193689-17193737",0.116
"ENSMUSG00000069601","Ank3",3,"SE","Microexon (0-30bp); Small (30-50bp)","chr10:69765276-69765288; chr10:69789269-69789302; chr10:69816653-69816680",0.208
"ENSMUSG00000020300","Cpeb4",2,"SE","Microexon (0-30bp)","chr11:31868800-31868824; chr11:31868800-31868824",0.134
"ENSMUSG00000022139","Mbnl2",2,"SE","Small (30-50bp)","chr14:120640747-120640783; chr14:120640747-120640783",0.129
"ENSMUSG00000022770","Dlg1",2,"SE","Microexon (0-30bp); Small (30-50bp)","chr16:31673470-31673506; chr16:31673485-31673506",0.018
"ENSMUSG00000022973","Synj1",2,"SE","Small (30-50bp)","chr16:90743902-90743941; chr16:90746586-90746625",0.211
"ENSMUSG00000024163","Mapk8ip3",2,"MXE; SE","Microexon (0-30bp)","chr17:25127384-25127402; chr17:25127384-25127402",-0.021
"ENSMUSG00000024381","Bin1",2,"SE","Microexon (0-30bp)","chr18:32562752-32562776; chr18:32562752-32562776",0.149
"ENSMUSG00000026490","Cdc42bpa",2,"MXE; SE","Small (30-50bp)","chr1:179946300-179946348; chr1:179946300-179946348",0.144
"ENSMUSG00000028524","Sgip1",2,"SE","Microexon (0-30bp)","chr4:102757722-102757734; chr4:102762761-102762773",0.314
"ENSMUSG00000028886","Eya3",2,"MXE; SE","Small (30-50bp)","chr4:132384888-132384927; chr4:132384888-132384927",0.206
"ENSMUSG00000029462","Vps29",2,"SE","Microexon (0-30bp)","chr5:122494856-122494868; chr5:122494856-122494868",0.138
"ENSMUSG00000031561","Tenm3",2,"SE","Microexon (0-30bp)","chr8:48740167-48740188; chr8:48766272-48766299",0.198
"ENSMUSG00000032076","Cadm1",2,"SE","Small (30-50bp)","chr9:47740674-47740707; chr9:47740674-47740707",0.124
"ENSMUSG00000032534","Cep63",2,"SE","Small (30-50bp)","chr9:102498894-102498927; chr9:102500754-102500792",0.092
"ENSMUSG00000032599","Ip6k2",2,"MXE; SE","Small (30-50bp)","chr9:108673739-108673771; chr9:108673739-108673771",0.178
"ENSMUSG00000034842","Art3",2,"SE","Small (30-50bp)","chr5:92553801-92553838; chr5:92553802-92553838",-0.124
"ENSMUSG00000041936","Agrn",2,"SE","Microexon (0-30bp); Small (30-50bp)","chr4:156252233-156252266; chr4:156253002-156253026",0.226
"ENSMUSG00000043019","Edem3",2,"SE","Microexon (0-30bp); Small (30-50bp)","chr1:151688504-151688519; chr1:151688504-151688552",0.11
"ENSMUSG00000053046","Brsk2",2,"SE","Small (30-50bp)","chr7:141554578-141554626; chr7:141554578-141554626",0.158
"ENSMUSG00000061306","Slc38a10",2,"MXE; SE","Microexon (0-30bp)","chr11:119999292-119999316; chr11:119999292-119999316",0.033
"ENSMUSG00000000631","Myo18a",1,"SE","Small (30-50bp)","chr11:77706681-77706717",0.169
"ENSMUSG00000000827","Tpd52l2",1,"SE","Microexon (0-30bp)","chr2:181152296-181152323",0.106
"ENSMUSG00000000881","Dlg3",1,"MXE","Small (30-50bp)","chrX:99855107-99855149",0.101
"ENSMUSG00000001036","Epn2",1,"SE","Small (30-50bp)","chr11:61425403-61425439",0.122
"ENSMUSG00000001143","Lman2l",1,"SE","Small (30-50bp)","chr1:36468503-36468536",0.204
"ENSMUSG00000001248","Gramd1a",1,"SE","Microexon (0-30bp)","chr7:30832644-30832656",0.183
"ENSMUSG00000002031","Ift46",1,"SE","Small (30-50bp)","chr9:44685479-44685528",0.103
"ENSMUSG00000003810","Mast2",1,"SE","Microexon (0-30bp)","chr4:116190609-116190630",0.248
"ENSMUSG00000003863","Ppfia3",1,"SE","Microexon (0-30bp)","chr7:44992976-44993003",0.239
"ENSMUSG00000005881","Ergic3",1,"SE","Microexon (0-30bp)","chr2:155857296-155857311",0.169
"ENSMUSG00000006476","Nsmf",1,"MXE","Microexon (0-30bp)","chr2:24947976-24947982",0.141
"ENSMUSG00000009073","Nf2",1,"SE","Small (30-50bp)","chr11:4730577-4730622",0.174
"ENSMUSG00000009079","Ewsr1",1,"SE","Microexon (0-30bp)","chr11:5041459-5041477",0.222
"ENSMUSG00000013523","Bcas1",1,"SE","Small (30-50bp)","chr2:170212369-170212411",0.139
"ENSMUSG00000013973","Dedd",1,"SE","Small (30-50bp)","chr1:171158820-171158853",0.109
"ENSMUSG00000018334","Ksr1",1,"SE","Small (30-50bp)","chr11:78921906-78921948",0.203
"ENSMUSG00000018820","Zfyve27",1,"SE","Microexon (0-30bp)","chr19:42174058-42174079",0.131
"ENSMUSG00000020231","Dip2a",1,"SE","Microexon (0-30bp)","chr10:76107209-76107239",0.168
"ENSMUSG00000020451","Limk2",1,"SE","Small (30-50bp)","chr11:3311782-3311825",-0.127
"ENSMUSG00000020792","Exoc7",1,"SE","Small (30-50bp)","chr11:116184100-116184139",0.169
"ENSMUSG00000020859","Spag9",1,"SE","Microexon (0-30bp)","chr11:93970024-93970036",0.196
"ENSMUSG00000021071","Trim9",1,"SE","Small (30-50bp)","chr12:70314007-70314040",0.201
"ENSMUSG00000021427","Ssr1",1,"SE","Microexon (0-30bp)","chr13:38167070-38167085",0.156
"ENSMUSG00000021686","Ap3b1",1,"SE","Small (30-50bp)","chr13:94680491-94680530",0.15
"ENSMUSG00000021820","Camk2g",1,"MXE","Small (30-50bp)","chr14:20794671-20794716",-0.107
"ENSMUSG00000021969","Zdhhc20",1,"SE","Small (30-50bp)","chr14:58087601-58087637",0.196
"ENSMUSG00000022329","Stk3",1,"SE","Microexon (0-30bp)","chr15:35115083-35115104",0.135
"ENSMUSG00000022517","Mgrn1",1,"SE","Small (30-50bp)","chr16:4752058-4752103",0.14
"ENSMUSG00000022565","Plec",1,"SE","Small (30-50bp)","chr15:76078165-76078201",0.101
"ENSMUSG00000022623","Shank3",1,"SE","Microexon (0-30bp)","chr15:89422217-89422241",0.129
"ENSMUSG00000022635","Zcrb1",1,"SE","Microexon (0-30bp)","chr15:93293467-93293496",-0.163
"ENSMUSG00000022701","Ccdc191",1,"SE","Small (30-50bp)","chr16:43712515-43712554",0.186
"ENSMUSG00000022708","Zbtb20",1,"MXE","Small (30-50bp)","chr16:42967259-42967306",0.234
"ENSMUSG00000024273","2700062C07Rik",1,"SE","Microexon (0-30bp)","chr18:24604118-24604141",-0.102
"ENSMUSG00000024480","Ap3s1",1,"SE","Small (30-50bp)","chr18:46916825-46916866",-0.757
"ENSMUSG00000024485","Slc4a9",1,"SE","Small (30-50bp)","chr18:36662739-36662789",0.264
"ENSMUSG00000024603","Dctn4",1,"SE","Microexon (0-30bp)","chr18:60678428-60678449",0.164
"ENSMUSG00000024908","Ppp6r3",1,"SE","Microexon (0-30bp)","chr19:3509746-3509764",0.211
"ENSMUSG00000024983","Vti1a",1,"SE","Microexon (0-30bp)","chr19:55375620-55375641",0.293
"ENSMUSG00000025006","Sorbs1",1,"SE","Microexon (0-30bp)","chr19:40371199-40371226",0.149
"ENSMUSG00000026005","Rpe",1,"A5SS","Small (30-50bp)","chr1:66740775-66740807",0.126
"ENSMUSG00000026113","Inpp4a",1,"SE","Microexon (0-30bp)","chr1:37413355-37413370",0.181
"ENSMUSG00000026388","3110009E18Rik",1,"MXE","Small (30-50bp)","chr1:120093864-120093902",-0.198
"ENSMUSG00000026737","Pip4k2a",1,"SE","Small (30-50bp)","chr2:18870922-18870961",-0.154
