ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"ENSMUSG00000035299"	"Mid1"	chrX	+	168768892	168769093	168768931	168769093	168767994	168768138	3	1,7,0	0,10,1	0,0,2	4,4,3	188	149	0.121023241474	0.40877192218915526	1.0,0.357,0.0	0.0,0.0,0.346	0.337
4	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165169947	165171984	165166930	165166996	4	56,109,64	388,441,440	77,120,98	577,668,686	298	149	0.218818985291	0.6142245327960602	0.067,0.11,0.068	0.063,0.082,0.067	0.011
5	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963348	164963805	164963441	164963805	164961787	164961826	5	596,554,586	0,2,5	799,753,900	15,2,3	242	149	0.719396108333	1.0	1.0,0.994,0.986	0.97,0.996,0.995	0.006
6	"ENSMUSG00000040855"	"Reps2"	chrX	-	161297274	161297347	161297274	161297344	161301324	161301419	6	10,3,1	3,0,1	0,3,7	1,0,0	152	149	0.283982896014	0.7264415486476712	0.766,1.0,0.495	0.0,1.0,1.0	0.087
7	"ENSMUSG00000040855"	"Reps2"	chrX	-	161335538	161335665	161335538	161335662	161337792	161337941	7	1,0,3	2,2,5	0,0,0	1,1,4	152	149	0.0763206787097	0.29147198748394426	0.329,0.0,0.37	0.0,0.0,0.0	0.233
9	"ENSMUSG00000025283"	"Sat1"	chrX	-	153996892	153996954	153996892	153996933	153997028	153997130	9	4,8,4	321,537,528	8,1,7	684,605,874	170	149	1	1.0	0.011,0.013,0.007	0.01,0.001,0.007	0.004
10	"ENSMUSG00000025260"	"Hsd17b10"	chrX	+	150786618	150786777	150786648	150786777	150786356	150786521	10	6,2,8	2588,3198,3148	8,10,25	2848,2789,3159	179	149	1	1.0	0.002,0.001,0.002	0.002,0.003,0.007	-0.002
11	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150584309	150584362	11	27,29,20	3,5,24	14,11,32	6,7,1	153	149	0.611248893285	1.0	0.898,0.85,0.448	0.694,0.605,0.969	-0.024
12	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150586657	150586798	12	60,88,82	25,19,43	68,63,69	15,16,35	153	149	0.553590970646	1.0	0.7,0.819,0.65	0.815,0.793,0.658	-0.032
13	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150589267	150589403	150589271	150589403	150587441	150587536	13	91,85,105	56,43,49	70,93,122	32,51,81	153	149	0.643744052215	1.0	0.613,0.658,0.676	0.681,0.64,0.595	0.01
14	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150681439	150681657	150681442	150681657	150680182	150680249	14	768,715,908	0,0,0	808,639,780	0,7,0	152	149	1	1.0	1.0,1.0,1.0	1.0,0.989,1.0	0.004
15	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150691723	150691952	150691726	150691952	150689946	150690080	15	50,107,110	0,0,0	67,51,110	0,2,0	152	149	1	1.0	1.0,1.0,1.0	1.0,0.962,1.0	0.013
16	"ENSMUSG00000025261"	"Huwe1"	chrX	+	150691723	150691952	150691726	150691952	150690271	150690440	16	1975,2269,2549	47,56,118	2140,2124,2134	56,58,70	152	149	0.443271446804	0.966580564386563	0.976,0.975,0.955	0.974,0.973,0.968	-0.003
