ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	54720	54867	0	16728,20832,18937	1,0,2	22791,23228,27449	0,2,0	1093	149	1	1.0	1.0,1.0,0.999	1.0,0.999,1.0	0.0
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	55111	55701	1	15241,19001,17269	0,0,0	20474,20965,24579	0,0,2	1093	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.999	0.0
2	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	52189	52367	55111	55701	2	2660,3624,3502	0,0,0	4415,4442,5250	0,0,2	296	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.999	0.0
3	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	53535	54479	55111	55701	3	4153,5467,5183	7,12,15	6734,6704,8130	2,1,10	296	149	1	1.0	0.997,0.996,0.994	0.999,1.0,0.998	-0.003
4	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	55111	55701	53535	54479	59591	59667	4	10163,13009,12732	0,5,1	16395,17560,20135	0,0,0	739	149	1	1.0	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
5	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	58563	58835	5	4539,6612,5166	592,609,606	7200,8000,9008	693,760,792	315	149	0.0351544238418	0.2786237320333317	0.784,0.837,0.801	0.831,0.833,0.843	-0.028
6	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	59591	59667	6	2473,3664,2954	894,975,1016	3788,4324,4886	885,750,842	315	149	3.68989694355e-09	2.9055498022424803e-07	0.567,0.64,0.579	0.669,0.732,0.733	-0.116
7	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	55111	55701	59591	59667	7	4883,6400,5131	894,975,1016	6872,7215,8188	885,750,842	421	149	9.88379647016e-08	5.7347212852692476e-06	0.659,0.699,0.641	0.733,0.773,0.775	-0.094
8	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	56985	57151	59591	59667	8	6533,9001,6971	176,263,234	9686,10248,11613	95,117,94	421	149	0	0.0	0.929,0.924,0.913	0.973,0.969,0.978	-0.051
169	"ENSMUSG00000031358"	"Msl3"	chrX	-	167453215	167453307	167452485	167452611	167454138	167454239	169	1635,1920,2085	0,0,0	1180,1232,1262	0,1,0	241	149	1	1.0	1.0,1.0,1.0	1.0,0.999,1.0	0.0
170	"ENSMUSG00000031358"	"Msl3"	chrX	-	167455258	167455341	167454790	167454886	167456723	167456894	170	330,308,360	564,732,714	193,215,241	436,251,371	232	149	0.0879413066871	0.5627978915376332	0.273,0.213,0.245	0.221,0.355,0.294	-0.046
172	"ENSMUSG00000025742"	"Prps2"	chrX	-	166133510	166133670	166129317	166131994	166135131	166135305	172	624,748,793	0,1,2	780,641,877	0,0,0	309	149	1	1.0	1.0,0.997,0.995	1.0,1.0,1.0	-0.003
173	"ENSMUSG00000025742"	"Prps2"	chrX	-	166135131	166135305	166133510	166133670	166146540	166146665	173	715,854,901	0,0,0	802,801,934	0,0,4	323	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.991	0.003
174	"ENSMUSG00000025742"	"Prps2"	chrX	-	166146540	166146665	166135131	166135305	166148114	166148213	174	667,730,918	0,1,0	765,873,899	7,2,6	274	149	0.927454164125	1.0	1.0,0.997,1.0	0.983,0.996,0.988	0.01
179	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165127687	165128077	165150023	165150170	179	248,266,234	2,10,6	278,331,343	23,16,15	269	149	0.000684744263826	0.011629907567920624	0.986,0.936,0.956	0.87,0.92,0.927	0.054
180	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165127687	165128077	165155633	165155820	180	399,440,408	681,808,779	422,501,540	802,839,1177	269	149	0.598940753495	1.0	0.245,0.232,0.225	0.226,0.249,0.203	0.008
181	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165150023	165150170	165127687	165128077	165155633	165155820	181	4,12,13	681,808,779	38,27,18	802,839,1177	296	149	0.0156055981992	0.14699387037948988	0.003,0.007,0.008	0.023,0.016,0.008	-0.01
182	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165150023	165150170	165136560	165136680	165155633	165155820	182	2,2,10	152,175,178	15,13,5	144,172,200	296	149	0.00518032885999	0.06049136465971061	0.007,0.006,0.028	0.05,0.037,0.012	-0.019
183	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165162983	165163155	165158628	165158785	165165444	165165518	183	1202,1366,1482	0,0,0	1771,1999,2303	0,0,1	321	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.999	0.0
184	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165168477	165166930	165166996	165169947	165171984	184	31,76,58	388,441,440	52,68,60	577,668,686	240	149	0.0238984249003	0.20546984897672718	0.047,0.097,0.076	0.053,0.059,0.052	0.019
185	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164959840	164960075	164953449	164953546	164961529	164961638	185	450,505,490	0,0,0	646,569,708	1,2,0	384	149	1	1.0	1.0,1.0,1.0	0.996,0.991,1.0	0.004
186	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164959840	164960075	164953449	164953546	164961787	164961826	186	504,532,520	7,13,9	688,589,736	42,31,36	384	149	1.82614734112e-07	1.004718587956318e-05	0.965,0.941,0.957	0.864,0.881,0.888	0.077
187	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164961529	164961638	164953490	164953546	164961787	164961826	187	67,60,76	7,13,9	94,121,128	42,31,36	258	149	0.00115246395894	0.01790816483312404	0.847,0.727,0.83	0.564,0.693,0.672	0.158
188	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164961529	164961638	164959840	164960075	164961787	164961826	188	161,197,200	257,235,267	243,311,344	268,286,273	258	149	0.000439186271461	0.008122012656127161	0.266,0.326,0.302	0.344,0.386,0.421	-0.086
189	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963348	164963805	164961418	164961826	164972239	164972338	189	1267,1473,1465	5,0,0	1897,1804,2035	0,3,0	606	149	1	1.0	0.984,1.0,1.0	1.0,0.993,1.0	-0.003
190	"ENSMUSG00000040621"	"Gemin8"	chrX	+	164963441	164963805	164961787	164961826	164972239	164972816	190	671,921,884	5,0,0	1113,1053,1138	0,3,0	513	149	1	1.0	0.975,1.0,1.0	1.0,0.99,1.0	-0.005
197	"ENSMUSG00000031380"	"Vegfd"	chrX	+	163174597	163174788	163168799	163169025	163177428	163177577	197	68,27,76	1,0,0	46,66,88	0,0,0	340	149	1	1.0	0.968,1.0,1.0	1.0,1.0,1.0	-0.011
198	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163052366	163052471	163063124	163063217	198	642,714,727	0,0,0	749,599,786	4,2,0	278	149	1	1.0	1.0,1.0,1.0	0.99,0.994,1.0	0.005
199	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163052426	163052673	163063124	163063217	199	1483,1558,1606	13,23,28	1470,1149,1513	38,17,31	278	149	0.0253957823357	0.21562178859567	0.984,0.973,0.968	0.954,0.973,0.963	0.012
200	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163054598	163054727	163078910	163078994	200	1212,1351,1492	0,0,2	1358,1190,1471	2,0,3	242	149	1	1.0	1.0,1.0,0.998	0.998,1.0,0.997	0.001
201	"ENSMUSG00000031379"	"Pir"	chrX	+	163078910	163078994	163063124	163063217	163083219	163083426	201	1262,1431,1607	3,5,2	1479,1351,1690	5,2,6	233	149	1	1.0	0.996,0.995,0.998	0.995,0.998,0.994	0.001
202	"ENSMUSG00000031379"	"Pir"	chrX	+	163090199	163090317	163083219	163083426	163113010	163113095	202	0,9,15	626,647,748	4,2,0	691,617,804	267	149	1	1.0	0.0,0.008,0.011	0.003,0.002,0.0	0.005
203	"ENSMUSG00000031379"	"Pir"	chrX	+	163125469	163125514	163113010	163113095	163141143	163141226	203	505,494,538	15,17,38	618,503,643	35,35,20	194	149	0.478405987332	1.0	0.963,0.957,0.916	0.931,0.917,0.961	0.009
205	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162722301	162722411	162718438	162719961	162723114	162723170	205	240,270,246	0,2,1	195,233,215	0,0,0	259	149	1	1.0	1.0,0.987,0.993	1.0,1.0,1.0	-0.007
206	"ENSMUSG00000031370"	"Zrsr2"	chrX	-	162723114	162723170	162718438	162719961	162726095	162726309	206	106,106,121	0,5,0	77,98,110	1,0,0	205	149	0.534580114868	1.0	1.0,0.939,1.0	0.982,1.0,1.0	-0.014
