ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984	2	503,495,498	13,38,37	567,774,989	37,49,50	1619	149	0.819523169302	1.0	0.781,0.545,0.553	0.585,0.592,0.645	0.019
4	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150250794	150250852	4	198,276,167	169,263,264	258,327,366	240,259,242	509	149	0.00713231531391	0.025558056974021148	0.255,0.235,0.156	0.239,0.27,0.307	-0.057
5	"ENSMUSG00000025268"	"Maged2"	chrX	-	149591716	149592148	149591716	149591779	149592105	149592148	5	109,99,117	395,390,493	321,343,432	546,452,582	475	149	0	0.0	0.08,0.074,0.069	0.156,0.192,0.189	-0.105
7	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619118	133619567	133619118	133619210	133619474	133619567	7	9,2,13	6,1,12	10,7,19	2,10,2	413	149	0.169094066679	0.3369668984319851	0.351,0.419,0.281	0.643,0.202,0.774	-0.189
8	"ENSMUSG00000000223"	"Drp2"	chrX	+	133341083	133342135	133341083	133341169	133341977	133342135	8	59,87,110	4,7,2	62,111,94	5,3,0	957	149	0.241938830419	0.44449245530302456	0.697,0.659,0.895	0.659,0.852,1.0	-0.087
9	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973884	132974026	9	1116,1136,1250	78,129,147	1132,1331,1564	85,63,78	3377	149	0.00038475033384	0.002129783097969259	0.387,0.28,0.273	0.37,0.482,0.469	-0.127
10	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973962	132974026	10	1367,1419,1568	58,53,59	1298,1547,1766	57,46,80	3455	149	0.953157040948	1.0	0.504,0.536,0.534	0.495,0.592,0.488	-0.0
12	"ENSMUSG00000046032"	"Snx12"	chrX	-	100255564	100257470	100255564	100255952	100257379	100257470	12	3705,4119,4475	86,114,103	2973,3034,3413	88,76,73	1576	149	0.860100562088	1.0	0.803,0.774,0.804	0.762,0.791,0.816	0.004
13	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100123706	100123873	100124313	100124477	13	521,489,416	455,610,492	148,169,203	683,531,694	589	149	0	0.0	0.225,0.169,0.176	0.052,0.075,0.069	0.125
15	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580479	93580962	93580479	93580594	93580899	93580962	15	326,373,325	4368,4172,5379	1086,1091,1325	4527,4334,5239	454	149	0	0.0	0.024,0.029,0.019	0.073,0.076,0.077	-0.051
