ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701	0	2660,3624,3502	151,156,171	4415,4442,5250	256,284,430	296	298	0.00129531106894	0.020314993324338806	0.947,0.959,0.954	0.946,0.94,0.925	0.016
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667	1	4176,5524,4388	2179,3313,2646	5975,6258,7132	3313,3835,4309	298	298	0.743418915812	0.9641422796567399	0.657,0.625,0.624	0.643,0.62,0.623	0.007
7	"ENSMUSG00000025742"	"Prps2"	chrX	-	166133510	166133670	166135131	166135305	166129317	166131994	166146540	166146665	7	275,305,333	212,221,244	295,345,303	289,192,249	298	298	0.81073397142	0.993987370888709	0.565,0.58,0.577	0.505,0.642,0.549	0.009
8	"ENSMUSG00000025742"	"Prps2"	chrX	-	166135131	166135305	166146540	166146665	166133510	166133670	166148114	166148213	8	394,426,587	397,508,538	470,528,600	480,440,614	274	298	0.440199584828	0.7719485624176433	0.519,0.477,0.543	0.516,0.566,0.515	-0.019
9	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820	9	399,440,408	4,12,13	422,501,540	38,27,18	269	296	2.85050016035e-05	0.0010749110347319836	0.991,0.976,0.972	0.924,0.953,0.971	0.03
10	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052366	163052471	163078910	163078994	10	1,4,16	485,544,685	13,11,5	551,550,622	278	242	0.336671018601	0.6834028572710187	0.002,0.006,0.02	0.02,0.017,0.007	-0.005
11	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052426	163052673	163078910	163078994	11	757,747,804	498,567,713	661,507,680	585,565,653	278	242	0.00783785533559	0.0736873347178246	0.57,0.534,0.495	0.496,0.439,0.475	0.063
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163078910	163078994	163054598	163054727	163083219	163083426	12	292,350,332	336,417,445	330,260,312	433,410,512	242	233	0.0467928735459	0.23913202460125077	0.456,0.447,0.418	0.423,0.379,0.37	0.05
13	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642294	161642442	161642868	161642927	161640052	161641004	161646055	161646204	13	157,191,173	376,443,459	200,224,245	517,577,693	208	297	0.442052149612	0.7736608484555435	0.374,0.381,0.35	0.356,0.357,0.335	0.019
14	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	14	359,396,345	116,185,140	403,361,499	184,192,188	298	208	0.291094592739	0.6354198171679514	0.684,0.599,0.632	0.605,0.568,0.649	0.031
