ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701	0	2660,3624,3502	15241,19001,17269	4415,4442,5250	20474,20965,24579	296	1093	0.140468878335	0.45535356231765456	0.392,0.413,0.428	0.443,0.439,0.441	-0.03
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667	1	4883,6400,5131	2473,3664,2954	6872,7215,8188	3788,4324,4886	421	315	0.511065538243	0.8261558529398888	0.596,0.567,0.565	0.576,0.555,0.556	0.014
7	"ENSMUSG00000025742"	"Prps2"	chrX	-	166133510	166133670	166135131	166135305	166129317	166131994	166146540	166146665	7	318,348,365	227,241,255	329,363,326	307,203,273	323	309	0.537114284804	0.843797005232015	0.573,0.58,0.578	0.506,0.631,0.533	0.02
8	"ENSMUSG00000025742"	"Prps2"	chrX	-	166135131	166135305	166146540	166146665	166133510	166133670	166148114	166148213	8	394,426,587	440,551,570	470,528,600	514,458,637	274	323	0.268957853797	0.6223207612169216	0.514,0.477,0.548	0.519,0.576,0.526	-0.027
9	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820	9	399,440,408	4,12,13	422,501,540	38,27,18	269	296	2.85050016035e-05	0.0011355597150417558	0.991,0.976,0.972	0.924,0.953,0.971	0.03
10	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052366	163052471	163078910	163078994	10	1,4,16	485,544,685	13,11,5	551,550,622	278	242	0.336671018601	0.6915077396445	0.002,0.006,0.02	0.02,0.017,0.007	-0.005
11	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052426	163052673	163078910	163078994	11	757,747,804	498,567,713	661,507,680	585,565,653	278	242	0.00783785533559	0.07635779823620287	0.57,0.534,0.495	0.496,0.439,0.475	0.063
12	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163078910	163078994	163054598	163054727	163083219	163083426	12	292,350,332	336,417,445	330,260,312	433,410,512	242	233	0.0467928735459	0.24512597059365962	0.456,0.447,0.418	0.423,0.379,0.37	0.05
13	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642294	161642442	161642868	161642927	161640052	161641004	161646055	161646204	13	157,191,173	376,443,459	200,224,245	517,577,693	208	297	0.442052149612	0.7759883849209455	0.374,0.381,0.35	0.356,0.357,0.335	0.019
14	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	14	359,396,345	116,185,140	403,361,499	184,192,188	298	208	0.291094592739	0.6456372625890543	0.684,0.599,0.632	0.605,0.568,0.649	0.031
15	"ENSMUSG00000031295"	"Phka2"	chrX	+	159285742	159285900	159306267	159306426	159285161	159285288	159310725	159310773	15	33,15,11	119,161,155	29,21,53	117,137,217	307	308	0.0249411190894	0.16474602956353032	0.218,0.085,0.066	0.199,0.133,0.197	-0.053
16	"ENSMUSG00000031295"	"Phka2"	chrX	+	159285748	159285900	159306267	159306426	159285167	159285288	159310725	159310772	16	24,32,36	119,161,155	28,51,25	117,137,217	301	308	0.804219794859	0.9840137264312278	0.171,0.169,0.192	0.197,0.276,0.105	-0.015
17	"ENSMUSG00000031295"	"Phka2"	chrX	+	159369774	159369945	159371960	159372014	159367459	159367513	159373163	159373364	17	87,131,128	24,38,29	137,193,195	18,53,75	320	203	0.923134346955	1.0	0.697,0.686,0.737	0.828,0.698,0.623	-0.01
18	"ENSMUSG00000031295"	"Phka2"	chrX	+	159371960	159372014	159373163	159373364	159369774	159369945	159373934	159374137	18	20,53,38	81,99,121	25,50,76	113,166,227	203	350	0.361026940546	0.7104612154691197	0.299,0.48,0.351	0.276,0.342,0.366	0.049
19	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158331234	158331311	158334746	158335370	158315663	158315831	158336239	158336890	19	555,730,624	1924,2338,2115	583,829,853	2104,2642,3138	226	773	0.662706298849	0.9190791174699801	0.497,0.516,0.502	0.487,0.518,0.482	0.009
20	"ENSMUSG00000044150"	"Bclaf3"	chrX	+	158350914	158351010	158357940	158358093	158342833	158342949	158375066	158375390	20	0,1,0	143,150,109	1,0,1	82,88,133	245	302	1	1.0	0.0,0.008,0.0	0.015,0.0,0.009	-0.005
21	"ENSMUSG00000046873"	"Mbtps2"	chrX	-	156337878	156338074	156338592	156338687	156335911	156335987	156341880	156342061	21	282,354,364	554,644,611	440,507,554	596,717,855	244	345	0.01614157322	0.12346723948298972	0.419,0.437,0.457	0.511,0.5,0.478	-0.059
