"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR","significant"
"chrX:100584365:100584607:100582793:100586069:SE","SE","ENSMUSG00000031314","Taf1",242,"Regular (>50bp)",-0.006,1,FALSE
"chrX:100584428:100584607:100582793:100586069:SE","SE","ENSMUSG00000031314","Taf1",179,"Regular (>50bp)",-0.012,1,FALSE
"chrX:100586069:100586288:100584607:100586656:SE","SE","ENSMUSG00000031314","Taf1",219,"Regular (>50bp)",-0.003,1,FALSE
"chrX:100587553:100587761:100586875:100590564:SE","SE","ENSMUSG00000031314","Taf1",208,"Regular (>50bp)",-0.001,1,FALSE
"chrX:100605679:100605893:100603550:100606419:SE","SE","ENSMUSG00000031314","Taf1",214,"Regular (>50bp)",0,1,FALSE
"chrX:100634339:100634345:100634195:100637545:SE","SE","ENSMUSG00000031314","Taf1",6,"Microexon (0-30bp)",0.078,0.0191059182691326,FALSE
"chrX:13391063:13391090:13388586:13392236:SE","SE","ENSMUSG00000031012","Cask",27,"Microexon (0-30bp)",0.007,1,FALSE
"chrX:13410752:13410868:13404080:13415403:SE","SE","ENSMUSG00000031012","Cask",116,"Regular (>50bp)",0.007,1,FALSE
"chrX:13417185:13417221:13415600:13418611:SE","SE","ENSMUSG00000031012","Cask",36,"Small (30-50bp)",-0.059,0.190390018666952,FALSE
"chrX:13417185:13417221:13415600:13421116:SE","SE","ENSMUSG00000031012","Cask",36,"Small (30-50bp)",-0.009,1,FALSE
"chrX:13418611:13418680:13415600:13421116:SE","SE","ENSMUSG00000031012","Cask",69,"Regular (>50bp)",0.04,0.391623865822395,FALSE
"chrX:13418611:13418680:13417221:13421116:SE","SE","ENSMUSG00000031012","Cask",69,"Regular (>50bp)",0.134,0.000352031808409297,TRUE
"chrX:13453082:13453204:13437350:13466595:SE","SE","ENSMUSG00000031012","Cask",122,"Regular (>50bp)",0.001,1,FALSE
"chrX:13462924:13462942:13453204:13466595:SE","SE","ENSMUSG00000031012","Cask",18,"Microexon (0-30bp)",0.022,1,FALSE
"chrX:13466595:13466695:13453204:13474972:SE","SE","ENSMUSG00000031012","Cask",100,"Regular (>50bp)",0.001,1,FALSE
"chrX:13549209:13549287:13543896:13580904:SE","SE","ENSMUSG00000031012","Cask",78,"Regular (>50bp)",0,1,FALSE
