"GeneID","geneSymbol","n_selection_events","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000041757","Plekha6",7,"Regular (>50bp)","chr1:133202530-133202617; chr1:133202530-133202617; chr1:133203549-133203603; chr1:133203549-133203603; chr1:133207110-133207191; chr1:133208076-133208145; chr1:133213984-133214134",0.191
"ENSMUSG00000121504","Ppp4r1l-ps",7,"Regular (>50bp)","chr2:173431580-173431741; chr2:173431580-173432589; chr2:173442558-173442835; chr2:173446298-173446390; chr2:173448934-173449122; chr2:173490962-173491160; chr2:173490962-173491160",-0.09
"ENSMUSG00000045411","2410002F23Rik",6,"Regular (>50bp)","chr7:43896661-43896840; chr7:43896661-43896840; chr7:43896674-43896840; chr7:43896674-43896840; chr7:43896674-43896840; chr7:43897333-43897483",0.105
"ENSMUSG00000057858","Fam204a",6,"Regular (>50bp); Small (30-50bp)","chr19:60208761-60208792; chr19:60208761-60208792; chr19:60208921-60209009; chr19:60208921-60209009; chr19:60209485-60209736; chr19:60209485-60209736",-0.144
"ENSMUSG00000087177","E130307A14Rik",6,"Regular (>50bp)","chr10:39498898-39499087; chr10:39508945-39509012; chr10:39516271-39516507; chr10:39521551-39521804; chr10:39521551-39521804; chr10:39530517-39530684",-0.219
"ENSMUSG00000020166","Cnot2",5,"Regular (>50bp)","chr10:116342945-116343093; chr10:116342945-116343093; chr10:116353221-116353288; chr10:116363731-116363854; chr10:116363731-116363854",-0.224
"ENSMUSG00000025006","Sorbs1",5,"Microexon (0-30bp); Regular (>50bp)","chr19:40288686-40288746; chr19:40329128-40329194; chr19:40332799-40332883; chr19:40365088-40365247; chr19:40371199-40371226",0.108
"ENSMUSG00000037058","Paip2",5,"Regular (>50bp)","chr18:35733097-35733170; chr18:35741790-35741872; chr18:35741790-35741872; chr18:35741790-35741872; chr18:35742645-35742726",-0.146
"ENSMUSG00000050565","Tor1aip2",5,"Regular (>50bp)","chr1:155916820-155916880; chr1:155916820-155916880; chr1:155916820-155916880; chr1:155916820-155916880; chr1:155916820-155916880",0.197
"ENSMUSG00000009995","Tafazzin",4,"Regular (>50bp); Small (30-50bp)","chrX:73332534-73332625; chrX:73332534-73332625; chrX:73332589-73332625; chrX:73332589-73332625",-0.344
"ENSMUSG00000018411","Mapt",4,"Regular (>50bp)","chr11:104185684-104185750; chr11:104189323-104190082; chr11:104189371-104190082; chr11:104196037-104196235",-0.048
"ENSMUSG00000044229","Nxpe4",4,"Regular (>50bp)","chr9:48144510-48144582; chr9:48144510-48144582; chr9:48266286-48266387; chr9:48266286-48266387",0.17
"ENSMUSG00000051331","Cacna1c",4,"Regular (>50bp)","chr6:118614690-118614774; chr6:118615387-118615471; chr6:118651515-118651575; chr6:118651515-118651575",0.16
"ENSMUSG00000051586","Mical3",4,"Regular (>50bp)","chr6:120930594-120930645; chr6:120943014-120943077; chr6:120948711-120948801; chr6:120996656-120996740",0.081
"ENSMUSG00000053046","Brsk2",4,"Regular (>50bp); Small (30-50bp)","chr7:141552656-141552751; chr7:141554578-141554623; chr7:141554578-141554626; chr7:141554578-141554626",0.086
"ENSMUSG00000069601","Ank3",4,"Microexon (0-30bp); Regular (>50bp); Small (30-50bp)","chr10:69765276-69765288; chr10:69789269-69789302; chr10:69816653-69816680; chr10:69837752-69838061",0.123
"ENSMUSG00000074758","Gm5535",4,"Regular (>50bp)","chr2:144016446-144016664; chr2:144031060-144031153; chr2:144031060-144031153; chr2:144031060-144031153",0.24
"ENSMUSG00000086035","Gm12610",4,"Regular (>50bp)","chr4:89255914-89256050; chr4:89255914-89256050; chr4:89274945-89274997; chr4:89340867-89340979",0.219
"ENSMUSG00000097039","Pvt1",4,"Regular (>50bp)","chr15:61978972-61979314; chr15:62021087-62021201; chr15:62021087-62021201; chr15:62031845-62031977",-0.096
"ENSMUSG00000097080","1700086O06Rik",4,"Regular (>50bp)","chr18:38372625-38372804; chr18:38372625-38372804; chr18:38373891-38374006; chr18:38373891-38374006",0.362
"ENSMUSG00000013973","Dedd",3,"Regular (>50bp); Small (30-50bp)","chr1:171158801-171158853; chr1:171158820-171158853; chr1:171158820-171158853",0.169
"ENSMUSG00000020385","Clk4",3,"Regular (>50bp)","chr11:51158991-51159058; chr11:51158991-51159058; chr11:51161363-51161422",-0.099
"ENSMUSG00000021268","Meg3",3,"Regular (>50bp)","chr12:109515725-109515806; chr12:109515913-109515987; chr12:109515913-109516014",0.196
"ENSMUSG00000022948","Setd4",3,"Regular (>50bp)","chr16:93387143-93388191; chr16:93387761-93388191; chr16:93390134-93390220",0.055
"ENSMUSG00000022973","Synj1",3,"Small (30-50bp)","chr16:90743902-90743941; chr16:90744953-90745001; chr16:90746586-90746625",0.225
"ENSMUSG00000023206","Il15ra",3,"Regular (>50bp)","chr2:11724823-11724916; chr2:11728223-11728421; chr2:11728223-11728421",0.1
"ENSMUSG00000024330","Col11a2",3,"Regular (>50bp)","chr17:34264744-34264822; chr17:34266071-34266251; chr17:34266071-34266251",0.337
"ENSMUSG00000024921","Smarca2",3,"Regular (>50bp)","chr19:26727251-26727347; chr19:26727251-26727347; chr19:26737277-26737331",-0.037
"ENSMUSG00000025404","R3hdm2",3,"Regular (>50bp)","chr10:127317561-127317624; chr10:127317561-127317663; chr10:127317561-127317663",0.144
"ENSMUSG00000026527","Rgs7",3,"Regular (>50bp)","chr1:174903582-174903663; chr1:174904389-174904443; chr1:174904389-174904443",0.085
"ENSMUSG00000028078","Dclk2",3,"Microexon (0-30bp); Small (30-50bp)","chr3:86695928-86695941; chr3:86695928-86695941; chr3:86738130-86738178",0.124
"ENSMUSG00000028184","Adgrl2",3,"Microexon (0-30bp); Regular (>50bp)","chr3:148526915-148527044; chr3:148532847-148532874; chr3:148566062-148566074",0.059
"ENSMUSG00000028524","Sgip1",3,"Microexon (0-30bp); Regular (>50bp)","chr4:102757722-102757734; chr4:102762761-102762773; chr4:102791742-102791802",0.254
"ENSMUSG00000029267","Mtf2",3,"Regular (>50bp)","chr5:108217027-108217229; chr5:108217027-108217389; chr5:108221172-108221320",-0.136
"ENSMUSG00000032624","Eml4",3,"Regular (>50bp)","chr17:83732686-83732860; chr17:83732686-83732860; chr17:83734651-83734780",0.171
"ENSMUSG00000033102","Cdc14b",3,"Regular (>50bp)","chr13:64349145-64349262; chr13:64353084-64353231; chr13:64373385-64373462",0.22
"ENSMUSG00000033287","Kctd17",3,"Regular (>50bp)","chr15:78321100-78321163; chr15:78321100-78321194; chr15:78321100-78321299",-0.109
"ENSMUSG00000034211","Mrps17",3,"Regular (>50bp)","chr5:129792747-129792922; chr5:129792747-129792976; chr5:129792747-129793005",-0.107
"ENSMUSG00000036817","Sun1",3,"Regular (>50bp)","chr5:139215507-139215699; chr5:139216527-139216593; chr5:139216881-139216992",0.142
"ENSMUSG00000037697","Ddhd1",3,"Microexon (0-30bp); Regular (>50bp)","chr14:45860297-45860399; chr14:45860297-45860399; chr14:45866310-45866331",0.181
"ENSMUSG00000039126","Prune2",3,"Small (30-50bp)","chr19:17189655-17189694; chr19:17189655-17189694; chr19:17193689-17193737",0.116
"ENSMUSG00000048029","Eno4",3,"Regular (>50bp)","chr19:58935083-58935274; chr19:58952809-58953005; chr19:58952870-58953005",-0.184
"ENSMUSG00000056486","Chn1",3,"Microexon (0-30bp); Regular (>50bp)","chr2:73509958-73510247; chr2:73537262-73537376; chr2:73540798-73540826",-0.156
"ENSMUSG00000057230","Aak1",3,"Regular (>50bp)","chr6:86947972-86948068; chr6:86958277-86958379; chr6:86959523-86959625",0.259
"ENSMUSG00000064302","Clasp1",3,"Regular (>50bp)","chr1:118459707-118459815; chr1:118463864-118463927; chr1:118463864-118463927",0.184
"ENSMUSG00000070047","Fat1",3,"Regular (>50bp)","chr8:45498769-45498822; chr8:45500686-45500746; chr8:45500686-45500746",0.254
"ENSMUSG00000086453","Gm11457",3,"Regular (>50bp)","chr2:164601148-164601260; chr2:164604463-164604528; chr2:164604640-164604801",0.038
"ENSMUSG00000000386","Mx1",2,"Regular (>50bp)","chr16:97256688-97256843; chr16:97259879-97259932",-0.025
"ENSMUSG00000000631","Myo18a",2,"Regular (>50bp); Small (30-50bp)","chr11:77706681-77706717; chr11:77706681-77706825",0.177
"ENSMUSG00000001036","Epn2",2,"Regular (>50bp); Small (30-50bp)","chr11:61425403-61425439; chr11:61444335-61444405",0.002
"ENSMUSG00000001143","Lman2l",2,"Small (30-50bp)","chr1:36468503-36468536; chr1:36468503-36468536",0.216
"ENSMUSG00000005501","Usp40",2,"Regular (>50bp)","chr1:87895231-87895320; chr1:87896117-87896171",0.034
"ENSMUSG00000010086","Rnf112",2,"Regular (>50bp)","chr11:61344253-61344322; chr11:61344253-61344322",-0.278
"ENSMUSG00000013523","Bcas1",2,"Regular (>50bp); Small (30-50bp)","chr2:170198167-170198233; chr2:170212369-170212411",0.145
"ENSMUSG00000020131","Pcsk4",2,"Regular (>50bp)","chr10:80159316-80159434; chr10:80159506-80159610",-0.078
"ENSMUSG00000020300","Cpeb4",2,"Microexon (0-30bp)","chr11:31868800-31868824; chr11:31868800-31868824",0.134
"ENSMUSG00000020792","Exoc7",2,"Regular (>50bp); Small (30-50bp)","chr11:116184100-116184139; chr11:116188396-116188489",0.19
"ENSMUSG00000020863","Luc7l3",2,"Regular (>50bp)","chr11:94183219-94183298; chr11:94183232-94183298",-0.27
"ENSMUSG00000021068","Nin",2,"Regular (>50bp)","chr12:70069054-70069115; chr12:70069054-70069115",0.294
"ENSMUSG00000021071","Trim9",2,"Regular (>50bp); Small (30-50bp)","chr12:70301811-70302000; chr12:70314007-70314040",0.162
"ENSMUSG00000021103","Mnat1",2,"Regular (>50bp)","chr12:73217367-73217441; chr12:73225978-73226082",0.171
"ENSMUSG00000021288","Klc1",2,"Regular (>50bp)","chr12:111760082-111760133; chr12:111760082-111760133",0.115
"ENSMUSG00000021709","Erbin",2,"Regular (>50bp)","chr13:103966695-103966839; chr13:104022648-104022846",-0.306
"ENSMUSG00000021820","Camk2g",2,"Regular (>50bp)","chr14:20791445-20791559; chr14:20795859-20795928",0.142
"ENSMUSG00000022139","Mbnl2",2,"Small (30-50bp)","chr14:120640747-120640783; chr14:120640747-120640783",0.129
"ENSMUSG00000022607","Ptk2",2,"Regular (>50bp)","chr15:73236889-73237044; chr15:73236889-73237044",-0.219
"ENSMUSG00000022708","Zbtb20",2,"Regular (>50bp)","chr16:43013827-43013901; chr16:43397392-43397556",0.252
"ENSMUSG00000022770","Dlg1",2,"Microexon (0-30bp); Small (30-50bp)","chr16:31673470-31673506; chr16:31673485-31673506",0.018
"ENSMUSG00000022838","Eaf2",2,"Regular (>50bp)","chr16:36630833-36630970; chr16:36645019-36645114",-0.22
"ENSMUSG00000024044","Epb41l3",2,"Regular (>50bp)","chr17:69581095-69581161; chr17:69590879-69591002",0.182
"ENSMUSG00000024293","Esco1",2,"Regular (>50bp)","chr18:10593745-10595875; chr18:10595675-10595875",-0.115
