"GeneID","geneSymbol","n_events_pos","n_sig_pos","n_event_types","event_types","n_microexon","mean_abs_dPSI","n_selection_events","selection_mean_dPSI"
"ENSMUSG00000041757","Plekha6",34,9,3,"A3SS,MXE,SE",0,0.083,7,0.191
"ENSMUSG00000121504","Ppp4r1l-ps",121,13,5,"A3SS,A5SS,MXE,RI,SE",0,0.056,7,-0.09
"ENSMUSG00000045411","2410002F23Rik",26,7,5,"A3SS,A5SS,MXE,RI,SE",0,0.067,6,0.105
"ENSMUSG00000057858","Fam204a",29,6,3,"A5SS,MXE,SE",0,0.06,6,-0.144
"ENSMUSG00000087177","E130307A14Rik",48,6,3,"A5SS,MXE,SE",0,0.084,6,-0.219
"ENSMUSG00000020166","Cnot2",57,1,3,"A3SS,MXE,SE",0,0.02,5,-0.224
"ENSMUSG00000025006","Sorbs1",41,4,5,"A3SS,A5SS,MXE,RI,SE",2,0.055,5,0.108
"ENSMUSG00000037058","Paip2",20,5,2,"MXE,SE",0,0.101,5,-0.146
"ENSMUSG00000050565","Tor1aip2",7,5,1,"SE",0,0.135,5,0.197
"ENSMUSG00000009995","Tafazzin",37,12,5,"A3SS,A5SS,MXE,RI,SE",0,0.121,4,-0.344
"ENSMUSG00000018411","Mapt",30,8,3,"A3SS,MXE,SE",0,0.06,4,-0.048
"ENSMUSG00000044229","Nxpe4",12,6,3,"A5SS,MXE,SE",0,0.117,4,0.17
"ENSMUSG00000051331","Cacna1c",33,2,3,"A5SS,MXE,SE",0,0.052,4,0.16
"ENSMUSG00000051586","Mical3",25,4,2,"MXE,SE",0,0.075,4,0.081
"ENSMUSG00000053046","Brsk2",18,3,3,"A5SS,MXE,SE",0,0.052,4,0.086
"ENSMUSG00000069601","Ank3",32,3,4,"A3SS,A5SS,MXE,SE",4,0.044,4,0.123
"ENSMUSG00000074758","Gm5535",10,2,1,"SE",0,0.079,4,0.24
"ENSMUSG00000086035","Gm12610",41,12,3,"A5SS,MXE,SE",0,0.101,4,0.219
"ENSMUSG00000097039","Pvt1",129,7,5,"A3SS,A5SS,MXE,RI,SE",0,0.052,4,-0.096
"ENSMUSG00000097080","1700086O06Rik",17,3,2,"A3SS,SE",0,0.089,4,0.362
"ENSMUSG00000013973","Dedd",5,2,1,"SE",0,0.081,3,0.169
"ENSMUSG00000020385","Clk4",24,2,3,"MXE,RI,SE",0,0.046,3,-0.099
"ENSMUSG00000021268","Meg3",11,1,4,"A3SS,A5SS,MXE,SE",0,0.13,3,0.196
"ENSMUSG00000022948","Setd4",22,2,5,"A3SS,A5SS,MXE,RI,SE",0,0.06,3,0.055
"ENSMUSG00000022973","Synj1",17,3,3,"A3SS,MXE,SE",3,0.087,3,0.225
"ENSMUSG00000023206","Il15ra",11,3,4,"A3SS,A5SS,MXE,SE",0,0.104,3,0.1
"ENSMUSG00000024330","Col11a2",8,0,2,"MXE,SE",0,0.14,3,0.337
"ENSMUSG00000024921","Smarca2",21,0,3,"A5SS,MXE,SE",0,0.038,3,-0.037
"ENSMUSG00000025404","R3hdm2",36,2,3,"A3SS,MXE,SE",0,0.033,3,0.144
"ENSMUSG00000026527","Rgs7",19,2,2,"MXE,SE",0,0.053,3,0.085
"ENSMUSG00000028078","Dclk2",13,0,3,"A3SS,A5SS,SE",2,0.022,3,0.124
"ENSMUSG00000028184","Adgrl2",45,3,4,"A3SS,A5SS,MXE,SE",6,0.051,3,0.059
"ENSMUSG00000028524","Sgip1",15,1,3,"A3SS,MXE,SE",5,0.036,3,0.254
"ENSMUSG00000029267","Mtf2",37,6,4,"A3SS,A5SS,RI,SE",1,0.055,3,-0.136
"ENSMUSG00000032624","Eml4",14,3,3,"MXE,RI,SE",0,0.06,3,0.171
"ENSMUSG00000033102","Cdc14b",12,2,2,"MXE,SE",0,0.112,3,0.22
"ENSMUSG00000033287","Kctd17",18,0,3,"A5SS,MXE,SE",0,0.043,3,-0.109
"ENSMUSG00000034211","Mrps17",20,6,3,"A5SS,RI,SE",0,0.064,3,-0.107
"ENSMUSG00000036817","Sun1",39,4,3,"A3SS,MXE,SE",1,0.027,3,0.142
"ENSMUSG00000037697","Ddhd1",12,3,3,"A3SS,MXE,SE",2,0.071,3,0.181
"ENSMUSG00000039126","Prune2",28,1,2,"MXE,SE",0,0.028,3,0.116
"ENSMUSG00000048029","Eno4",4,0,2,"A3SS,SE",0,0.082,3,-0.184
"ENSMUSG00000056486","Chn1",37,2,2,"MXE,SE",1,0.035,3,-0.156
"ENSMUSG00000057230","Aak1",17,3,2,"MXE,SE",0,0.087,3,0.259
"ENSMUSG00000064302","Clasp1",27,2,4,"A3SS,A5SS,MXE,SE",6,0.047,3,0.184
"ENSMUSG00000070047","Fat1",10,1,2,"MXE,SE",0,0.096,3,0.254
"ENSMUSG00000086453","Gm11457",3,2,1,"SE",0,0.323,3,0.038
"ENSMUSG00000000386","Mx1",8,1,3,"A3SS,MXE,SE",0,0.078,2,-0.025
"ENSMUSG00000000631","Myo18a",23,2,3,"A5SS,MXE,SE",2,0.061,2,0.177
"ENSMUSG00000001036","Epn2",35,1,2,"MXE,SE",0,0.046,2,0.002
"ENSMUSG00000001143","Lman2l",21,1,3,"A5SS,MXE,SE",0,0.02,2,0.216
"ENSMUSG00000005501","Usp40",11,3,2,"MXE,SE",0,0.109,2,0.034
