"event_key","event_type","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","size_category","dPSI","FDR"
"chr18:38372625:38372804:38372242:38382766:SE","SE","ENSMUSG00000097080","1700086O06Rik","chr18","-",38372625,38372804,179,"Regular (>50bp)",0.228,0.0218652210658998
"chr18:38372625:38372804:38372238:38383230:SE","SE","ENSMUSG00000097080","1700086O06Rik","chr18","-",38372625,38372804,179,"Regular (>50bp)",0.731,1.78365023538485e-10
"chr18:38373891:38374006:38372238:38383230:SE","SE","ENSMUSG00000097080","1700086O06Rik","chr18","-",38373891,38374006,115,"Regular (>50bp)",0.361,2.17287888029556e-06
"chr18:38373891:38374006:38372804:38383105:SE","SE","ENSMUSG00000097080","1700086O06Rik","chr18","-",38373891,38374006,115,"Regular (>50bp)",0.127,0.0396136153852968
"chr4:11976443:11977102:11966683:11980141:SE","SE","ENSMUSG00000085614","1700123M08Rik","chr4","+",11976443,11977102,659,"Regular (>50bp)",0.39,0.0132504950684443
"chr11:57687137:57687223:57686620:57692059:SE","SE","ENSMUSG00000087165","2010001A14Rik","chr11","-",57687137,57687223,86,"Regular (>50bp)",0.105,0.0428140432341417
"chr18:34889051:34889204:34887833:34889342:SE","SE","ENSMUSG00000097755","2010110K18Rik","chr18","+",34889051,34889204,153,"Regular (>50bp)",-0.122,0.0100847040124153
"chr18:34889051:34889234:34887833:34889342:SE","SE","ENSMUSG00000097755","2010110K18Rik","chr18","+",34889051,34889234,183,"Regular (>50bp)",-0.23,0.00172429520205324
"chr6:31298324:31298411:31262055:31305266:SE","SE","ENSMUSG00000087380","2210408F21Rik","chr6","+",31298324,31298411,87,"Regular (>50bp)",-0.599,0.000314333001827109
"chr6:31305266:31305324:31298411:31312925:SE","SE","ENSMUSG00000087380","2210408F21Rik","chr6","+",31305266,31305324,58,"Regular (>50bp)",-0.138,0.000676932671146962
"chr5:149174048:149174237:149172216:149174346:SE","SE","ENSMUSG00000100783","2310047D07Rik","chr5","+",149174048,149174237,189,"Regular (>50bp)",-0.307,0.0225966095920782
"chr7:43896661:43896840:43896232:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896661,43896840,179,"Regular (>50bp)",0.149,1.27058896427239e-07
"chr7:43896661:43896840:43896247:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896661,43896840,179,"Regular (>50bp)",0.186,1.83302648422216e-13
"chr7:43896674:43896840:43896232:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896674,43896840,166,"Regular (>50bp)",0.173,1.94081444465673e-08
"chr7:43896674:43896840:43896247:43897333:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896674,43896840,166,"Regular (>50bp)",0.12,0.00719072453852466
"chr7:43896674:43896840:43896247:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43896674,43896840,166,"Regular (>50bp)",0.211,0
"chr7:43897333:43897483:43896840:43897675:SE","SE","ENSMUSG00000045411","2410002F23Rik","chr7","+",43897333,43897483,150,"Regular (>50bp)",-0.21,2.452743615685e-11
"chr7:41251171:41251239:41248824:41252859:SE","SE","ENSMUSG00000091474","2610021A01Rik","chr7","+",41251171,41251239,68,"Regular (>50bp)",-0.186,0.015151126219211
"chr4:125815665:125815761:125812599:125815869:SE","SE","ENSMUSG00000085562","2610028E06Rik","chr4","-",125815665,125815761,96,"Regular (>50bp)",-0.124,0.0024434731451566
"chr1:9634047:9634096:9632003:9689774:SE","SE","ENSMUSG00000079671","2610203C22Rik","chr1","-",9634047,9634096,49,"Small (30-50bp)",0.117,0.000134592748575032
"chr17:13789019:13789145:13774354:13889020:SE","SE","ENSMUSG00000117042","2700054A10Rik","chr17","-",13789019,13789145,126,"Regular (>50bp)",0.143,0.0275616163753129
"chr18:24604118:24604141:24604037:24608581:SE","SE","ENSMUSG00000024273","2700062C07Rik","chr18","+",24604118,24604141,23,"Microexon (0-30bp)",-0.102,0.0216985677542389
"chr1:120092494:120092612:120088386:120093864:SE","SE","ENSMUSG00000026388","3110009E18Rik","chr1","+",120092494,120092612,118,"Regular (>50bp)",-0.105,0.0185740824326234
"chr17:5851473:5851616:5849137:5852987:SE","SE","ENSMUSG00000096965","3300005D01Rik","chr17","+",5851473,5851616,143,"Regular (>50bp)",-0.121,0.0333068860500535
"chr15:98885637:98885711:98881745:98885857:SE","SE","ENSMUSG00000097587","4930578M01Rik","chr15","+",98885637,98885711,74,"Regular (>50bp)",-0.128,0.0392796815597014
"chr3:107801904:107801972:107801531:107802176:SE","SE","ENSMUSG00000086968","4933431E20Rik","chr3","-",107801904,107801972,68,"Regular (>50bp)",-0.32,0.049899539693813
"chrX:104433475:104433549:104431542:104435081:SE","SE","ENSMUSG00000087620","5330434G04Rik","chrX","-",104433475,104433549,74,"Regular (>50bp)",0.124,0.00542655501915266
"chrX:104091514:104091616:104087717:104110364:SE","SE","ENSMUSG00000087174","5530601H04Rik","chrX","-",104091514,104091616,102,"Regular (>50bp)",-0.152,0.00153005722243431
"chr6:39506382:39506456:39504578:39520037:SE","SE","ENSMUSG00000085058","8030453O22Rik","chr6","+",39506382,39506456,74,"Regular (>50bp)",0.231,0.0409838238074037
"chr7:136978683:136978846:136978080:136989099:SE","SE","ENSMUSG00000040139","9430038I01Rik","chr7","-",136978683,136978846,163,"Regular (>50bp)",-0.186,0.000441851244589695
"chr2:122480176:122480262:122480053:122481135:SE","SE","ENSMUSG00000033213","AA467197","chr2","+",122480176,122480262,86,"Regular (>50bp)",-0.217,0.000733043013247745
"chr6:86947972:86948068:86944355:86959523:SE","SE","ENSMUSG00000057230","Aak1","chr6","+",86947972,86948068,96,"Regular (>50bp)",0.155,0.000208239750073781
"chr6:86958277:86958379:86944355:86959523:SE","SE","ENSMUSG00000057230","Aak1","chr6","+",86958277,86958379,102,"Regular (>50bp)",0.373,4.90846102457967e-06
