"metric","value"
"group_name","group1_neg_microexon"
"group_label","Microexon (0-30bp)"
"total_genes","102"
"genes_with_sig_pos_events","49"
"genes_without_sig_pos_events","53"
"pct_genes_with_sig_pos","48"
"pos_total_sig_events","84"
"pos_sig_SE","58"
"pos_sig_A3SS","8"
"pos_sig_A5SS","6"
"pos_sig_MXE","6"
"pos_sig_RI","6"
"pos_sig_microexon","32"
"pos_sig_small","4"
"pos_sig_regular","22"
"pos_sig_inclusion","32"
"pos_sig_exclusion","52"
"neg_total_sig_events","166"
"neg_sig_SE","142"
"neg_sig_A3SS","5"
"neg_sig_A5SS","5"
"neg_sig_MXE","11"
"neg_sig_RI","3"
"neg_sig_microexon","110"
"neg_sig_small","6"
"neg_sig_regular","26"
"neg_sig_inclusion","127"
"neg_sig_exclusion","39"
