"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000121504","Ppp4r1l-ps",10,"A3SS; A5SS; MXE; SE","Regular (>50bp)","chr2:173431580-173431741; chr2:173431580-173432589; chr2:173437890-173438337; chr2:173437890-173438345; chr2:173442558-173442835; chr2:173446298-173446390; chr2:173446298-173446390; chr2:173446298-173446390; chr2:173448934-173449122; chr2:173456906-173457369",-0.019
"ENSMUSG00000097039","Pvt1",6,"A5SS; MXE; SE","Regular (>50bp)","chr15:62021087-62021201; chr15:62021087-62021201; chr15:62031845-62031977; chr15:62047680-62047775; chr15:62085660-62085748; chr15:62116567-62116706",-0.05
"ENSMUSG00000025006","Sorbs1",5,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr19:40329128-40329194; chr19:40329128-40329194; chr19:40332799-40332883; chr19:40365088-40365247; chr19:40371199-40371226",0.022
"ENSMUSG00000020166","Cnot2",4,"SE","Regular (>50bp)","chr10:116342945-116343093; chr10:116342945-116343093; chr10:116353221-116353288; chr10:116363731-116363854",-0.163
"ENSMUSG00000021268","Meg3",4,"A3SS; MXE; SE","Regular (>50bp)","chr12:109512312-109512425; chr12:109515913-109515987; chr12:109515913-109516014; chr12:109525073-109538160",0.092
"ENSMUSG00000022708","Zbtb20",4,"MXE; SE","Regular (>50bp); Small (30-50bp)","chr16:42967259-42967306; chr16:43013827-43013901; chr16:43053121-43053183; chr16:43397392-43397556",0.158
"ENSMUSG00000031865","Dctn1",4,"MXE; SE","Microexon (0-30bp)","chr6:83160917-83160938; chr6:83160917-83160938; chr6:83163409-83163427; chr6:83164745-83164766",0.129
"ENSMUSG00000038831","Ralgps1",4,"A3SS; SE","Regular (>50bp)","chr2:33036581-33036665; chr2:33036581-33036665; chr2:33045299-33045351; chr2:33047783-33047941",0.082
"ENSMUSG00000039844","Rapgef1",4,"A3SS; MXE; SE","Regular (>50bp)","chr2:29600164-29600320; chr2:29609604-29609862; chr2:29609604-29609862; chr2:29609604-29609862",0.15
"ENSMUSG00000048029","Eno4",4,"A3SS; SE","Regular (>50bp)","chr19:58935083-58935274; chr19:58952809-58953005; chr19:58952809-58953005; chr19:58952870-58953005",-0.104
"ENSMUSG00000070047","Fat1",4,"MXE; SE","Regular (>50bp)","chr8:45498769-45498822; chr8:45500686-45500746; chr8:45500686-45500746; chr8:45500686-45500746",0.251
"ENSMUSG00000020300","Cpeb4",3,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr11:31858824-31858875; chr11:31868800-31868824; chr11:31868800-31868824",0.055
"ENSMUSG00000024330","Col11a2",3,"SE","Regular (>50bp)","chr17:34264744-34264822; chr17:34266071-34266251; chr17:34266071-34266251",0.337
"ENSMUSG00000024921","Smarca2",3,"SE","Regular (>50bp)","chr19:26727251-26727347; chr19:26727251-26727347; chr19:26737277-26737331",-0.037
"ENSMUSG00000028078","Dclk2",3,"SE","Microexon (0-30bp); Small (30-50bp)","chr3:86695928-86695941; chr3:86695928-86695941; chr3:86738130-86738178",0.124
"ENSMUSG00000028184","Adgrl2",3,"A5SS; SE","Microexon (0-30bp); Regular (>50bp)","chr3:148526052-148526104; chr3:148526915-148527044; chr3:148532847-148532874",-0.161
"ENSMUSG00000029673","Auts2",3,"A5SS; MXE","Regular (>50bp)","chr5:131494869-131494965; chr5:131501075-131501317; chr5:131501075-131501317",0.148
"ENSMUSG00000030924","Rexo5",3,"A5SS; MXE; SE","Regular (>50bp)","chr7:119398787-119398900; chr7:119423267-119423362; chr7:119426525-119426602",0.001
"ENSMUSG00000031256","Cstf2",3,"RI; SE","Regular (>50bp)","chrX:132970593-132974026; chrX:132973163-132973223; chrX:132973163-132973223",0.138
"ENSMUSG00000033287","Kctd17",3,"SE","Regular (>50bp)","chr15:78321100-78321163; chr15:78321100-78321194; chr15:78321100-78321299",-0.109
"ENSMUSG00000033419","Snap91",3,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr9:86672108-86672192; chr9:86680590-86680752; chr9:86680882-86680897",0.192
"ENSMUSG00000039126","Prune2",3,"SE","Small (30-50bp)","chr19:17189655-17189694; chr19:17189655-17189694; chr19:17193689-17193737",0.116
"ENSMUSG00000041936","Agrn",3,"A5SS; SE","Microexon (0-30bp); Regular (>50bp); Small (30-50bp)","chr4:156252233-156252266; chr4:156252233-156253026; chr4:156253002-156253026",0.116
"ENSMUSG00000051331","Cacna1c",3,"SE","Regular (>50bp)","chr6:118614690-118614774; chr6:118615387-118615471; chr6:118651515-118651575",0.169
"ENSMUSG00000056486","Chn1",3,"SE","Microexon (0-30bp); Regular (>50bp)","chr2:73509958-73510247; chr2:73537262-73537376; chr2:73540798-73540826",-0.156
"ENSMUSG00000057858","Fam204a",3,"SE","Regular (>50bp); Small (30-50bp)","chr19:60208761-60208792; chr19:60208921-60209009; chr19:60209485-60209736",-0.124
"ENSMUSG00000061306","Slc38a10",3,"MXE; SE","Microexon (0-30bp); Regular (>50bp)","chr11:119999292-119999316; chr11:119999292-119999379; chr11:119999292-119999316",0.131
"ENSMUSG00000062604","Srpk2",3,"A3SS; SE","Regular (>50bp)","chr5:23745372-23745501; chr5:23829050-23829124; chr5:23834329-23834475",0.081
