"metric","value"
"total_neg_exclusive_genes",81
"genes_with_sig_pos_events",29
"genes_without_sig_pos_events",52
"pct_genes_with_sig_pos",35.8
"pos_total_sig_events",52
"pos_sig_SE",32
"pos_sig_A3SS",5
"pos_sig_A5SS",5
"pos_sig_MXE",5
"pos_sig_RI",5
"pos_sig_microexon",12
"pos_sig_small",3
"pos_sig_regular",17
"pos_sig_inclusion",21
"pos_sig_exclusion",31
"neg_total_sig_events",137
"neg_sig_SE",120
"neg_sig_A3SS",4
"neg_sig_A5SS",4
"neg_sig_MXE",7
"neg_sig_RI",2
"neg_sig_microexon",91
"neg_sig_small",6
"neg_sig_regular",23
"neg_sig_inclusion",111
"neg_sig_exclusion",26
