"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR","significant","direction"
"chrX:13418611:13418680:13417221:13421116:SE","SE","ENSMUSG00000031012","Cask",69,"Regular (>50bp)",0.134,0.000352031808409297,TRUE,"Inclusion (dPSI > 0)"
"chr18:32563802:32563910:32562776:32565035:SE","SE","ENSMUSG00000024381","Bin1",108,"Regular (>50bp)",-0.168,5.60443015233383e-05,TRUE,"Exclusion (dPSI < 0)"
"chr14:45860297:45860399:45858297:45866310:SE","SE","ENSMUSG00000037697","Ddhd1",102,"Regular (>50bp)",0.202,9.08505595997864e-08,TRUE,"Inclusion (dPSI > 0)"
"chr14:45860297:45860399:45858297:45867036:SE","SE","ENSMUSG00000037697","Ddhd1",102,"Regular (>50bp)",0.229,1.00094948310059e-07,TRUE,"Inclusion (dPSI > 0)"
"chr11:106071780:106071809:106064607:106075387:SE","SE","ENSMUSG00000069631","Strada",29,"Microexon (0-30bp)",-0.143,0,TRUE,"Exclusion (dPSI < 0)"
"chr11:106071780:106071809:106064607:106077926:SE","SE","ENSMUSG00000069631","Strada",29,"Microexon (0-30bp)",-0.172,3.707656846415e-07,TRUE,"Exclusion (dPSI < 0)"
"chr11:85712847:85712938:85692778:85716027:SE","SE","ENSMUSG00000059439","Bcas3",91,"Regular (>50bp)",0.231,0.000365430890238214,TRUE,"Inclusion (dPSI > 0)"
"chr19:55375620:55375641:55369451:55380215:SE","SE","ENSMUSG00000024983","Vti1a",21,"Microexon (0-30bp)",0.171,0.000231369095081125,TRUE,"Inclusion (dPSI > 0)"
"chr11:3311020:3311108:3310586:3311782:SE","SE","ENSMUSG00000020451","Limk2",88,"Regular (>50bp)",-0.166,0.0136183589898682,TRUE,"Exclusion (dPSI < 0)"
"chr11:3311782:3311825:3310586:3359045:SE","SE","ENSMUSG00000020451","Limk2",43,"Small (30-50bp)",0.334,0.000270364223648166,TRUE,"Inclusion (dPSI > 0)"
"chr4:135775122:135775164:135756016:135778924:SE","SE","ENSMUSG00000059291","Rpl11",42,"Small (30-50bp)",0.169,0.04888873059737,TRUE,"Inclusion (dPSI > 0)"
"chr19:40288686:40288746:40287965:40300112:SE","SE","ENSMUSG00000025006","Sorbs1",60,"Regular (>50bp)",0.274,6.43740968170826e-08,TRUE,"Inclusion (dPSI > 0)"
"chr19:40332799:40332883:40325479:40338342:SE","SE","ENSMUSG00000025006","Sorbs1",84,"Regular (>50bp)",0.132,0.00316715543302736,TRUE,"Inclusion (dPSI > 0)"
"chr19:40365088:40365460:40362061:40370964:SE","SE","ENSMUSG00000025006","Sorbs1",372,"Regular (>50bp)",-0.134,0.0214939684031398,TRUE,"Exclusion (dPSI < 0)"
"chr4:102791742:102791802:102786109:102813295:SE","SE","ENSMUSG00000028524","Sgip1",60,"Regular (>50bp)",0.128,0.00202226264674503,TRUE,"Inclusion (dPSI > 0)"
"chr11:120520811:120520842:120520707:120521313:SE","SE","ENSMUSG00000051510","Mafg",31,"Small (30-50bp)",0.103,0.0154402121604477,TRUE,"Inclusion (dPSI > 0)"
"chr4:9598268:9598301:9583856:9601306:SE","SE","ENSMUSG00000028207","Asph",33,"Small (30-50bp)",0.118,0.00100790716349227,TRUE,"Inclusion (dPSI > 0)"
"chr4:9598732:9598780:9598301:9601306:SE","SE","ENSMUSG00000028207","Asph",48,"Small (30-50bp)",-0.124,0.0453075295863651,TRUE,"Exclusion (dPSI < 0)"
"chr3:148526915:148527044:148526690:148528590:SE","SE","ENSMUSG00000028184","Adgrl2",129,"Regular (>50bp)",0.112,0.00585728829704227,TRUE,"Inclusion (dPSI > 0)"
"chr3:148566062:148566074:148565169:148571235:SE","SE","ENSMUSG00000028184","Adgrl2",12,"Microexon (0-30bp)",-0.116,0.00343523606591965,TRUE,"Exclusion (dPSI < 0)"
"chr11:61444335:61444405:61438868:61456647:SE","SE","ENSMUSG00000001036","Epn2",70,"Regular (>50bp)",-0.11,0.00419423930225094,TRUE,"Exclusion (dPSI < 0)"
"chr11:116187555:116187624:116186515:116191091:SE","SE","ENSMUSG00000020792","Exoc7",69,"Regular (>50bp)",0.183,0,TRUE,"Inclusion (dPSI > 0)"
"chr11:116188396:116188489:116186515:116191091:SE","SE","ENSMUSG00000020792","Exoc7",93,"Regular (>50bp)",0.286,0,TRUE,"Inclusion (dPSI > 0)"
"chr9:113707817:113707841:113705418:113709009:SE","SE","ENSMUSG00000033392","Clasp2",24,"Microexon (0-30bp)",-0.131,5.85942704572475e-07,TRUE,"Exclusion (dPSI < 0)"
"chr1:179921508:179921751:179912070:179921945:SE","SE","ENSMUSG00000026490","Cdc42bpa",243,"Regular (>50bp)",-0.227,0,TRUE,"Exclusion (dPSI < 0)"
