"event_id","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","upstreamES","upstreamEE","downstreamES","downstreamEE","FDR","IncLevelDifference"
"chr1:21031376-21031526|up:21030353-21030641|down:21037547-21037740","Efhc1","chr1","+",21031376,21031526,150,21030353,21030641,21037547,21037740,4.92650312638358e-05,-0.613
"chr1:36595883-36596166|up:36595012-36595161|down:36596440-36596607","Sema4c","chr1","-",36595883,36596166,283,36595012,36595161,36596440,36596607,0.0214631312863043,-0.351
"chr1:36624996-36625080|up:36617599-36617725|down:36628317-36628398","Fam178b","chr1","-",36624996,36625080,84,36617599,36617725,36628317,36628398,0.0236673040128123,-0.128
"chr1:37932023-37932104|up:37929557-37929665|down:37934410-37934491","Mrpl30","chr1","+",37932023,37932104,81,37929557,37929665,37934410,37934491,0.000671565385452643,0.162
"chr1:38167332-38167396|up:38147484-38147548|down:38168542-38168882","Rev1","chr1","-",38167332,38167396,64,38147484,38147548,38168542,38168882,2.30397349172781e-07,0.135
"chr1:40040589-40040751|up:40039690-40039909|down:40042916-40043147","Map4k4","chr1","+",40040589,40040751,162,40039690,40039909,40042916,40043147,0,-0.131
"chr1:58120661-58120748|up:58117584-58117672|down:58124592-58124820","Aox1","chr1","+",58120661,58120748,87,58117584,58117672,58124592,58124820,0.00158783326872353,-0.105
"chr1:58573643-58573811|up:58566179-58569418|down:58574548-58574708","Hycc2","chr1","-",58573643,58573811,168,58566179,58569418,58574548,58574708,2.26841043379431e-05,-0.35
"chr1:60147241-60147359|up:60144502-60144586|down:60148380-60148608","Carf","chr1","+",60147241,60147359,118,60144502,60144586,60148380,60148608,0.000101835282957841,0.148
"chr1:60478100-60478118|up:60476214-60476391|down:60483143-60483241","Abi2","chr1","+",60478100,60478118,18,60476214,60476391,60483143,60483241,0,-0.192
"chr1:63211312-63211416|up:63210007-63210073|down:63215586-63215683","Ndufs1","chr1","-",63211312,63211416,104,63210007,63210073,63215586,63215683,1.02697337813697e-13,0.194
"chr1:63211312-63211416|up:63210007-63210073|down:63215744-63215828","Ndufs1","chr1","-",63211312,63211416,104,63210007,63210073,63215744,63215828,5.09502925936823e-05,0.125
"chr1:64590007-64590129|up:64571803-64572063|down:64605375-64605476","Creb1","chr1","+",64590007,64590129,122,64571803,64572063,64605375,64605476,0.0362818508207152,-0.206
"chr1:65220786-65220857|up:65214389-65214527|down:65225463-65225638","Idh1","chr1","-",65220786,65220857,71,65214389,65214527,65225463,65225638,0.00104364274433265,0.159
"chr1:65231689-65231725|up:65231303-65231453|down:65234814-65234933","Pikfyve","chr1","+",65231689,65231725,36,65231303,65231453,65234814,65234933,0.0403984765373933,0.177
"chr1:66451565-66455306|up:66440602-66440680|down:66455502-66455709","Map2","chr1","+",66451565,66455306,3741,66440602,66440680,66455502,66455709,7.235253383086e-08,0.27
"chr1:71106266-71106347|up:71104637-71104810|down:71113701-71114639","Bard1","chr1","-",71106266,71106347,81,71104637,71104810,71113701,71114639,0.0355348850923673,0.111
"chr1:74168497-74168604|up:74168106-74168232|down:74168856-74169000","Rufy4","chr1","+",74168497,74168604,107,74168106,74168232,74168856,74169000,0.000784390546009064,-0.131
"chr1:74955921-74956050|up:74950172-74950349|down:74956308-74956534","Cfap65","chr1","-",74955921,74956050,129,74950172,74950349,74956308,74956534,0.0013713489946869,0.267
"chr1:75412789-75412956|up:75412586-75412655|down:75413637-75413678","Gmppa","chr1","+",75412789,75412956,167,75412586,75412655,75413637,75413678,0.0203481527217529,0.166
"chr1:75413427-75413482|up:75412730-75412837|down:75413637-75413678","Gmppa","chr1","+",75413427,75413482,55,75412730,75412837,75413637,75413678,0.00128089735047109,0.342
"chr1:75466126-75466393|up:75465232-75465345|down:75467439-75467712","Obsl1","chr1","-",75466126,75466393,267,75465232,75465345,75467439,75467712,0.0218521857979123,-0.13
"chr1:75468710-75468986|up:75467831-75468101|down:75469149-75469437","Obsl1","chr1","-",75468710,75468986,276,75467831,75468101,75469149,75469437,0.0122230301142855,-0.117
"chr1:84773410-84773536|up:84771245-84772048|down:84792543-84792690","Trip12","chr1","-",84773410,84773536,126,84771245,84772048,84792543,84792690,8.67454513283444e-10,0.108
"chr1:85072017-85072080|up:85068797-85068910|down:85077197-85077369","A530032D15Rik","chr1","-",85072017,85072080,63,85068797,85068910,85077197,85077369,0.00271077678598823,-0.147
"chr1:86740233-86740311|up:86719137-86719179|down:86748943-86749172","Dis3l2","chr1","+",86740233,86740311,78,86719137,86719179,86748943,86749172,0.00668244294781898,0.1
"chr1:87901798-87901856|up:87896117-87896171|down:87903529-87903653","Usp40","chr1","-",87901798,87901856,58,87896117,87896171,87903529,87903653,0.004725741832217,0.205
"chr1:89538005-89538017|up:89537217-89537305|down:89555482-89555568","Agap1","chr1","+",89538005,89538017,12,89537217,89537305,89555482,89555568,1.35832390990953e-05,-0.128
"chr1:91875139-91875258|up:91862323-91862408|down:91883011-91883109","Hdac4","chr1","-",91875139,91875258,119,91862323,91862408,91883011,91883109,0.000309516041610852,-0.102
"chr1:92573405-92573598|up:92573055-92573148|down:92576472-92576563","Otos","chr1","-",92573405,92573598,193,92573055,92573148,92576472,92576563,0.0169963531755925,-0.128
"chr1:93407185-93407321|up:93406829-93406902|down:93416845-93416876","Septin2","chr1","+",93407185,93407321,136,93406829,93406902,93416845,93416876,0.0064387369629042,-0.189
"chr1:128118374-128118476|up:128114494-128114646|down:128121196-128121493","R3hdm1","chr1","+",128118374,128118476,102,128114494,128114646,128121196,128121493,0.00116340971314384,-0.103
"chr1:130624753-130625822|up:130616919-130618885|down:130626415-130626480","Pfkfb2","chr1","-",130624753,130625822,1069,130616919,130618885,130626415,130626480,0.00288614933888376,-0.193
"chr1:130625642-130625822|up:130618751-130618885|down:130626415-130626480","Pfkfb2","chr1","-",130625642,130625822,180,130618751,130618885,130626415,130626480,0.00167233029216941,-0.199
"chr1:131969595-131969666|up:131968277-131968398|down:131974043-131974191","Mfsd4a","chr1","-",131969595,131969666,71,131968277,131968398,131974043,131974191,0.0209151678926945,-0.26
"chr1:132938802-132938936|up:132931528-132931628|down:132946514-132946596","Mdm4","chr1","-",132938802,132938936,134,132931528,132931628,132946514,132946596,0.0149088710966891,0.29
"chr1:133207110-133207191|up:133201595-133202112|down:133208076-133208145","Plekha6","chr1","+",133207110,133207191,81,133201595,133202112,133208076,133208145,0.0014568676842482,0.102
"chr1:133213984-133214134|up:133212984-133213124|down:133215207-133215337","Plekha6","chr1","+",133213984,133214134,150,133212984,133213124,133215207,133215337,0.0116689512015482,-0.114
"chr1:133581710-133582176|up:133573518-133573584|down:133588974-133589034","Zc3h11a","chr1","-",133581710,133582176,466,133573518,133573584,133588974,133589034,0.0473725632120142,-0.361
"chr1:133583082-133583136|up:133582057-133582176|down:133588993-133589098","Zc3h11a","chr1","-",133583082,133583136,54,133582057,133582176,133588993,133589098,0.000970394219132391,-0.128
"chr1:136094899-136094938|up:136092755-136092869|down:136096924-136097061","Kif21b","chr1","+",136094899,136094938,39,136092755,136092869,136096924,136097061,0.00164671492447317,-0.195
"chr1:155916820-155916880|up:155911471-155911666|down:155935156-155935333","Tor1aip2","chr1","+",155916820,155916880,60,155911471,155911666,155935156,155935333,0.0268276814650858,-0.149
"chr1:160978534-160978887|up:160970281-160970410|down:160982815-160982983","Ankrd45","chr1","+",160978534,160978887,353,160970281,160970410,160982815,160982983,2.15327157086544e-05,-0.166
"chr1:162501671-162501720|up:162499356-162501225|down:162503173-162503410","Prrc2c","chr1","-",162501671,162501720,49,162499356,162501225,162503173,162503410,0.000100349165153745,-0.1
"chr1:171098561-171098675|up:171098152-171098259|down:171098772-171098943","B4galt3","chr1","+",171098561,171098675,114,171098152,171098259,171098772,171098943,0.00454242022040327,-0.216
"chr1:171107442-171107575|up:171107003-171107167|down:171107961-171108096","Ppox","chr1","-",171107442,171107575,133,171107003,171107167,171107961,171108096,0.00734535077235633,0.333
"chr1:171158801-171158853|up:171156966-171157094|down:171165819-171166208","Dedd","chr1","+",171158801,171158853,52,171156966,171157094,171165819,171166208,0.0437439192808808,0.107
"chr1:171850043-171850153|up:171840649-171840912|down:171854157-171854278","Vangl2","chr1","-",171850043,171850153,110,171840649,171840912,171854157,171854278,3.97621604061204e-07,-0.443
"chr1:177271550-177271658|up:177270109-177270161|down:177272304-177272388","Zbtb18","chr1","+",177271550,177271658,108,177270109,177270161,177272304,177272388,0.00521994367501829,0.268
"chr1:179921508-179921751|up:179911936-179912070|down:179921945-179922056","Cdc42bpa","chr1","+",179921508,179921751,243,179911936,179912070,179921945,179922056,3.39474236161405e-10,-0.134
"chr1:194765855-194765944|up:194759961-194760144|down:194767640-194767743","Cd46","chr1","-",194765855,194765944,89,194759961,194760144,194767640,194767743,0.00158222466762746,-0.538
"chr10:4995265-4995334|up:4993610-4993753|down:4997530-4997858","Syne1","chr10","-",4995265,4995334,69,4993610,4993753,4997530,4997858,3.98292893287043e-05,0.14
"chr10:9660084-9660144|up:9653764-9653815|down:9665106-9665172","Stxbp5","chr10","-",9660084,9660144,60,9653764,9653815,9665106,9665172,0.000374879402957107,0.119
"chr10:20161515-20161640|up:20153950-20154164|down:20162320-20162393","Gm48249","chr10","-",20161515,20161640,125,20153950,20154164,20162320,20162393,0.00159472277983249,0.34
"chr10:30443756-30443867|up:30442421-30442502|down:30463434-30463591","Trmt11","chr10","-",30443756,30443867,111,30442421,30442502,30463434,30463591,0.00232329081943045,0.141
