"event_id","geneSymbol","chr","strand","exonStart_0base","exonEnd","exon_length","upstreamES","upstreamEE","downstreamES","downstreamEE","FDR","IncLevelDifference"
"chr1:34335822-34335840|up:34334542-34334617|down:34338801-34338919","Dst","chr1","+",34335822,34335840,18,34334542,34334617,34338801,34338919,0,-0.162
"chr1:66740775-66740795|up:66740065-66740176|down:66745604-66745684","Rpe","chr1","+",66740775,66740795,20,66740065,66740176,66745604,66745684,0.042373525672066,0.122
"chr1:87771833-87771843|up:87768513-87768569|down:87772636-87772880","Sag","chr1","+",87771833,87771843,10,87768513,87768569,87772636,87772880,7.25963878699962e-12,-0.884
"chr10:60133316-60133325|up:60131725-60131782|down:60134876-60135008","Psap","chr10","+",60133316,60133325,9,60131725,60131782,60134876,60135008,6.82779603057641e-11,-0.129
"chr10:88317214-88317241|up:88316676-88316808|down:88318092-88318177","Chpt1","chr10","-",88317214,88317241,27,88316676,88316808,88318092,88318177,0.000679456720161651,-0.272
"chr10:117992738-117992768|up:117988079-117988179|down:117993099-117993275","Mdm1","chr10","+",117992738,117992768,30,117988079,117988179,117993099,117993275,0,-0.124
"chr10:122858990-122858993|up:122858738-122858849|down:122859814-122859916","Mon2","chr10","-",122858990,122858993,3,122858738,122858849,122859814,122859916,0.0142090723300144,-0.106
"chr10:127132585-127132609|up:127132409-127132502|down:127132741-127132813","Mars1","chr10","-",127132585,127132609,24,127132409,127132502,127132741,127132813,0,-0.22
"chr11:93971565-93971580|up:93970024-93970036|down:93972165-93972223","Spag9","chr11","+",93971565,93971580,15,93970024,93970036,93972165,93972223,0.0320554566746996,0.168
"chr11:97382469-97382492|up:97381959-97382056|down:97383876-97383908","Arhgap23","chr11","+",97382469,97382492,23,97381959,97382056,97383876,97383908,0.00137006976834466,0.109
"chr11:100940284-100940302|up:100939243-100939351|down:100945851-100945969","Atp6v0a1","chr11","+",100940284,100940302,18,100939243,100939351,100945851,100945969,0,-0.134
"chr11:102422138-102422156|up:102418919-102418992|down:102429107-102429182","Gpatch8","chr11","-",102422138,102422156,18,102418919,102418992,102429107,102429182,0.00110545444193773,-0.107
"chr11:106071780-106071809|up:106064504-106064607|down:106075387-106075445","Strada","chr11","-",106071780,106071809,29,106064504,106064607,106075387,106075445,0,-0.143
"chr11:106071780-106071809|up:106064504-106064607|down:106077926-106078006","Strada","chr11","-",106071780,106071809,29,106064504,106064607,106077926,106078006,3.707656846415e-07,-0.172
"chr12:21264362-21264371|up:21263139-21263226|down:21267975-21268079","Asap2","chr12","+",21264362,21264371,9,21263139,21263226,21267975,21268079,0,-0.196
"chr12:51958987-51959014|up:51956740-51956876|down:51961756-51961926","Heatr5a","chr12","-",51958987,51959014,27,51956740,51956876,51961756,51961926,0.0266003257680887,0.22
"chr12:70298793-70298817|up:70297730-70298034|down:70314835-70314974","Trim9","chr12","-",70298793,70298817,24,70297730,70298034,70314835,70314974,0.0126767727515466,0.3
"chr12:72005520-72005547|up:71999225-71999333|down:72006579-72006686","Daam1","chr12","+",72005520,72005547,27,71999225,71999333,72006579,72006686,0.027536144667863,-0.117
"chr12:77008036-77008063|up:76999942-77000050|down:77008763-77008799","Max","chr12","-",77008036,77008063,27,76999942,77000050,77008763,77008799,6.74755089948493e-13,0.18
"chr12:88799322-88799340|up:88761273-88762663|down:88817048-88817078","Nrxn3","chr12","+",88799322,88799340,18,88761273,88762663,88817048,88817078,0.00452207672631305,-0.107
"chr12:98787858-98787873|up:98784078-98784157|down:98790892-98791019","Eml5","chr12","-",98787858,98787873,15,98784078,98784157,98790892,98791019,3.03047940772426e-08,-0.19
"chr12:103016153-103016182|up:103013916-103013957|down:103025577-103025687","Unc79","chr12","+",103016153,103016182,29,103013916,103013957,103025577,103025687,0.0177010912773212,0.211
"chr13:11649192-11649216|up:11637787-11637887|down:11650410-11650464","Ryr2","chr13","-",11649192,11649216,24,11637787,11637887,11650410,11650464,5.62550019090521e-05,0.199
"chr13:47018294-47018307|up:47001801-47001862|down:47082691-47082782","Kif13a","chr13","-",47018294,47018307,13,47001801,47001862,47082691,47082782,0.0103601446742514,0.138
"chr13:67644303-67644330|up:67642721-67642848|down:67648020-67648036","Zfp58","chr13","-",67644303,67644330,27,67642721,67642848,67648020,67648036,0.000252659177797801,0.293
"chr13:104288672-104288690|up:104286557-104286691|down:104290803-104290848","Trappc13","chr13","-",104288672,104288690,18,104286557,104286691,104290803,104290848,0.000914081619341403,-0.113
"chr14:24544119-24544137|up:24543450-24543561|down:24545842-24545913","Rps24","chr14","+",24544119,24544137,18,24543450,24543561,24545842,24545913,0,-0.36
"chr14:52242335-52242356|up:52242068-52242199|down:52242445-52242492","Arhgef40","chr14","+",52242335,52242356,21,52242068,52242199,52242445,52242492,0.0190484496052214,-0.167
"chr14:61436051-61436078|up:61430921-61430928|down:61440146-61440154","Sacs","chr14","+",61436051,61436078,27,61430921,61430928,61440146,61440154,0.0455419660223283,0.166
"chr15:64025692-64025701|up:64024678-64024779|down:64030730-64030853","Asap1","chr15","-",64025692,64025701,9,64024678,64024779,64030730,64030853,3.36458407431524e-12,-0.105
"chr15:64025692-64025701|up:64024678-64024779|down:64030766-64030853","Asap1","chr15","-",64025692,64025701,9,64024678,64024779,64030766,64030853,1.06657471876529e-08,-0.223
"chr15:76078758-76078773|up:76078540-76078630|down:76078950-76079012","Plec","chr15","-",76078758,76078773,15,76078540,76078630,76078950,76079012,2.63934084002508e-08,-0.145
"chr15:76316571-76316598|up:76316348-76316495|down:76317473-76317596","Mroh1","chr15","+",76316571,76316598,27,76316348,76316495,76317473,76317596,3.79776685637924e-13,-0.123
"chr15:79187773-79187802|up:79186818-79186897|down:79188504-79188692","Pla2g6","chr15","-",79187773,79187802,29,79186818,79186897,79188504,79188692,9.75537972425887e-08,-0.205
"chr15:83267823-83267829|up:83265962-83266084|down:83269187-83269292","Pacsin2","chr15","-",83267823,83267829,6,83265962,83266084,83269187,83269292,4.78678250710644e-06,-0.13
"chr15:98538839-98538859|up:98538219-98538335|down:98539057-98539138","Cacnb3","chr15","+",98538839,98538859,20,98538219,98538335,98539057,98539138,0.0004518079449838,-0.117
"chr16:49728416-49728441|up:49727143-49727175|down:49731231-49731444","Cd47","chr16","+",49728416,49728441,25,49727143,49727175,49731231,49731444,1.9594570408698e-08,-0.137
"chr16:90768451-90768475|up:90766070-90766262|down:90770797-90770954","Synj1","chr16","-",90768451,90768475,24,90766070,90766262,90770797,90770954,2.93604005525419e-05,-0.1
"chr17:24062930-24062957|up:24060025-24061499|down:24063050-24063146","Prss41","chr17","-",24062930,24062957,27,24060025,24061499,24063050,24063146,0.049765335490866,0.492
"chr17:27240636-27240656|up:27240140-27240321|down:27241412-27241556","Bak1","chr17","-",27240636,27240656,20,27240140,27240321,27241412,27241556,0,-0.298
"chr17:34819324-34819351|up:34818969-34819111|down:34819468-34819595","Ager","chr17","+",34819324,34819351,27,34818969,34819111,34819468,34819595,0.0171914712868452,-0.122
"chr17:56734790-56734817|up:56733386-56733504|down:56734938-56735132","Ptprs","chr17","-",56734790,56734817,27,56733386,56733504,56734938,56735132,0,-0.124
"chr17:81749631-81749652|up:81749201-81749219|down:81752915-81753022","Slc8a1","chr17","-",81749631,81749652,21,81749201,81749219,81752915,81753022,0.000169610867625732,-0.281
"chr17:85322836-85322863|up:85312936-85312994|down:85330459-85330507","Ppm1b","chr17","+",85322836,85322863,27,85312936,85312994,85330459,85330507,0.00672431491383747,0.145
"chr18:7430394-7430415|up:7403320-7403356|down:7439568-7439633","Mpp7","chr18","-",7430394,7430415,21,7403320,7403356,7439568,7439633,0.00103723031333238,0.16
"chr18:35872977-35873001|up:35872495-35872630|down:35873359-35873542","Sting1","chr18","-",35872977,35873001,24,35872495,35872630,35873359,35873542,0.0067723244443014,-0.252
