"event_id","geneSymbol","dPSI_1","FDR_1","dPSI_2","FDR_2","sig_1","sig_2","category"
"ENSMUSG00000000001_chr3_108023078_108023207","Gnai3",-0.016,0.012302655970926,-0.001,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108023078_108023207","Gnai3",-0.016,0.012302655970926,0.003,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108023078_108023207","Gnai3",-0.001,1,-0.001,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108023078_108023207","Gnai3",-0.001,1,0.003,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108025616_108025774","Gnai3",-0.009,1,0,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108025616_108025774","Gnai3",-0.009,1,0.002,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108025616_108025774","Gnai3",-0.002,1,0,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108025616_108025774","Gnai3",-0.002,1,0.002,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108030857_108030999","Gnai3",0,1,0,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000001_chr3_108031110_108031153","Gnai3",0.001,1,0.001,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000028_chr16_18611927_18612089","Cdc45",0.001,1,0.005,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000028_chr16_18627481_18627619","Cdc45",0.008,1,0.012,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000028_chr16_18630054_18630114","Cdc45",0.005,1,0.006,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000037_chrX_160038025_160038177","Scml2",-0.098,1,-0.276,0.00668244294781898,FALSE,TRUE,"KO_vs_Parental"
"ENSMUSG00000000056_chr11_121135761_121135896","Narf",-0.004,1,-0.004,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000078_chr13_5913556_5913624","Klf6",0.004,1,0.023,0.000810660632672472,FALSE,FALSE,"Neither"
"ENSMUSG00000000088_chr9_57436238_57436355","Cox5a",0,1,0,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000088_chr9_57437523_57437645","Cox5a",-0.001,1,0,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000120_chr11_95471778_95471920","Ngfr",0.001,1,0,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000120_chr11_95471778_95471920","Ngfr",0.001,1,-0.001,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000127_chr17_64203012_64203278","Fer",-0.007,1,0.003,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000127_chr17_64203012_64203278","Fer",-0.007,1,0.009,0.669297335091541,FALSE,FALSE,"Neither"
"ENSMUSG00000000127_chr17_64203012_64203278","Fer",-0.025,0.0547491757559243,0.003,1,FALSE,FALSE,"Neither"
"ENSMUSG00000000127_chr17_64203012_64203278","Fer",-0.025,0.0547491757559243,0.009,0.669297335091541,FALSE,FALSE,"Neither"
"ENSMUSG00000000127_chr17_64203012_64203278","Fer",0.001,1,0.003,1,FALSE,FALSE,"Neither"
