"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR"
"chrJH584304.1:56985:57151:55701:59591:SE","SE","ENSMUSG00000095041","ENSMUSG00000095041",166,"Regular (>50bp)",-0.115,2.23977840969747e-06
"chrX:164961529:164961638:164953546:164961787:SE","SE","ENSMUSG00000040621","Gemin8",109,"Regular (>50bp)",0.158,0.0180314590837754
"chrX:150586751:150586798:150586565:150587441:SE","SE","ENSMUSG00000025261","Huwe1",47,"Small (30-50bp)",0.183,0.00141797295325857
"chrX:150587441:150587536:150586565:150589267:SE","SE","ENSMUSG00000025261","Huwe1",95,"Regular (>50bp)",-0.103,0.0032201028538228
"chrX:150587441:150587536:150586565:150589271:SE","SE","ENSMUSG00000025261","Huwe1",95,"Regular (>50bp)",-0.111,0.0180475924478087
"chrX:150355361:150355664:150353427:150356408:SE","SE","ENSMUSG00000041229","Phf8",303,"Regular (>50bp)",-0.162,5.82565132619382e-05
"chrX:138892264:138892336:138869348:138894046:SE","SE","ENSMUSG00000031433","Rbm41",72,"Regular (>50bp)",-0.106,0.0303375965092825
"chrX:135661166:135661324:135660667:135689269:SE","SE","ENSMUSG00000087368","BC065397",158,"Regular (>50bp)",-0.114,0.00648505783723075
"chrX:132973426:132973513:132973223:132973884:SE","SE","ENSMUSG00000031256","Cstf2",87,"Regular (>50bp)",-0.291,4.17755326674286e-09
"chrX:132973426:132973513:132973223:132973962:SE","SE","ENSMUSG00000031256","Cstf2",87,"Regular (>50bp)",-0.167,3.0090896213522e-09
"chrX:84637257:84637360:84619216:84652998:SE","SE","ENSMUSG00000035476","Tab3",103,"Regular (>50bp)",0.119,0.00223357259034471
"chrX:73332267:73332320:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",53,"Regular (>50bp)",-0.184,2.0346835167399e-08
"chrX:7758378:7759654:7756002:7760429:SE","SE","ENSMUSG00000031156","Slc35a2",1276,"Regular (>50bp)",-0.102,0.000336218499461787
"chrX:7666774:7666822:7666580:7667415:SE","SE","ENSMUSG00000031153","Gripap1",48,"Small (30-50bp)",-0.161,0
"chrX:7669832:7669925:7669639:7670598:SE","SE","ENSMUSG00000031153","Gripap1",93,"Regular (>50bp)",-0.139,6.63011849973594e-10
"chr19:45411571:45411679:45352713:45444971:SE","SE","ENSMUSG00000025217","Btrc",108,"Regular (>50bp)",-0.135,1.08455768614005e-10
"chr19:45003292:45003392:45002984:45009825:SE","SE","ENSMUSG00000035342","Lzts2",100,"Regular (>50bp)",0.455,5.53412016750923e-05
"chr19:41928295:41928343:41928172:41929088:SE","SE","ENSMUSG00000025157","Zdhhc16",48,"Small (30-50bp)",-0.135,0.000496877625633642
"chr19:38045857:38046014:38043765:38046236:SE","SE","ENSMUSG00000024989","Cep55",157,"Regular (>50bp)",-0.124,0.034822690749331
"chr19:21757534:21757616:21756150:21770001:SE","SE","ENSMUSG00000024754","Cemip2",82,"Regular (>50bp)",0.115,0.000197172422920368
"chr19:10399120:10399252:10395406:10412913:SE","SE","ENSMUSG00000024743","Syt7",132,"Regular (>50bp)",0.118,2.46393202228475e-05
"chr19:10407701:10407824:10404031:10412913:SE","SE","ENSMUSG00000024743","Syt7",123,"Regular (>50bp)",0.13,0.0111636550323676
"chr19:6425687:6425892:6424638:6426325:SE","SE","ENSMUSG00000024949","Sf1",205,"Regular (>50bp)",-0.399,5.28990447639483e-06
"chr19:5770999:5771035:5770905:5771469:SE","SE","ENSMUSG00000024937","Ehbp1l1",36,"Small (30-50bp)",-0.13,0.0450993558037683
"chr19:5658829:5658985:5658740:5659263:SE","SE","ENSMUSG00000024926","Kat5",156,"Regular (>50bp)",-0.139,4.70464776275041e-05
"chr19:4338439:4338535:4338013:4338619:SE","SE","ENSMUSG00000024858","Grk2",96,"Regular (>50bp)",-0.157,0
"chr19:4317774:4318002:4316665:4318572:SE","SE","ENSMUSG00000034616","Ssh3",228,"Regular (>50bp)",-0.213,0.000151679272847905
"chr19:4317774:4318006:4316665:4318572:SE","SE","ENSMUSG00000034616","Ssh3",232,"Regular (>50bp)",-0.136,0.000226511019656802
"chrX:100459772:100460067:100459544:100460514:SE","SE","ENSMUSG00000031310","Zmym3",295,"Regular (>50bp)",-0.157,0
"chrX:100461878:100462558:100460936:100463303:SE","SE","ENSMUSG00000031310","Zmym3",680,"Regular (>50bp)",-0.172,0
"chrX:100462400:100462558:100460936:100463303:SE","SE","ENSMUSG00000031310","Zmym3",158,"Regular (>50bp)",-0.201,0
"chr19:4225003:4225030:4223219:4225392:SE","SE","ENSMUSG00000075289","Carns1",27,"Microexon (0-30bp)",0.185,0.0411710677011618
"chr18:88905115:88905189:88810896:88905332:SE","SE","ENSMUSG00000056153","Socs6",74,"Regular (>50bp)",0.353,7.41139779483175e-08
"chr18:67611019:67611131:67610136:67612137:SE","SE","ENSMUSG00000024530","Prelid3a",112,"Regular (>50bp)",-0.203,0.0015288687022046
"chr18:61938707:61938715:61938217:61939457:SE","SE","ENSMUSG00000032735","Ablim3",8,"Microexon (0-30bp)",-0.145,0.00680940737724422
"chr19:27960253:27960346:27878303:27988371:SE","SE","ENSMUSG00000040929","Rfx3",93,"Regular (>50bp)",0.134,0.00273950414669109
"chr18:38430518:38430628:38429851:38433481:SE","SE","ENSMUSG00000060450","Rnf14",110,"Regular (>50bp)",-0.153,0.00938677907683888
"chr18:36922209:36922337:36921317:36923186:SE","SE","ENSMUSG00000019143","Hars2",128,"Regular (>50bp)",-0.179,0.000544633605833699
"chr18:35872977:35873001:35872630:35873359:SE","SE","ENSMUSG00000024349","Sting1",24,"Microexon (0-30bp)",-0.252,0.0067723244443014
"chr18:35733097:35733170:35731812:35746375:SE","SE","ENSMUSG00000037058","Paip2",73,"Regular (>50bp)",0.236,0.00308228547105595
"chr18:35625911:35626019:35571433:35626197:SE","SE","ENSMUSG00000024357","Sil1",108,"Regular (>50bp)",-0.203,0.0235341333076469
"chr18:34592409:34592475:34590927:34595113:SE","SE","ENSMUSG00000036501","Fam13b",66,"Regular (>50bp)",0.116,0
"chr18:32563802:32563910:32562776:32565035:SE","SE","ENSMUSG00000024381","Bin1",108,"Regular (>50bp)",-0.168,5.60443015233383e-05
"chr18:6115813:6115850:6070091:6135803:SE","SE","ENSMUSG00000041225","Arhgap12",37,"Small (30-50bp)",0.116,0.0490154190451444
"chr17:66349527:66349596:66344634:66356780:SE","SE","ENSMUSG00000034647","Ankrd12",69,"Regular (>50bp)",0.138,9.80650514915959e-09
"chr17:56966528:56966581:56965151:56967170:SE","SE","ENSMUSG00000040828","Catsperd",53,"Regular (>50bp)",-0.263,0.00117353483279512
"chr17:56733386:56733504:56731977:56741452:SE","SE","ENSMUSG00000013236","Ptprs",118,"Regular (>50bp)",0.135,0
"chr17:56734790:56734817:56733504:56734938:SE","SE","ENSMUSG00000013236","Ptprs",27,"Microexon (0-30bp)",-0.124,0
"chr17:56199757:56199860:56199186:56202820:SE","SE","ENSMUSG00000003198","Zfp959",103,"Regular (>50bp)",0.291,3.9339154757188e-06
"chr17:85322836:85322863:85312994:85330459:SE","SE","ENSMUSG00000061130","Ppm1b",27,"Microexon (0-30bp)",0.145,0.00672431491383747
"chr19:35865634:35865860:35818729:35900886:SE","SE","ENSMUSG00000094707","A830019P07Rik",226,"Regular (>50bp)",0.197,4.17895702909678e-05
"chr17:46575019:46575116:46574739:46575808:SE","SE","ENSMUSG00000012296","Tjap1",97,"Regular (>50bp)",-0.127,0.000192407295570125
"chr17:46473959:46474139:46472217:46474408:SE","SE","ENSMUSG00000023952","Gtpbp2",180,"Regular (>50bp)",0.129,0.00771491931129666
"chr17:45904257:45904358:45901264:45906407:SE","SE","ENSMUSG00000023942","Slc29a1",101,"Regular (>50bp)",0.117,1.78279092179806e-05
"chr17:45904257:45904489:45903187:45910398:SE","SE","ENSMUSG00000023942","Slc29a1",232,"Regular (>50bp)",0.101,0.0290812604036087
"chr17:36431076:36431324:36430356:36431506:SE","SE","ENSMUSG00000079491","H2-T10",248,"Regular (>50bp)",-0.245,2.74560092304994e-07
"chr17:35361473:35361581:35361360:35361702:SE","SE","ENSMUSG00000024392","Bag6",108,"Regular (>50bp)",-0.147,5.77770677694356e-13
"chr17:34819324:34819351:34819111:34819468:SE","SE","ENSMUSG00000015452","Ager",27,"Microexon (0-30bp)",-0.122,0.0171914712868452
"chr17:31144491:31144651:31143628:31148910:SE","SE","ENSMUSG00000024027","Glp1r",160,"Regular (>50bp)",-0.102,0.0127620577758632
"chr17:29421828:29421879:29421542:29423662:SE","SE","ENSMUSG00000024008","Cpne5",51,"Regular (>50bp)",-0.14,0.00699309370813126
"chr17:29354788:29354879:29352786:29356952:SE","SE","ENSMUSG00000064147","Rab44",91,"Regular (>50bp)",-0.114,0.00452632616064273
"chr17:29355240:29355336:29352786:29356952:SE","SE","ENSMUSG00000064147","Rab44",96,"Regular (>50bp)",-0.126,0.000624453833887834
"chr17:29176852:29177031:29171731:29180387:SE","SE","ENSMUSG00000005936","Kctd20",179,"Regular (>50bp)",0.186,0.000310698993278985
"chr17:27562274:27562556:27561495:27562757:SE","SE","ENSMUSG00000073430","Gm10505",282,"Regular (>50bp)",-0.239,0.00187057145295122
