"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR"
"chrX:150587441:150587536:150586798:150589715:SE","SE","ENSMUSG00000025261","Huwe1",95,"Regular (>50bp)",-0.208,0.0301232350321887
"chrX:134644311:134644363:134643727:134645247:SE","SE","ENSMUSG00000043384","Gprasp1",52,"Regular (>50bp)",0.109,0.00646971334921933
"chrX:132973163:132973223:132970656:132973884:SE","SE","ENSMUSG00000031256","Cstf2",60,"Regular (>50bp)",0.19,4.26278819386534e-10
"chrX:132973163:132973223:132970656:132973962:SE","SE","ENSMUSG00000031256","Cstf2",60,"Regular (>50bp)",0.12,2.35174732283403e-05
"chrX:104433475:104433549:104431542:104435081:SE","SE","ENSMUSG00000087620","5330434G04Rik",74,"Regular (>50bp)",0.124,0.00542655501915266
"chrX:100634339:100634345:100634195:100637545:SE","SE","ENSMUSG00000031314","Taf1",6,"Microexon (0-30bp)",0.201,5.80152882256624e-11
"chrX:84619155:84619216:84617771:84637257:SE","SE","ENSMUSG00000035476","Tab3",61,"Regular (>50bp)",-0.105,0.00789784768877363
"chrX:13462924:13462942:13453204:13466595:SE","SE","ENSMUSG00000031012","Cask",18,"Microexon (0-30bp)",0.169,0
"chr19:42174058:42174079:42172628:42174243:SE","SE","ENSMUSG00000018820","Zfyve27",21,"Microexon (0-30bp)",0.131,0.0409838238074037
"chr19:41534313:41534446:41516525:41570216:SE","SE","ENSMUSG00000025019","Lcor",133,"Regular (>50bp)",-0.29,0.0138392517594589
"chr19:32237375:32237497:32137763:32266940:SE","SE","ENSMUSG00000040451","Sgms1",122,"Regular (>50bp)",0.14,0.00324301571806219
"chr19:17189655:17189694:17185693:17193689:SE","SE","ENSMUSG00000039126","Prune2",39,"Small (30-50bp)",0.113,0.0330137103152969
"chr19:17189655:17189694:17189077:17193689:SE","SE","ENSMUSG00000039126","Prune2",39,"Small (30-50bp)",0.116,0.00583089718009933
"chr19:17193689:17193737:17185693:17198147:SE","SE","ENSMUSG00000039126","Prune2",48,"Small (30-50bp)",0.118,0.0452451347637844
"chr19:5711623:5711651:5711139:5712615:SE","SE","ENSMUSG00000056917","Sipa1",28,"Microexon (0-30bp)",0.295,6.66291490053471e-05
"chr19:5711623:5711686:5711139:5712615:SE","SE","ENSMUSG00000056917","Sipa1",63,"Regular (>50bp)",0.266,0.000136639824794856
"chr18:82628729:82628811:82627600:82635834:SE","SE","ENSMUSG00000041258","Zfp236",82,"Regular (>50bp)",0.124,6.98160478013703e-05
"chr18:77099685:77099800:77098741:77134869:SE","SE","ENSMUSG00000025420","Katnal2",115,"Regular (>50bp)",0.151,0.0186055058252705
"chr18:61952059:61952158:61950040:61952861:SE","SE","ENSMUSG00000032735","Ablim3",99,"Regular (>50bp)",0.285,0.0228211594612125
"chr18:46916825:46916866:46913835:46921723:SE","SE","ENSMUSG00000024480","Ap3s1",41,"Small (30-50bp)",-0.757,0.000578400887225834
"chr18:36662739:36662789:36662382:36662925:SE","SE","ENSMUSG00000024485","Slc4a9",50,"Small (30-50bp)",0.264,0.000194381456300803
"chr18:35741790:35741872:35732811:35743923:SE","SE","ENSMUSG00000037058","Paip2",82,"Regular (>50bp)",-0.442,0.0224630764273715
"chr18:35626197:35626286:35626019:35631843:SE","SE","ENSMUSG00000024357","Sil1",89,"Regular (>50bp)",-0.151,0.00834411818933639
"chr18:34889051:34889204:34887833:34889342:SE","SE","ENSMUSG00000097755","2010110K18Rik",153,"Regular (>50bp)",-0.122,0.0100847040124153
"chr18:34889051:34889234:34887833:34889342:SE","SE","ENSMUSG00000097755","2010110K18Rik",183,"Regular (>50bp)",-0.23,0.00172429520205324
"chr18:32562752:32562776:32559405:32564723:SE","SE","ENSMUSG00000024381","Bin1",24,"Microexon (0-30bp)",0.14,0.0132226098273639
"chr18:32562752:32562776:32559405:32565035:SE","SE","ENSMUSG00000024381","Bin1",24,"Microexon (0-30bp)",0.158,0.00216435526037455
