"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI_neg","FDR_neg","dPSI_pos","FDR_pos"
"chrX:102546465:102546798:102540136:102561916:SE","SE","ENSMUSG00000097571","Jpx",333,"Regular (>50bp)",-0.242,0.000157722686902773,-0.277,0.000837240414902223
"chrX:73332534:73332625:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",91,"Regular (>50bp)",-0.351,0.00016329618048729,-0.583,0
"chrX:73332534:73332625:73332320:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",91,"Regular (>50bp)",-0.346,1.28203538694441e-10,-0.409,0
"chrX:73332589:73332625:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",36,"Small (30-50bp)",-0.365,0.000452701285271854,-0.575,0
"chrX:73332589:73332625:73332320:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",36,"Small (30-50bp)",-0.314,3.98683260318424e-10,-0.385,0
"chrX:13418611:13418680:13417221:13421116:SE","SE","ENSMUSG00000031012","Cask",69,"Regular (>50bp)",0.108,0.00985058287082485,0.134,0.000352031808409297
"chr19:45394983:45395025:45352325:45425775:SE","SE","ENSMUSG00000025217","Btrc",42,"Small (30-50bp)",0.152,0.000812282191415622,0.152,0.000417580588114848
"chr19:45394983:45395025:45352713:45444971:SE","SE","ENSMUSG00000025217","Btrc",42,"Small (30-50bp)",-0.275,6.97195304985411e-06,-0.432,2.04205695922085e-08
"chr19:41516999:41517079:41472039:41540887:SE","SE","ENSMUSG00000025019","Lcor",80,"Regular (>50bp)",0.214,0.00218961741970944,0.187,0.00443076990762749
"chr19:7318532:7318619:7268147:7319131:SE","SE","ENSMUSG00000024969","Mark2",87,"Regular (>50bp)",0.155,4.91683066458666e-05,0.229,2.76720938440938e-10
"chr18:80315676:80315730:80306768:80334790:SE","SE","ENSMUSG00000034006","Slc66a2",54,"Regular (>50bp)",-0.121,0.0273691314620483,-0.167,0.00077265808175684
"chr19:27814806:27814881:27808192:27827110:SE","SE","ENSMUSG00000040929","Rfx3",75,"Regular (>50bp)",0.122,0.00107656566006517,0.119,0.00474831131659103
"chr18:38433481:38433643:38429851:38446264:SE","SE","ENSMUSG00000060450","Rnf14",162,"Regular (>50bp)",-0.266,2.3563718668974e-05,-0.194,6.58023709806906e-05
"chr18:38440917:38441448:38429851:38446264:SE","SE","ENSMUSG00000060450","Rnf14",531,"Regular (>50bp)",-0.262,4.81587800938116e-06,-0.356,3.23092100273464e-07
"chr18:35733097:35733170:35731812:35741790:SE","SE","ENSMUSG00000037058","Paip2",73,"Regular (>50bp)",0.423,1.06160668563504e-06,0.46,4.65296209505786e-08
"chr18:35741790:35741872:35731812:35742645:SE","SE","ENSMUSG00000037058","Paip2",82,"Regular (>50bp)",-0.261,0.00583729528933631,-0.244,0.00201137869817928
"chr18:35741790:35741872:35733170:35743923:SE","SE","ENSMUSG00000037058","Paip2",82,"Regular (>50bp)",-0.309,3.17370266977382e-06,-0.291,0.000109251624230532
"chr18:35742645:35742726:35733170:35743923:SE","SE","ENSMUSG00000037058","Paip2",81,"Regular (>50bp)",-0.142,0.0387226345534778,-0.154,0.0143406848407775
"chr18:35695947:35696153:35695312:35704895:SE","SE","ENSMUSG00000037236","Matr3",206,"Regular (>50bp)",0.172,5.52786366995912e-06,0.11,7.9989984690331e-05
"chr17:74901316:74901448:74900244:74901864:SE","SE","ENSMUSG00000024073","Birc6",132,"Regular (>50bp)",-0.125,0.000266979244688921,-0.121,0.000246892324337427
"chr17:47291245:47291344:47287016:47291414:SE","SE","ENSMUSG00000023977","Ubr2",99,"Regular (>50bp)",-0.15,1.30441165076963e-05,-0.182,9.87495909085995e-09
"chr17:33321204:33321331:33311566:33321516:SE","SE","ENSMUSG00000067424","Zfp563",127,"Regular (>50bp)",0.102,0.00523025096303828,0.109,0.000151098256343276
"chr17:26153067:26153247:26150801:26153731:SE","SE","ENSMUSG00000025728","Pigq",180,"Regular (>50bp)",-0.281,0.0364954119179782,-0.276,0.0202178170726361
"chr17:31870619:31870686:31867868:31871475:SE","SE","ENSMUSG00000061613","U2af1",67,"Regular (>50bp)",0.111,6.54932274710704e-06,0.119,2.90030240115313e-07
"chr17:31871475:31871542:31870686:31877626:SE","SE","ENSMUSG00000061613","U2af1",67,"Regular (>50bp)",0.188,0.0491627460477475,0.241,0.00605468382586203
"chr16:93390134:93390220:93388191:93393185:SE","SE","ENSMUSG00000022948","Setd4",86,"Regular (>50bp)",0.142,0.000212681288948456,0.12,0.00628067002954597
"chr16:32661906:32661951:32658723:32663367:SE","SE","ENSMUSG00000035629","Rubcn",45,"Small (30-50bp)",0.329,0,0.138,0.00314166215695235
"chr16:32499723:32499813:32499625:32499969:SE","SE","ENSMUSG00000022791","Tnk2",90,"Regular (>50bp)",-0.106,4.2247188603458e-07,-0.218,0
"chr16:24261530:24261640:24212533:24275582:SE","SE","ENSMUSG00000033306","Lpp",110,"Regular (>50bp)",0.164,0.00380042718687976,0.164,0.00259210700976688
"chr16:22747824:22748059:22739245:22748382:SE","SE","ENSMUSG00000022871","Fetub",235,"Regular (>50bp)",-0.102,0.000884537230798935,-0.219,0
"chr16:20409219:20409281:20409031:20409422:SE","SE","ENSMUSG00000046613","Vwa5b2",62,"Regular (>50bp)",-0.117,0.00430703572166353,-0.141,9.98298601228234e-05
"chr16:15411554:15411622:15399071:15412323:SE","SE","ENSMUSG00000022674","Ube2v2",68,"Regular (>50bp)",0.129,0.000152305644525748,0.115,6.17216614252387e-06
"chr15:102086961:102087051:102086221:102087215:SE","SE","ENSMUSG00000023044","Csad",90,"Regular (>50bp)",-0.112,0.00536438412659678,-0.304,9.98763361577042e-13
"chr15:99541273:99541404:99540852:99549387:SE","SE","ENSMUSG00000023015","Racgap1",131,"Regular (>50bp)",-0.147,1.11848013901345e-10,-0.165,0
"chr15:83962969:83963098:83961783:83964387:SE","SE","ENSMUSG00000018865","Sult4a1",129,"Regular (>50bp)",0.201,0,0.167,2.69343925895728e-12
"chr15:75946455:75946506:75944417:75947390:SE","SE","ENSMUSG00000002524","Puf60",51,"Regular (>50bp)",0.103,1.15926029246631e-07,0.168,0
"chr15:75921305:75921389:75921150:75921898:SE","SE","ENSMUSG00000022568","Scrib",84,"Regular (>50bp)",-0.132,2.11757429750358e-07,-0.22,0
"chr15:61978972:61979314:61910050:62114022:SE","SE","ENSMUSG00000097039","Pvt1",342,"Regular (>50bp)",-0.211,0.000722167580853768,-0.123,0.0306070663023369
"chr14:61861881:61861931:61841255:61862668:SE","SE","ENSMUSG00000097589","Dleu2",50,"Small (30-50bp)",-0.164,0.0427466608636049,-0.206,0.0181912535502611
"chr14:52242335:52242356:52242199:52242445:SE","SE","ENSMUSG00000004562","Arhgef40",21,"Microexon (0-30bp)",-0.176,0.00878694833148361,-0.167,0.0190484496052214
"chr14:52126603:52126854:52126293:52126984:SE","SE","ENSMUSG00000004561","Mettl17",251,"Regular (>50bp)",-0.157,0.00256657518443105,-0.164,0.0101770932992758
"chr14:47963385:47963457:47962427:47963682:SE","SE","ENSMUSG00000021843","Ktn1",72,"Regular (>50bp)",-0.143,7.46915729597831e-08,-0.278,0
"chr14:45860297:45860399:45858297:45866310:SE","SE","ENSMUSG00000037697","Ddhd1",102,"Regular (>50bp)",0.134,0.00534608001040081,0.202,9.08505595997864e-08
"chr14:45860297:45860399:45858297:45867036:SE","SE","ENSMUSG00000037697","Ddhd1",102,"Regular (>50bp)",0.208,1.51614692199789e-08,0.229,1.00094948310059e-07
"chr14:24252365:24252434:24243022:24295214:SE","SE","ENSMUSG00000021782","Dlg5",69,"Regular (>50bp)",0.159,0.00869172600910798,0.2,3.21301936253784e-05
"chr13:111584429:111584489:111577350:111585466:SE","SE","ENSMUSG00000032745","Gpbp1",60,"Regular (>50bp)",0.147,1.12980666838728e-10,0.152,5.0053279788322e-12
"chr13:107106211:107106325:107105296:107111002:SE","SE","ENSMUSG00000021693","Kif2a",114,"Regular (>50bp)",-0.145,3.44348512967576e-06,-0.183,6.10355387630414e-14
"chr13:103966695:103966839:103964531:103970005:SE","SE","ENSMUSG00000021709","Erbin",144,"Regular (>50bp)",-0.157,3.67696787739001e-08,-0.191,3.30970954966116e-13
"chr13:104022648:104022846:104005406:104056753:SE","SE","ENSMUSG00000021709","Erbin",198,"Regular (>50bp)",-0.455,5.1330431071284e-06,-0.493,1.9817333954181e-05
"chr13:103900803:103900927:103900514:103905824:SE","SE","ENSMUSG00000032621","Srek1",124,"Regular (>50bp)",0.134,5.42052117477125e-11,0.131,2.96533741839348e-11
"chr13:74731765:74731992:74729359:74739390:SE","SE","ENSMUSG00000113204","Gm46430",227,"Regular (>50bp)",-0.38,0.0223443114583391,-0.324,0.0498277729635883
"chr13:64445068:64445200:64423670:64456635:SE","SE","ENSMUSG00000021482","Prxl2c",132,"Regular (>50bp)",0.127,0.00371690750469796,0.164,3.19801903985779e-06
"chr13:64349145:64349262:64344489:64353084:SE","SE","ENSMUSG00000033102","Cdc14b",117,"Regular (>50bp)",0.53,0.00665417757844717,0.535,0.000208947045737529
"chr13:55712332:55712393:55704038:55718587:SE","SE","ENSMUSG00000021495","Fam193b",61,"Regular (>50bp)",-0.11,0.0136010293468498,-0.166,3.52706147381082e-05
"chr19:45018178:45018250:45017762:45018418:SE","SE","ENSMUSG00000074818","Pdzd7",72,"Regular (>50bp)",0.109,0.000293312964848174,0.109,0.000260824319092781
"chr17:32305003:32305082:32303066:32306732:SE","SE","ENSMUSG00000121449","Pdxk-ps",79,"Regular (>50bp)",-0.243,9.5615601370151e-05,-0.306,4.0476382504492e-07
"chr13:35083297:35083438:35083206:35083813:SE","SE","ENSMUSG00000021413","Prpf4b",141,"Regular (>50bp)",-0.234,2.53480687567769e-10,-0.31,0
"chr16:20553611:20553719:20553523:20553866:SE","SE","ENSMUSG00000006958","Chrd",108,"Regular (>50bp)",-0.358,0.0326751206765193,-0.449,2.13768804346231e-06
"chr13:21633443:21633503:21632064:21633610:SE","SE","ENSMUSG00000022228","Zscan26",60,"Regular (>50bp)",-0.195,0.00098798154981665,-0.256,1.06510101077711e-05
"chr12:111760082:111760133:111755893:111760770:SE","SE","ENSMUSG00000021288","Klc1",51,"Regular (>50bp)",0.126,4.04143840633022e-06,0.211,0
"chr12:111760082:111760133:111755920:111760770:SE","SE","ENSMUSG00000021288","Klc1",51,"Regular (>50bp)",0.104,3.23366448185663e-05,0.15,2.69343925895728e-12
"chr12:110444793:110445057:110443435:110450469:SE","SE","ENSMUSG00000113585","Gm19605",264,"Regular (>50bp)",0.349,0.000271108393066682,0.351,0.00085302931527466
"chr12:109515725:109515806:109512425:109515913:SE","SE","ENSMUSG00000021268","Meg3",81,"Regular (>50bp)",-0.232,0.0279414616501824,-0.331,0.0195073445336856
"chr15:58819174:58819369:58817868:58823318:SE","SE","ENSMUSG00000022353","Mtss1",195,"Regular (>50bp)",0.177,7.8969694359759e-10,0.124,0.000251059822237387
"chr12:87202246:87202343:87194282:87204666:SE","SE","ENSMUSG00000021033","Gstz1",97,"Regular (>50bp)",0.142,0.00103957699411304,0.108,0.0133010555962245
"chr12:85890719:85890772:85890634:85892020:SE","SE","ENSMUSG00000012609","Ttll5",53,"Regular (>50bp)",-0.119,0.0001263137649096,-0.144,2.09091554847252e-08
"chr12:73390442:73390522:73388534:73391566:SE","SE","ENSMUSG00000044712","Slc38a6",80,"Regular (>50bp)",0.319,0.0025309142595526,0.309,0.0128915895662323
"chr12:69772228:69772328:69771788:69784724:SE","SE","ENSMUSG00000054894","Dmac2l",100,"Regular (>50bp)",0.126,0.0190657268400384,0.11,0.000336218499461787
"chr12:25090454:25090568:25088549:25101093:SE","SE","ENSMUSG00000036333","Kidins220",114,"Regular (>50bp)",0.144,1.89993419291157e-05,0.152,2.95362368420932e-06
"chr12:17047496:17047704:17045645:17047774:SE","SE","ENSMUSG00000045679","Pqlc3",208,"Regular (>50bp)",-0.234,0.000894816080795114,-0.291,4.63002303079279e-05
"chr12:3824569:3824610:3823640:3829618:SE","SE","ENSMUSG00000071454","Dtnb",41,"Small (30-50bp)",-0.187,3.98457234897981e-05,-0.202,4.03815502687876e-06
"chr11:120959860:120959914:120959672:120960413:SE","SE","ENSMUSG00000025165","Sectm1a",54,"Regular (>50bp)",0.276,3.3470602441056e-05,0.379,1.24374305404046e-12
"chr11:120844999:120845094:120839976:120846051:SE","SE","ENSMUSG00000025161","Slc16a3",95,"Regular (>50bp)",0.118,2.28682319126952e-06,0.133,1.46824664266279e-08
"chr11:120509974:120510116:120509875:120510508:SE","SE","ENSMUSG00000025138","Sirt7",142,"Regular (>50bp)",-0.221,7.33897502342802e-06,-0.255,7.89935249579501e-05
"chr11:120509974:120510116:120509875:120510988:SE","SE","ENSMUSG00000025138","Sirt7",142,"Regular (>50bp)",-0.197,5.80152882256624e-11,-0.256,0
"chr11:120503671:120503909:120503427:120504204:SE","SE","ENSMUSG00000025137","Pcyt2",238,"Regular (>50bp)",-0.138,3.88207186786632e-06,-0.231,0
"chr17:46505127:46505342:46501702:46509559:SE","SE","ENSMUSG00000023953","Polh",215,"Regular (>50bp)",-0.176,8.32944792351792e-09,-0.177,4.42377117596674e-11
"chr11:115051263:115051340:115051181:115051460:SE","SE","ENSMUSG00000020732","Rab37",77,"Regular (>50bp)",-0.178,0.000132455907333545,-0.132,3.87278373001197e-05
"chr11:104185684:104185750:104173306:104193186:SE","SE","ENSMUSG00000018411","Mapt",66,"Regular (>50bp)",0.143,3.9257019947339e-05,0.203,6.61711795217488e-09
"chr11:104189323:104190082:104185750:104193186:SE","SE","ENSMUSG00000018411","Mapt",759,"Regular (>50bp)",-0.237,0,-0.205,2.74854030387874e-12
"chr11:104189371:104190082:104185750:104193186:SE","SE","ENSMUSG00000018411","Mapt",711,"Regular (>50bp)",-0.208,2.59888001530519e-13,-0.167,1.84068639137306e-06
