"VastDB.ID","paper_gene","paper_length","match_type","n_candidates","selected","rmats_ID","geneSymbol","chr","exonStart_0base","exonEnd","exon_size","strand","IncLevelDifference","FDR"
"MmuEX0000049","0610010K14Rik",95,"gene_size_contained",3,FALSE,62171,"0610010K14Rik","chr11",70127713,70127804,91,"-",-0.076,0.227085695885325
"MmuEX0000049","0610010K14Rik",95,"gene_size_contained",3,FALSE,62172,"0610010K14Rik","chr11",70127713,70127804,91,"-",-0.159,3.06102830770282e-11
"MmuEX0000049","0610010K14Rik",95,"gene_size_contained",3,TRUE,62173,"0610010K14Rik","chr11",70128356,70128451,95,"-",0,1
"MmuEX0000051","0610010K14Rik",102,"gene_size_contained",3,FALSE,62168,"0610010K14Rik","chr11",70126521,70126626,105,"-",-0.021,1
"MmuEX0000051","0610010K14Rik",102,"gene_size_contained",3,FALSE,62169,"0610010K14Rik","chr11",70126521,70126626,105,"-",-0.015,1
"MmuEX0000051","0610010K14Rik",102,"gene_size_contained",3,TRUE,62170,"0610010K14Rik","chr11",70127702,70127804,102,"-",-0.11,1.12053770842233e-10
"MmuEX0000082","1110004F10Rik",192,"gene_size",2,TRUE,59632,"1110004F10Rik","chr7",115696996,115697188,192,"+",0.037,0.732391299424739
"MmuEX0000082","1110004F10Rik",192,"gene_size",2,FALSE,59633,"1110004F10Rik","chr7",115696996,115697188,192,"+",0.001,1
"MmuEX0000269","1500009L16Rik",25,"gene_size",2,TRUE,24842,"1500009L16Rik","chr10",83573772,83573797,25,"+",0.006,1
"MmuEX0000269","1500009L16Rik",25,"gene_size",2,FALSE,24843,"1500009L16Rik","chr10",83573772,83573797,25,"+",0.005,1
"MmuEX0000308","1600020E01Rik",198,"gene_size",2,FALSE,16273,"1600020E01Rik","chr6",86527898,86528096,198,"+",-0.01,0.347103996216843
"MmuEX0000308","1600020E01Rik",198,"gene_size",2,TRUE,16274,"1600020E01Rik","chr6",86527898,86528096,198,"+",0.022,1
"MmuEX0000475","1700025G04Rik",223,"gene_size",2,TRUE,30168,"1700025G04Rik","chr1",151882295,151882518,223,"-",-0.004,1
"MmuEX0000475","1700025G04Rik",223,"gene_size",2,FALSE,30169,"1700025G04Rik","chr1",151882295,151882518,223,"-",0.001,1
"MmuEX0000546","1700037H04Rik",138,"gene_size_contained",4,FALSE,30402,"1700037H04Rik","chr2",130993537,130993676,139,"-",0.001,1
"MmuEX0000546","1700037H04Rik",138,"gene_size_contained",4,FALSE,30403,"1700037H04Rik","chr2",130993537,130993680,143,"-",0.001,1
"MmuEX0000546","1700037H04Rik",138,"gene_size_contained",4,FALSE,30404,"1700037H04Rik","chr2",130993537,130993680,143,"-",0.004,1
"MmuEX0000546","1700037H04Rik",138,"gene_size_contained",4,TRUE,30408,"1700037H04Rik","chr2",130997561,130997699,138,"-",0.009,0.101183458270815
"MmuEX0000547","1700037H04Rik",117,"gene_size",2,TRUE,30406,"1700037H04Rik","chr2",130995513,130995630,117,"-",0.008,1
"MmuEX0000547","1700037H04Rik",117,"gene_size",2,FALSE,30407,"1700037H04Rik","chr2",130995513,130995630,117,"-",0.001,1
"MmuEX0000548","1700037H04Rik",139,"gene_size_contained",4,FALSE,30402,"1700037H04Rik","chr2",130993537,130993676,139,"-",0.001,1
"MmuEX0000548","1700037H04Rik",139,"gene_size_contained",4,FALSE,30403,"1700037H04Rik","chr2",130993537,130993680,143,"-",0.001,1
"MmuEX0000548","1700037H04Rik",139,"gene_size_contained",4,TRUE,30404,"1700037H04Rik","chr2",130993537,130993680,143,"-",0.004,1
"MmuEX0000548","1700037H04Rik",139,"gene_size_contained",4,FALSE,30408,"1700037H04Rik","chr2",130997561,130997699,138,"-",0.009,0.101183458270815
"MmuEX0000599","1700086O06Rik",179,"gene_size",6,FALSE,53485,"1700086O06Rik","chr18",38372625,38372804,179,"-",0.028,1
"MmuEX0000599","1700086O06Rik",179,"gene_size",6,FALSE,53486,"1700086O06Rik","chr18",38372625,38372804,179,"-",0.021,1
"MmuEX0000599","1700086O06Rik",179,"gene_size",6,FALSE,53488,"1700086O06Rik","chr18",38372625,38372804,179,"-",-0.018,1
"MmuEX0000599","1700086O06Rik",179,"gene_size",6,FALSE,53490,"1700086O06Rik","chr18",38372625,38372804,179,"-",0.014,1
"MmuEX0000599","1700086O06Rik",179,"gene_size",6,FALSE,53491,"1700086O06Rik","chr18",38372625,38372804,179,"-",-0.25,0.0187567110992075
"MmuEX0000599","1700086O06Rik",179,"gene_size",6,TRUE,53492,"1700086O06Rik","chr18",38372625,38372804,179,"-",0.557,0.0310244379012248
"MmuEX0000602","1700088E04Rik",63,"gene_size",3,FALSE,25455,"1700088E04Rik","chr15",79023437,79023500,63,"-",-0.02,1
"MmuEX0000602","1700088E04Rik",63,"gene_size",3,TRUE,25456,"1700088E04Rik","chr15",79023437,79023500,63,"-",-0.037,1
"MmuEX0000602","1700088E04Rik",63,"gene_size",3,FALSE,25457,"1700088E04Rik","chr15",79023437,79023500,63,"-",0.009,1
"MmuEX0000604","1700088E04Rik",183,"gene_size",3,FALSE,25452,"1700088E04Rik","chr15",79020506,79020689,183,"-",-0.057,0.100972502826943
"MmuEX0000604","1700088E04Rik",183,"gene_size",3,FALSE,25453,"1700088E04Rik","chr15",79020506,79020689,183,"-",-0.25,1
"MmuEX0000604","1700088E04Rik",183,"gene_size",3,TRUE,25454,"1700088E04Rik","chr15",79020506,79020689,183,"-",-0.268,1
"MmuEX0000670","1810030O07Rik",180,"gene_size",2,FALSE,9080,"1810030O07Rik","chrX",12528888,12529068,180,"-",0.003,1
