"GeneID","geneSymbol","n_neg_excl_microexons","microexon_coords","mean_dPSI","dPSI_values"
"ENSMUSG00000020300","Cpeb4",2,"chr11:31868800-31868824; chr11:31868800-31868824",0.134,"0.103; 0.164"
"ENSMUSG00000024381","Bin1",2,"chr18:32562752-32562776; chr18:32562752-32562776",0.149,"0.14; 0.158"
"ENSMUSG00000028078","Dclk2",2,"chr3:86695928-86695941; chr3:86695928-86695941",0.118,"0.13; 0.107"
"ENSMUSG00000028524","Sgip1",2,"chr4:102757722-102757734; chr4:102762761-102762773",0.314,"0.461; 0.167"
"ENSMUSG00000029462","Vps29",2,"chr5:122494856-122494868; chr5:122494856-122494868",0.138,"0.112; 0.163"
"ENSMUSG00000031561","Tenm3",2,"chr8:48740167-48740188; chr8:48766272-48766299",0.198,"0.191; 0.204"
"ENSMUSG00000031865","Dctn1",2,"chr6:83160917-83160938; chr6:83164745-83164766",0.062,"0.262; -0.137"
"ENSMUSG00000069601","Ank3",2,"chr10:69765276-69765288; chr10:69816653-69816680",0.219,"0.251; 0.187"
"ENSMUSG00000000827","Tpd52l2",1,"chr2:181152296-181152323",0.106,"0.106"
"ENSMUSG00000001248","Gramd1a",1,"chr7:30832644-30832656",0.183,"0.183"
"ENSMUSG00000003810","Mast2",1,"chr4:116190609-116190630",0.248,"0.248"
"ENSMUSG00000003863","Ppfia3",1,"chr7:44992976-44993003",0.239,"0.239"
"ENSMUSG00000005881","Ergic3",1,"chr2:155857296-155857311",0.169,"0.169"
"ENSMUSG00000009079","Ewsr1",1,"chr11:5041459-5041477",0.222,"0.222"
"ENSMUSG00000018820","Zfyve27",1,"chr19:42174058-42174079",0.131,"0.131"
"ENSMUSG00000020231","Dip2a",1,"chr10:76107209-76107239",0.168,"0.168"
"ENSMUSG00000020859","Spag9",1,"chr11:93970024-93970036",0.196,"0.196"
"ENSMUSG00000021427","Ssr1",1,"chr13:38167070-38167085",0.156,"0.156"
"ENSMUSG00000022329","Stk3",1,"chr15:35115083-35115104",0.135,"0.135"
"ENSMUSG00000022623","Shank3",1,"chr15:89422217-89422241",0.129,"0.129"
"ENSMUSG00000022635","Zcrb1",1,"chr15:93293467-93293496",-0.163,"-0.163"
"ENSMUSG00000022770","Dlg1",1,"chr16:31673485-31673506",-0.104,"-0.104"
"ENSMUSG00000024163","Mapk8ip3",1,"chr17:25127384-25127402",0.149,"0.149"
"ENSMUSG00000024273","2700062C07Rik",1,"chr18:24604118-24604141",-0.102,"-0.102"
"ENSMUSG00000024603","Dctn4",1,"chr18:60678428-60678449",0.164,"0.164"
"ENSMUSG00000024908","Ppp6r3",1,"chr19:3509746-3509764",0.211,"0.211"
"ENSMUSG00000024983","Vti1a",1,"chr19:55375620-55375641",0.293,"0.293"
"ENSMUSG00000025006","Sorbs1",1,"chr19:40371199-40371226",0.149,"0.149"
"ENSMUSG00000026113","Inpp4a",1,"chr1:37413355-37413370",0.181,"0.181"
"ENSMUSG00000026860","Sh3glb2",1,"chr2:30239237-30239249",0.228,"0.228"
"ENSMUSG00000026977","Marchf7",1,"chr2:60077831-60077856",0.187,"0.187"
"ENSMUSG00000027506","Tpd52",1,"chr3:9008610-9008637",0.314,"0.314"
"ENSMUSG00000027523","Gnas",1,"chr2:174169900-174169924",0.15,"0.15"
"ENSMUSG00000027646","Src",1,"chr2:157300762-157300780",0.119,"0.119"
"ENSMUSG00000027799","Nbea",1,"chr3:55901468-55901477",0.201,"0.201"
"ENSMUSG00000028033","Kcnq5",1,"chr1:21536606-21536633",0.353,"0.353"
"ENSMUSG00000028184","Adgrl2",1,"chr3:148532847-148532874",0.203,"0.203"
"ENSMUSG00000029055","Plch2",1,"chr4:155069822-155069849",0.144,"0.144"
"ENSMUSG00000029148","Nrbp1",1,"chr5:31403665-31403689",0.114,"0.114"
"ENSMUSG00000030172","Erc1",1,"chr6:119711041-119711053",0.163,"0.163"
"ENSMUSG00000031012","Cask",1,"chrX:13462924-13462942",0.169,"0.169"
"ENSMUSG00000031314","Taf1",1,"chrX:100634339-100634345",0.201,"0.201"
"ENSMUSG00000032570","Atp2c1",1,"chr9:105370741-105370753",0.168,"0.168"
"ENSMUSG00000032826","Ank2",1,"chr3:126772904-126772916",0.138,"0.138"
