"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR","significant","direction"
"chrX:73332267:73332320:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",53,"Regular (>50bp)",-0.184,2.0346835167399e-08,TRUE,"Exclusion (dPSI < 0)"
"chrX:73332534:73332625:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",91,"Regular (>50bp)",-0.583,0,TRUE,"Exclusion (dPSI < 0)"
"chrX:73332534:73332625:73332320:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",91,"Regular (>50bp)",-0.409,0,TRUE,"Exclusion (dPSI < 0)"
"chrX:73332589:73332625:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",36,"Small (30-50bp)",-0.575,0,TRUE,"Exclusion (dPSI < 0)"
"chrX:73332589:73332625:73332320:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",36,"Small (30-50bp)",-0.385,0,TRUE,"Exclusion (dPSI < 0)"
"chrX:13418611:13418680:13417221:13421116:SE","SE","ENSMUSG00000031012","Cask",69,"Regular (>50bp)",0.134,0.000352031808409297,TRUE,"Inclusion (dPSI > 0)"
"chr19:45394983:45395025:45352325:45425775:SE","SE","ENSMUSG00000025217","Btrc",42,"Small (30-50bp)",0.152,0.000417580588114848,TRUE,"Inclusion (dPSI > 0)"
"chr19:45394983:45395025:45352713:45444971:SE","SE","ENSMUSG00000025217","Btrc",42,"Small (30-50bp)",-0.432,2.04205695922085e-08,TRUE,"Exclusion (dPSI < 0)"
"chr19:45411571:45411679:45352713:45444971:SE","SE","ENSMUSG00000025217","Btrc",108,"Regular (>50bp)",-0.135,1.08455768614005e-10,TRUE,"Exclusion (dPSI < 0)"
"chr18:32563802:32563910:32562776:32565035:SE","SE","ENSMUSG00000024381","Bin1",108,"Regular (>50bp)",-0.168,5.60443015233383e-05,TRUE,"Exclusion (dPSI < 0)"
"chr16:32661906:32661951:32658723:32663367:SE","SE","ENSMUSG00000035629","Rubcn",45,"Small (30-50bp)",0.138,0.00314166215695235,TRUE,"Inclusion (dPSI > 0)"
"chr14:61861881:61861931:61841255:61862668:SE","SE","ENSMUSG00000097589","Dleu2",50,"Small (30-50bp)",-0.206,0.0181912535502611,TRUE,"Exclusion (dPSI < 0)"
"chr14:52242335:52242356:52242199:52242445:SE","SE","ENSMUSG00000004562","Arhgef40",21,"Microexon (0-30bp)",-0.167,0.0190484496052214,TRUE,"Exclusion (dPSI < 0)"
"chr14:45860297:45860399:45858297:45866310:SE","SE","ENSMUSG00000037697","Ddhd1",102,"Regular (>50bp)",0.202,9.08505595997864e-08,TRUE,"Inclusion (dPSI > 0)"
"chr14:45860297:45860399:45858297:45867036:SE","SE","ENSMUSG00000037697","Ddhd1",102,"Regular (>50bp)",0.229,1.00094948310059e-07,TRUE,"Inclusion (dPSI > 0)"
"chr12:3824569:3824610:3823640:3829618:SE","SE","ENSMUSG00000071454","Dtnb",41,"Small (30-50bp)",-0.202,4.03815502687876e-06,TRUE,"Exclusion (dPSI < 0)"
"chr11:106071780:106071809:106064607:106075387:SE","SE","ENSMUSG00000069631","Strada",29,"Microexon (0-30bp)",-0.143,0,TRUE,"Exclusion (dPSI < 0)"
"chr11:106071780:106071809:106064607:106077926:SE","SE","ENSMUSG00000069631","Strada",29,"Microexon (0-30bp)",-0.172,3.707656846415e-07,TRUE,"Exclusion (dPSI < 0)"
"chr11:97382469:97382492:97382056:97383876:SE","SE","ENSMUSG00000049807","Arhgap23",23,"Microexon (0-30bp)",0.109,0.00137006976834466,TRUE,"Inclusion (dPSI > 0)"
"chr11:85712847:85712938:85692778:85716027:SE","SE","ENSMUSG00000059439","Bcas3",91,"Regular (>50bp)",0.231,0.000365430890238214,TRUE,"Inclusion (dPSI > 0)"
"chr6:30242536:30242576:30221795:30260927:SE","SE","ENSMUSG00000039159","Ube2h",40,"Small (30-50bp)",0.147,0.000615747366875657,TRUE,"Inclusion (dPSI > 0)"
"chr6:25798007:25798054:25794673:25805873:SE","SE","ENSMUSG00000029676","Pot1a",47,"Small (30-50bp)",-0.194,0.000954664579666743,TRUE,"Exclusion (dPSI < 0)"
"chr1:162501667:162501720:162501225:162504259:SE","SE","ENSMUSG00000040225","Prrc2c",53,"Regular (>50bp)",-0.214,2.48775309361347e-07,TRUE,"Exclusion (dPSI < 0)"
