"metric","value"
"group_name","group2_neg_micro_small"
"group_label","Microexon + Small SE (0-50bp)"
"total_genes","195"
"genes_with_sig_pos_events","105"
"genes_without_sig_pos_events","90"
"pct_genes_with_sig_pos","53.8"
"pos_total_sig_events","198"
"pos_sig_SE","147"
"pos_sig_A3SS","10"
"pos_sig_A5SS","10"
"pos_sig_MXE","21"
"pos_sig_RI","10"
"pos_sig_microexon","35"
"pos_sig_small","58"
"pos_sig_regular","54"
"pos_sig_inclusion","91"
"pos_sig_exclusion","107"
"neg_total_sig_events","310"
"neg_sig_SE","271"
"neg_sig_A3SS","5"
"neg_sig_A5SS","8"
"neg_sig_MXE","19"
"neg_sig_RI","7"
"neg_sig_microexon","110"
"neg_sig_small","119"
"neg_sig_regular","42"
"neg_sig_inclusion","226"
"neg_sig_exclusion","84"
