ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
25	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331945	73332053	73332119
30	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72833964	72834030
34	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258846	72258961
83	"ENSMUSG00000024740"	"Ddb1"	chr19	+	10604489	10605228	10604489	10604599	10605125	10605228
96	"ENSMUSG00000042729"	"Wdr74"	chr19	+	8715017	8715618	8715017	8715093	8715516	8715618
99	"ENSMUSG00000024764"	"Naa40"	chr19	-	7207086	7207648	7207086	7207170	7207552	7207648
150	"ENSMUSG00000044906"	"4930503L19Rik"	chr18	-	70600405	70601588	70600405	70600556	70601124	70601588
165	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074005	38074819	38074005	38074163	38074760	38074819
183	"ENSMUSG00000024404"	"Riok3"	chr18	+	12268908	12270092	12268908	12269024	12269984	12270092
209	"ENSMUSG00000007603"	"Dus3l"	chr17	+	57075347	57075902	57075347	57075413	57075805	57075902
215	"ENSMUSG00000019578"	"Ubxn6"	chr17	-	56376690	56377985	56376690	56376775	56377887	56377985
216	"ENSMUSG00000002835"	"Chaf1a"	chr17	+	56370327	56372425	56370327	56370420	56371973	56372425
235	"ENSMUSG00000023938"	"Aars2"	chr17	+	45830438	45831769	45830438	45830522	45831211	45831769
270	"ENSMUSG00000024325"	"Ring1"	chr17	-	34240656	34242168	34240656	34240930	34241952	34242168
286	"ENSMUSG00000024045"	"Akap8"	chr17	-	32534628	32537783	32534628	32534758	32537744	32537783
302	"ENSMUSG00000071172"	"Srsf3"	chr17	+	29257463	29260267	29257463	29257598	29260180	29260267
319	"ENSMUSG00000024186"	"Rgs11"	chr17	+	26422435	26423357	26422435	26422486	26423305	26423357
347	"ENSMUSG00000061046"	"Haghl"	chr17	-	26003048	26003546	26003048	26003152	26003428	26003546
358	"ENSMUSG00000052752"	"Traf7"	chr17	-	24728929	24729546	24728929	24729049	24729429	24729546
433	"ENSMUSG00000022843"	"Clcn2"	chr16	-	20526322	20526941	20526322	20526382	20526826	20526941
438	"ENSMUSG00000002833"	"Hdgfl2"	chr17	+	56403204	56404163	56403204	56403276	56404087	56404163
