ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	54720	54867
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	55111	55701
2	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	52189	52367	55111	55701
3	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	53535	54479	55111	55701
4	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	55111	55701	53535	54479	59591	59667
5	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	58563	58835
6	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	59591	59667
7	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	55111	55701	59591	59667
8	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	56985	57151	59591	59667
9	"ENSMUSG00000094337"	"ENSMUSG00000094337"	chrGL456354.1	-	84520	85111	82992	83560	85764	86051
10	"ENSMUSG00000099619"	"Gm28300"	chrY	-	90615366	90615551	90614769	90614838	90616278	90616460
11	"ENSMUSG00000100533"	"Gm29504"	chrY	+	90287989	90288174	90287080	90287262	90288701	90288770
12	"ENSMUSG00000100492"	"Gm28672"	chrY	+	89235374	89235558	89234459	89234645	89236084	89236565
13	"ENSMUSG00000101931"	"Gm28108"	chrY	+	87723272	87723456	87722357	87722543	87723982	87724471
14	"ENSMUSG00000100887"	"Gm29297"	chrY	+	86779369	86779553	86778455	86778641	86780079	86780568
15	"ENSMUSG00000102110"	"Gm28440"	chrY	+	86553513	86553697	86552599	86552785	86554224	86554713
16	"ENSMUSG00000099824"	"Gm28218"	chrY	+	86232650	86232834	86231735	86231921	86233360	86233850
17	"ENSMUSG00000101961"	"Gm28220"	chrY	+	86013069	86013253	86012153	86012339	86013779	86014268
18	"ENSMUSG00000100531"	"Gm28475"	chrY	+	84270947	84271131	84270032	84270218	84271657	84272146
19	"ENSMUSG00000100407"	"Gm28472"	chrY	+	84048500	84048684	84047585	84047771	84049211	84049700
20	"ENSMUSG00000099480"	"Gm28124"	chrY	+	81923997	81924181	81923082	81923268	81924708	81925197
21	"ENSMUSG00000102016"	"Gm29606"	chrY	+	79786315	79786499	79785357	79785585	79787025	79787514
22	"ENSMUSG00000099636"	"Gm28422"	chrY	+	79270802	79270986	79269887	79270073	79271525	79272014
23	"ENSMUSG00000101804"	"Gm28813"	chrY	+	78941102	78941286	78940187	78940373	78941813	78942302
