ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205699	163205579	163205660	163210927	163211060	5	18,36,33	2,2,4	7,22,27	1,5,5	188	149	0.118006855481	0.4650100239645716	0.877,0.934,0.867	0.847,0.777,0.811	0.081
6	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163205982	163205579	163205660	163210927	163211060	6	590,665,655	2,2,4	388,620,521	1,5,5	471	149	0.243862229363	0.7628330045680741	0.989,0.991,0.981	0.992,0.975,0.971	0.008
7	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205660	163210927	163211060	7	835,934,949	2,2,4	557,852,674	1,5,5	848	149	0.209161615796	0.6901908196032643	0.987,0.988,0.977	0.99,0.968,0.959	0.012
8	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205660	163210927	163211060	8	827,933,924	2,2,4	592,867,681	1,5,5	1157	149	0.234837200247	0.7461021420763297	0.982,0.984,0.967	0.987,0.957,0.946	0.014
12	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206359	163205579	163205982	163210927	163211060	12	268,297,334	23,28,40	205,284,178	36,52,25	526	149	0.00241861745353	0.0320540851902527	0.767,0.75,0.703	0.617,0.607,0.669	0.109
13	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163205982	163210927	163211060	13	260,296,309	23,28,40	240,299,185	36,52,25	835	149	0.0234475624537	0.15537599038196714	0.669,0.654,0.58	0.543,0.506,0.569	0.095
14	"ENSMUSG00000031381"	"Piga"	chrX	+	163205579	163206668	163205579	163206359	163210927	163211060	14	34,63,41	42,64,66	56,47,35	21,32,28	458	149	0.00133870256628	0.021843051420659097	0.208,0.243,0.168	0.465,0.323,0.289	-0.153
15	"ENSMUSG00000031295"	"Phka2"	chrX	+	159369774	159369950	159369774	159369945	159371960	159372014	15	10,7,8	108,143,151	13,19,14	107,208,130	154	149	0.0417646861453	0.23381023433411915	0.082,0.045,0.049	0.105,0.081,0.094	-0.035
16	"ENSMUSG00000025283"	"Sat1"	chrX	-	153998115	153998680	153998596	153998680	153997028	153997130	16	144,186,209	597,739,825	141,197,125	897,839,861	630	149	0.00160640711052	0.024956956401236553	0.054,0.056,0.057	0.036,0.053,0.033	0.015
17	"ENSMUSG00000041115"	"Iqsec2"	chrX	+	150999336	150999462	150999336	150999435	151001872	151001972	17	68,93,103	2,0,0	88,99,84	0,0,0	176	149	1	1.0	0.966,1.0,1.0	1.0,1.0,1.0	-0.011
18	"ENSMUSG00000041245"	"Wnk3"	chrX	+	150019529	150019723	150019529	150019630	150019888	150020032	18	0,2,0	49,23,43	0,0,0	29,12,26	242	149	1	1.0	0.0,0.051,0.0	0.0,0.0,0.0	0.017
19	"ENSMUSG00000041245"	"Wnk3"	chrX	+	150076805	150077037	150076805	150076896	150077417	150077548	19	2,15,8	25,28,26	12,6,26	29,11,27	290	149	0.0265472424405	0.16871632208381437	0.039,0.216,0.137	0.175,0.219,0.331	-0.111
20	"ENSMUSG00000031433"	"Rbm41"	chrX	-	138895860	138895977	138895921	138895977	138894660	138894853	20	199,267,289	2,0,9	126,281,210	0,0,0	210	149	0.346983169543	0.9420186885502684	0.986,1.0,0.958	1.0,1.0,1.0	-0.019
26	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619668	133619857	133619668	133619741	133620375	133620474	26	8,7,5	18,0,5	12,20,8	6,10,3	265	149	0.70637944023	1.0	0.2,1.0,0.36	0.529,0.529,0.6	-0.033
30	"ENSMUSG00000025597"	"Klhl4"	chrX	+	113452698	113452885	113452698	113452867	113459049	113459274	30	3,1,1	2,3,5	0,3,0	2,3,8	167	149	0.0901024786923	0.39008366441853076	0.572,0.229,0.151	0.0,0.472,0.0	0.16
31	"ENSMUSG00000025592"	"Dach2"	chrX	+	112724539	112724718	112724539	112724688	112724813	112724961	31	5,8,11	31,26,24	5,4,8	36,63,16	179	149	0.122638144089	0.47861304550118156	0.118,0.204,0.276	0.104,0.05,0.294	0.05
34	"ENSMUSG00000097571"	"Jpx"	chrX	+	102546465	102546798	102546465	102546536	102561916	102561963	34	18,42,38	0,1,4	43,55,23	1,0,2	411	149	0.157425774149	0.5644632524843234	1.0,0.938,0.775	0.94,1.0,0.807	-0.011
36	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100124313	100124477	100123305	100123414	36	1191,1182,1168	1,0,4	888,1123,1037	0,5,0	756	149	1	1.0	0.996,1.0,0.983	1.0,0.978,1.0	0.0
38	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73352681	73352781	38	3108,3799,3783	0,2,0	3038,3795,3676	0,0,1	540	149	1	1.0	1.0,0.998,1.0	1.0,1.0,0.999	-0.0
39	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	73344929	73344970	73344929	73344964	73345541	73345627	39	863,1384,1233	35,42,38	1187,1201,911	26,17,47	155	149	0.239878928719	0.7565195738285369	0.96,0.969,0.969	0.978,0.985,0.949	-0.005
40	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73331945	73331783	73331825	73332053	73332119	40	212,247,221	36,36,64	204,288,286	60,55,43	269	149	0.843245871885	1.0	0.765,0.792,0.657	0.653,0.744,0.787	0.01
41	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332710	73332788	41	617,715,706	90,121,140	604,957,1015	67,64,38	655	149	1.06780993825e-07	1.444657862290729e-05	0.609,0.573,0.534	0.672,0.773,0.859	-0.196
42	"ENSMUSG00000031387"	"Renbp"	chrX	-	72973792	72973868	72973834	72973868	72973286	72973459	42	140,104,177	5,2,1	96,143,107	0,7,0	191	149	0.953822200892	1.0	0.956,0.976,0.993	1.0,0.941,1.0	-0.005
