ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984	2	103,113,80	13,38,37	87,54,118	23,29,21	298	149	0.919132298849	1.0	0.798,0.598,0.519	0.654,0.482,0.737	0.014
4	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150250794	150250852	4	100,156,98	169,263,264	103,149,124	281,287,204	298	149	0.751066556345	1.0	0.228,0.229,0.157	0.155,0.206,0.233	0.007
5	"ENSMUSG00000025268"	"Maged2"	chrX	-	149591716	149592148	149591716	149591779	149592105	149592148	5	57,51,66	395,390,493	59,84,60	458,445,392	298	149	0.31353243042	0.6575954240354169	0.067,0.061,0.063	0.061,0.086,0.071	-0.009
7	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619118	133619567	133619118	133619210	133619474	133619567	7	9,2,13	6,1,12	6,2,6	6,6,1	298	149	0.820509305174	1.0	0.429,0.5,0.351	0.333,0.143,0.75	0.018
8	"ENSMUSG00000000223"	"Drp2"	chrX	+	133341083	133342135	133341083	133341169	133341977	133342135	8	11,19,21	4,7,2	18,25,18	11,12,3	298	149	0.290809050447	0.6274985929561242	0.579,0.576,0.84	0.45,0.51,0.75	0.095
9	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973884	132974026	9	195,154,196	78,129,147	162,198,212	41,32,22	298	149	3.31455785041e-09	4.258023067115989e-07	0.556,0.374,0.4	0.664,0.756,0.828	-0.306
10	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973962	132974026	10	367,380,436	58,53,59	257,341,368	32,48,25	298	149	0.0786192292042	0.2660332713523118	0.76,0.782,0.787	0.801,0.78,0.88	-0.044
12	"ENSMUSG00000046032"	"Snx12"	chrX	-	100255564	100257470	100255564	100255952	100257379	100257470	12	1037,1117,1142	86,114,103	942,877,783	79,93,85	298	149	0.543592202125	0.900582783924833	0.858,0.83,0.847	0.856,0.825,0.822	0.011
13	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100123706	100123873	100124313	100124477	13	260,205,198	455,610,492	135,174,131	646,737,527	298	149	1.46666802037e-08	1.50731567693454e-06	0.222,0.144,0.168	0.095,0.106,0.111	0.074
15	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580479	93580962	93580479	93580594	93580899	93580962	15	229,261,248	4368,4172,5379	226,347,232	3682,3739,3642	298	149	0.00225746180062	0.021587986742706445	0.026,0.03,0.023	0.03,0.044,0.031	-0.009
16	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580899	93581190	93580899	93580962	93581147	93581190	16	52,63,124	4192,4041,5093	82,53,62	3474,3292,3579	298	149	0.977916102546	1.0	0.006,0.008,0.012	0.012,0.008,0.009	-0.001
17	"ENSMUSG00000025151"	"Maged1"	chrX	-	93581281	93581671	93581281	93581361	93581579	93581671	17	1203,1294,1369	3722,3700,4667	1018,1554,1303	3275,2999,3072	298	149	0.00471264994272	0.03571487675433233	0.139,0.149,0.128	0.135,0.206,0.175	-0.033
20	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73351735	73351867	20	1049,1208,1249	1578,1868,1882	778,1026,1104	1485,1725,1684	298	149	0.212246786111	0.509299331346674	0.249,0.244,0.249	0.208,0.229,0.247	0.019
21	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353568	73353740	21	189,206,207	2994,3684,3847	172,240,272	3451,4322,3410	298	149	0.572466102772	0.9210166800068789	0.031,0.027,0.026	0.024,0.027,0.038	-0.002
22	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	73344183	73344964	73344183	73344377	73344929	73344964	22	109,128,101	942,1448,1312	64,94,71	1160,1197,983	298	149	0.0136792452831	0.0797475612371324	0.055,0.042,0.037	0.027,0.038,0.035	0.011
23	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73326355	73327006	73326355	73326722	73326877	73327006	23	34,22,23	612,746,737	13,21,14	579,792,738	298	149	0.0101278575187	0.06425027071386931	0.027,0.015,0.015	0.011,0.013,0.009	0.008
24	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332053	73332119	24	551,547,583	36,36,64	498,769,680	60,55,43	298	149	0.895530878396	1.0	0.884,0.884,0.82	0.806,0.875,0.888	0.006
25	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331945	73332053	73332119	25	410,375,435	0,0,2	363,598,524	0,0,0	257	149	1	1.0	1.0,1.0,0.992	1.0,1.0,1.0	-0.003
26	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332056	73332119	26	550,556,583	192,297,266	502,769,686	246,224,162	298	149	0.0641458242108	0.23568184850484947	0.589,0.483,0.523	0.505,0.632,0.679	-0.074
27	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332534	73332625	27	424,480,459	2,2,3	412,566,518	7,8,2	298	149	0.0650006989465	0.23709567459201192	0.991,0.992,0.987	0.967,0.973,0.992	0.013
28	"ENSMUSG00000031387"	"Renbp"	chrX	-	72972721	72974123	72972721	72973868	72974013	72974123	28	37,24,40	422,428,534	27,36,26	403,506,491	294	149	0.426683922491	0.785616022278465	0.043,0.028,0.037	0.033,0.035,0.026	0.005
29	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72830789	72832559	72830789	72830912	72832440	72832559	29	63,91,91	3661,4193,3640	79,69,92	3566,4540,3455	298	149	0.920453588325	1.0	0.009,0.011,0.012	0.011,0.008,0.013	0.0
30	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72833964	72834030	30	296,363,375	61,38,52	315,365,315	43,45,43	298	149	0.528174316843	0.8852949756217479	0.708,0.827,0.783	0.786,0.802,0.786	-0.019
32	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258833	72258961	32	463,544,493	128,142,159	343,410,500	109,115,131	298	149	0.969210801642	1.0	0.644,0.657,0.608	0.611,0.641,0.656	0.0
33	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258833	72258961	33	187,222,166	271,310,272	114,140,181	214,258,261	298	149	0.252184499286	0.5708669879998376	0.257,0.264,0.234	0.21,0.213,0.257	0.025
34	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258846	72258961	34	476,556,510	2,19,9	367,448,514	0,2,12	298	149	0.0346900769736	0.15272975137581296	0.992,0.936,0.966	1.0,0.991,0.955	-0.017
35	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258846	72258961	35	200,234,183	21,24,25	138,178,195	12,22,11	298	149	0.217334737696	0.5176798365622891	0.826,0.83,0.785	0.852,0.802,0.899	-0.037
37	"ENSMUSG00000035967"	"Ints6l"	chrX	+	55538398	55542094	55538398	55538493	55541875	55542094	37	37,46,44	0,14,0	15,27,30	0,2,0	298	149	0.00570138138318	0.04193838207627497	1.0,0.622,1.0	1.0,0.871,1.0	-0.083
39	"ENSMUSG00000087365"	"C430049B03Rik"	chrX	-	52143453	52145041	52143453	52144367	52145018	52145041	39	162,153,184	11,6,11	182,265,185	9,8,5	298	149	0.11023691705	0.33775706148304346	0.88,0.927,0.893	0.91,0.943,0.949	-0.034
40	"ENSMUSG00000087365"	"C430049B03Rik"	chrX	-	52144732	52145041	52144732	52144782	52145018	52145041	40	278,346,301	1,10,1	316,463,298	3,0,5	298	149	0.212385042263	0.509299331346674	0.993,0.945,0.993	0.981,1.0,0.968	-0.006
41	"ENSMUSG00000087365"	"C430049B03Rik"	chrX	-	52143453	52145646	52143453	52145041	52145534	52145646	41	21,20,19	98,103,108	12,23,15	110,148,104	298	149	0.119268967141	0.35602529029558255	0.097,0.088,0.081	0.052,0.072,0.067	0.025
