ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	54720	54867	0	16728,20832,18937	1,0,2	16638,22837,19968	3,0,4	1093	149	1	1.0	1.0,1.0,0.999	0.999,1.0,0.999	0.0
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	52189	52367	55111	55701	1	15241,19001,17269	0,0,0	15060,20677,17916	4,0,5	1093	149	1	1.0	1.0,1.0,1.0	0.998,1.0,0.998	0.001
2	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	52189	52367	55111	55701	2	2660,3624,3502	0,0,0	3095,4419,3479	4,0,5	296	149	1	1.0	1.0,1.0,1.0	0.997,1.0,0.997	0.002
3	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	54720	54867	53535	54479	55111	55701	3	4153,5467,5183	7,12,15	4679,6603,5533	9,24,6	296	149	1	1.0	0.997,0.996,0.994	0.996,0.993,0.998	0.0
4	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	55111	55701	53535	54479	59591	59667	4	10163,13009,12732	0,5,1	12250,17376,13486	0,0,0	739	149	1	1.0	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
5	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	58563	58835	5	4539,6612,5166	592,609,606	4955,8148,6428	546,643,579	315	149	0.0273008643061	0.3118970974712594	0.784,0.837,0.801	0.811,0.857,0.84	-0.029
6	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	55111	55701	59591	59667	6	2473,3664,2954	894,975,1016	2764,4352,3407	855,1016,938	315	149	0.0522605545361	0.49488997175080063	0.567,0.64,0.579	0.605,0.67,0.632	-0.04
7	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	55111	55701	59591	59667	7	4883,6400,5131	894,975,1016	4430,6978,6131	855,1016,938	421	149	0.331098060422	1.0	0.659,0.699,0.641	0.647,0.709,0.698	-0.018
8	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	58563	58835	56985	57151	59591	59667	8	6533,9001,6971	176,263,234	6234,10251,8699	159,120,126	421	149	6.6059473447e-09	1.3519251789328647e-06	0.929,0.924,0.913	0.933,0.968,0.961	-0.032
169	"ENSMUSG00000031358"	"Msl3"	chrX	-	167449938	167450097	167447038	167447301	167451626	167451787	169	1069,1414,1530	0,0,0	1372,1464,985	0,5,0	308	149	1	1.0	1.0,1.0,1.0	1.0,0.993,1.0	0.002
