ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	53535	54479	54720	54867	52189	52367	55111	55701	0	2660,3624,3502	151,156,171	3095,4419,3479	113,289,208	296	298	0.383996070386	0.7954376144339814	0.947,0.959,0.954	0.965,0.939,0.944	0.004
1	"ENSMUSG00000095041"	"ENSMUSG00000095041"	chrJH584304.1	-	56985	57151	58563	58835	55111	55701	59591	59667	1	4176,5524,4388	2179,3313,2646	3807,5949,5336	2492,3794,3024	298	298	0.375632762645	0.7883702043969979	0.657,0.625,0.624	0.604,0.611,0.638	0.018
7	"ENSMUSG00000031358"	"Msl3"	chrX	-	167452485	167452611	167453215	167453307	167451626	167451787	167454138	167454239	7	569,668,742	545,698,734	601,540,465	659,708,524	241	275	0.0812322240758	0.4225863431288523	0.544,0.522,0.536	0.51,0.465,0.503	0.041
8	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165136560	165136680	165150023	165150170	165127687	165128077	165155633	165155820	8	399,440,408	4,12,13	334,454,368	0,23,7	269	296	0.784246019456	1.0	0.991,0.976,0.972	1.0,0.956,0.983	0.0
9	"ENSMUSG00000031379"	"Pir"	chrX	+	163054598	163054727	163063124	163063217	163052426	163052673	163078910	163078994	9	757,747,804	498,567,713	596,543,587	590,477,434	278	242	0.190793612864	0.6050269599877978	0.57,0.534,0.495	0.468,0.498,0.541	0.031
10	"ENSMUSG00000031379"	"Pir"	chrX	+	163063124	163063217	163078910	163078994	163054598	163054727	163083219	163083426	10	292,350,332	336,417,445	266,254,240	370,350,305	242	233	0.369578935263	0.784076776270381	0.456,0.447,0.418	0.409,0.411,0.431	0.023
11	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642294	161642442	161642868	161642927	161640052	161641004	161646055	161646204	11	157,191,173	376,443,459	120,148,139	344,437,336	208	297	0.32587562972	0.7452778938489347	0.374,0.381,0.35	0.332,0.326,0.371	0.025
12	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642294	161642442	161646055	161646204	161640052	161641004	161655510	161655650	12	364,396,348	376,443,459	223,267,249	344,436,335	298	297	0.00936938779031	0.1320559923836736	0.491,0.471,0.43	0.392,0.379,0.426	0.065
13	"ENSMUSG00000031357"	"Syap1"	chrX	-	161642868	161642927	161646055	161646204	161642294	161642442	161655510	161655650	13	359,396,345	116,185,140	222,269,250	106,156,118	298	208	0.0385291518397	0.29556277596735775	0.684,0.599,0.632	0.594,0.546,0.597	0.059
14	"ENSMUSG00000031295"	"Phka2"	chrX	+	159285742	159285900	159306267	159306426	159285161	159285288	159310725	159310773	14	33,14,8	117,155,145	16,9,11	97,136,128	298	298	0.319471870038	0.7396341261524477	0.22,0.083,0.052	0.142,0.062,0.079	0.024
