ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	165168386	165171984	165168386	165168477	165169947	165171984	2	503,495,498	13,38,37	314,370,453	23,29,21	1619	149	0.590849219848	0.9233985509444548	0.781,0.545,0.553	0.557,0.54,0.665	0.039
4	"ENSMUSG00000025262"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150250794	150250852	4	198,276,167	169,263,264	153,262,238	281,287,204	509	149	0.513053998471	0.8573839484161531	0.255,0.235,0.156	0.137,0.211,0.255	0.014
5	"ENSMUSG00000025268"	"Maged2"	chrX	-	149591716	149592148	149591716	149591779	149592105	149592148	5	109,99,117	395,390,493	141,174,128	458,445,392	475	149	0.0119412717692	0.06487791714604452	0.08,0.074,0.069	0.088,0.109,0.093	-0.022
7	"ENSMUSG00000033460"	"Armcx1"	chrX	+	133619118	133619567	133619118	133619210	133619474	133619567	7	9,2,13	6,1,12	6,2,6	6,6,1	413	149	0.783398440078	1.0	0.351,0.419,0.281	0.265,0.107,0.684	-0.002
8	"ENSMUSG00000000223"	"Drp2"	chrX	+	133341083	133342135	133341083	133341169	133341977	133342135	8	59,87,110	4,7,2	102,138,89	11,12,3	957	149	0.277963492958	0.5876279966327267	0.697,0.659,0.895	0.591,0.642,0.822	0.065
9	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973884	132974026	9	1116,1136,1250	78,129,147	1101,1197,1309	41,32,22	3377	149	3.10264036685e-11	7.473226430286035e-09	0.387,0.28,0.273	0.542,0.623,0.724	-0.316
10	"ENSMUSG00000031256"	"Cstf2"	chrX	+	132970593	132974026	132970593	132970656	132973962	132974026	10	1367,1419,1568	58,53,59	1274,1452,1551	32,48,25	3455	149	0.00901774880931	0.05280571547493847	0.504,0.536,0.534	0.632,0.566,0.728	-0.117
12	"ENSMUSG00000046032"	"Snx12"	chrX	-	100255564	100257470	100255564	100255952	100257379	100257470	12	3705,4119,4475	86,114,103	3733,3307,2883	79,93,85	1576	149	0.653051954387	0.978307543106505	0.803,0.774,0.804	0.817,0.771,0.762	0.01
13	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	100123706	100124477	100123706	100123873	100124313	100124477	13	521,489,416	455,610,492	279,381,393	646,737,527	589	149	1.68356635966e-07	1.0137875429085966e-05	0.225,0.169,0.176	0.098,0.116,0.159	0.066
15	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580479	93580962	93580479	93580594	93580899	93580962	15	326,373,325	4368,4172,5379	291,474,345	3682,3739,3642	454	149	0.00204604190895	0.017600831945324646	0.024,0.029,0.019	0.025,0.04,0.03	-0.008
16	"ENSMUSG00000025151"	"Maged1"	chrX	-	93580899	93581190	93580899	93580962	93581147	93581190	16	64,71,127	4192,4041,5093	83,60,67	3474,3292,3579	334	149	0.986513286256	1.0	0.007,0.008,0.011	0.011,0.008,0.008	-0.0
17	"ENSMUSG00000025151"	"Maged1"	chrX	-	93581281	93581671	93581281	93581361	93581579	93581671	17	1354,1450,1548	3722,3700,4667	1184,1792,1448	3275,2999,3072	367	149	0.002661446812	0.021511873225404918	0.129,0.137,0.119	0.128,0.195,0.161	-0.033
20	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73351735	73351867	20	1351,1641,1603	1578,1868,1882	1030,1361,1516	1485,1725,1684	408	149	0.323684684361	0.6461175495007144	0.238,0.243,0.237	0.202,0.224,0.247	0.015
21	"ENSMUSG00000015291"	"Gdi1"	chrX	+	73352681	73353740	73352681	73352781	73353568	73353740	21	550,651,599	2994,3684,3847	440,624,633	3451,4322,3410	936	149	0.168180466012	0.4225563447158248	0.028,0.027,0.024	0.02,0.022,0.029	0.003
22	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	73344183	73344964	73344183	73344377	73344929	73344964	22	288,296,244	942,1448,1312	177,269,200	1160,1197,983	701	149	0.106833056097	0.3117833858468991	0.061,0.042,0.038	0.031,0.046,0.041	0.008
23	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73326355	73327006	73326355	73326722	73326877	73327006	23	34,22,23	612,746,737	14,21,14	579,792,738	304	149	0.0133939630394	0.07099992515344941	0.027,0.014,0.015	0.012,0.013,0.009	0.007
24	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332053	73332119	24	622,622,654	36,36,64	567,886,810	60,55,43	377	149	0.969226264599	1.0	0.872,0.872,0.802	0.789,0.864,0.882	0.004
25	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331945	73332053	73332119	25	410,375,435	0,0,2	363,598,524	0,0,0	257	149	1	1.0	1.0,1.0,0.992	1.0,1.0,1.0	-0.003
26	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73331783	73332119	73331783	73331825	73332056	73332119	26	623,631,654	192,297,266	571,886,816	246,224,162	380	149	0.0544514255294	0.1991224700786662	0.56,0.454,0.491	0.476,0.608,0.664	-0.081
27	"ENSMUSG00000009995"	"Tafazzin"	chrX	+	73332056	73332625	73332056	73332119	73332534	73332625	27	716,842,823	2,2,3	712,1058,1041	7,8,2	564	149	0.0726563387737	0.24149710394607	0.99,0.991,0.986	0.964,0.972,0.993	0.013
28	"ENSMUSG00000031387"	"Renbp"	chrX	-	72972721	72974123	72972721	72973868	72974013	72974123	28	37,24,40	422,428,534	27,36,26	403,506,491	294	149	0.426683922491	0.770034471508483	0.043,0.028,0.037	0.033,0.035,0.026	0.005
29	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72830789	72832559	72830789	72830912	72832440	72832559	29	575,701,578	3661,4193,3640	641,541,466	3566,4540,3455	1677	149	0.204497714336	0.48029043986705905	0.014,0.015,0.014	0.016,0.01,0.012	0.002
30	"ENSMUSG00000002014"	"Ssr4"	chrX	+	72833405	72834030	72833405	72833480	72833964	72834030	30	648,755,798	61,38,52	662,804,664	43,45,43	633	149	0.49309268082	0.8431348110755609	0.714,0.824,0.783	0.784,0.808,0.784	-0.018
32	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258833	72258961	32	568,700,601	128,142,159	403,528,636	109,115,131	556	149	0.958791912515	1.0	0.543,0.569,0.503	0.498,0.552,0.565	0.0
33	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258833	72258961	33	286,360,265	271,310,272	169,249,306	214,258,261	520	149	0.418037180957	0.7628122903018388	0.232,0.25,0.218	0.185,0.217,0.251	0.016
34	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258426	72258846	72258961	34	586,728,625	2,19,9	427,566,654	0,2,12	569	149	0.039860450498	0.16022810673970903	0.987,0.909,0.948	1.0,0.987,0.935	-0.026
35	"ENSMUSG00000067768"	"Xlr4b"	chrX	+	72258379	72258961	72258379	72258462	72258846	72258961	35	304,388,289	21,24,25	193,287,324	12,22,11	533	149	0.241882173081	0.5351624564247722	0.802,0.819,0.764	0.818,0.785,0.892	-0.037
37	"ENSMUSG00000035967"	"Ints6l"	chrX	+	55538398	55542094	55538398	55538493	55541875	55542094	37	480,712,633	0,14,0	404,425,459	0,2,0	3531	149	0.00202254114948	0.01745435971513902	1.0,0.682,1.0	1.0,0.9,1.0	-0.073
39	"ENSMUSG00000087365"	"C430049B03Rik"	chrX	-	52143453	52145041	52143453	52144367	52145018	52145041	39	365,413,449	11,6,11	467,529,422	9,8,5	800	149	0.181726913992	0.4436346893602	0.861,0.928,0.884	0.906,0.925,0.94	-0.033
