"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000000131","Xpo6",1,"A5SS",0.145
"ENSMUSG00000000244","Tspan32",1,"SE",0.414
"ENSMUSG00000000440","Pparg",2,"SE,MXE",0.362
"ENSMUSG00000000568","Hnrnpd",1,"SE",0.202
"ENSMUSG00000000631","Myo18a",2,"SE",0.185
"ENSMUSG00000000827","Tpd52l2",1,"SE",0.106
"ENSMUSG00000001034","Mapk7",1,"RI",0.186
"ENSMUSG00000001036","Epn2",2,"SE",0.122
"ENSMUSG00000001062","Vps9d1",1,"RI",0.126
"ENSMUSG00000001120","Pcbp3",1,"SE",0.179
"ENSMUSG00000001419","Mef2d",1,"SE",0.326
"ENSMUSG00000001827","Folr1",1,"A3SS",0.128
"ENSMUSG00000001988","Npas1",1,"SE",0.1
"ENSMUSG00000002031","Ift46",2,"SE",0.405
"ENSMUSG00000002578","Ikzf4",1,"SE",0.669
"ENSMUSG00000002608","Ccdc97",1,"SE",0.394
"ENSMUSG00000002908","Kcnn1",1,"A5SS",0.246
"ENSMUSG00000003119","Cdk12",1,"SE",0.185
"ENSMUSG00000003341","Atp8b3",1,"SE",0.173
"ENSMUSG00000003863","Ppfia3",1,"SE",0.239
"ENSMUSG00000004285","Atp6v1f",1,"SE",0.307
"ENSMUSG00000004319","Clcn3",1,"SE",0.103
"ENSMUSG00000004562","Arhgef40",2,"SE,A3SS",0.176
"ENSMUSG00000005687","Bcas2",1,"RI",0.266
"ENSMUSG00000005881","Ergic3",1,"SE",0.169
"ENSMUSG00000005882","Uqcc1",1,"SE",0.32
"ENSMUSG00000006301","Tmbim1",1,"RI",0.154
"ENSMUSG00000006575","Rundc3a",1,"A3SS",0.42
"ENSMUSG00000006576","Slc4a3",1,"RI",0.114
"ENSMUSG00000006649","Nphs1",2,"SE",0.383
"ENSMUSG00000006720","Zfp184",2,"A3SS,A5SS",0.166
"ENSMUSG00000006818","Sod2",1,"SE",0.633
"ENSMUSG00000006958","Chrd",1,"SE",0.358
"ENSMUSG00000008129","Brme1",1,"SE",0.435
"ENSMUSG00000009079","Ewsr1",1,"SE",0.222
"ENSMUSG00000009555","Cdk9",1,"A3SS",0.106
"ENSMUSG00000009621","Vav2",1,"SE",0.112
"ENSMUSG00000009741","Ubp1",3,"SE,MXE,RI",0.218
"ENSMUSG00000012609","Ttll5",1,"SE",0.119
"ENSMUSG00000013523","Bcas1",2,"SE",0.151
"ENSMUSG00000014164","Klhl3",1,"SE",0.412
"ENSMUSG00000014355","Anapc1",1,"SE",0.16
"ENSMUSG00000014767","Tbp",1,"RI",0.142
"ENSMUSG00000014873","Surf2",2,"RI",0.121
"ENSMUSG00000015149","Sirt2",1,"SE",0.106
"ENSMUSG00000015377","Dennd6b",1,"RI",0.142
"ENSMUSG00000015452","Ager",1,"RI",0.219
"ENSMUSG00000015501","Hivep2",1,"SE",0.278
"ENSMUSG00000015536","Mocs2",1,"A5SS",0.103
"ENSMUSG00000015790","Surf1",4,"SE,RI",0.207
"ENSMUSG00000017405","Nek8",1,"RI",0.107
"ENSMUSG00000017718","Afmid",1,"MXE",0.15
"ENSMUSG00000018334","Ksr1",1,"SE",0.203
"ENSMUSG00000018537","Pcgf2",1,"SE",0.328
"ENSMUSG00000018820","Zfyve27",1,"SE",0.131
"ENSMUSG00000019261","Map1s",1,"RI",0.154
"ENSMUSG00000019320","Noxo1",1,"RI",0.108
"ENSMUSG00000019558","Slc6a8",1,"A5SS",0.122
"ENSMUSG00000019732","Calr3",1,"SE",0.128
"ENSMUSG00000020131","Pcsk4",3,"SE,MXE",0.313
"ENSMUSG00000020151","Ptprr",1,"SE",0.427
"ENSMUSG00000020175","Rab36",1,"A3SS",0.209
"ENSMUSG00000020220","Vps13d",1,"SE",0.21
"ENSMUSG00000020250","Txnrd1",1,"SE",0.218
"ENSMUSG00000020262","Adarb1",1,"A5SS",0.145
"ENSMUSG00000020400","Tnip1",1,"SE",0.105
"ENSMUSG00000020409","Slu7",1,"SE",0.139
"ENSMUSG00000020451","Limk2",1,"SE",0.127
"ENSMUSG00000020646","Mboat2",1,"SE",0.22
"ENSMUSG00000020680","Taf15",1,"SE",0.286
"ENSMUSG00000020732","Rab37",1,"SE",0.178
"ENSMUSG00000020752","Recql5",1,"SE",0.134
"ENSMUSG00000020785","Camkk1",1,"RI",0.107
"ENSMUSG00000020792","Exoc7",3,"SE,MXE",0.21
"ENSMUSG00000020812","Snhg16",1,"A5SS",0.184
"ENSMUSG00000021012","Zc3h14",1,"SE",0.101
"ENSMUSG00000021033","Gstz1",1,"SE",0.142
"ENSMUSG00000021068","Nin",2,"SE",0.325
"ENSMUSG00000021103","Mnat1",2,"SE",0.657
"ENSMUSG00000021140","Pcnx",2,"SE,MXE",0.491
"ENSMUSG00000021156","Zmynd11",1,"A5SS",0.158
"ENSMUSG00000021198","Unc79",1,"SE",0.285
"ENSMUSG00000021235","Coq6",1,"RI",0.264
"ENSMUSG00000021280","Exoc3l4",1,"SE",0.393
"ENSMUSG00000021313","Ryr2",1,"SE",0.338
"ENSMUSG00000021375","Kif13a",1,"SE",0.115
"ENSMUSG00000021432","Slc35b3",1,"SE",0.124
"ENSMUSG00000021461","Fancc",1,"SE",0.193
"ENSMUSG00000021493","Pdlim7",1,"RI",0.179
"ENSMUSG00000021548","Ccnh",1,"SE",0.285
"ENSMUSG00000021557","Agtpbp1",1,"SE",0.119
"ENSMUSG00000021747","Cfap20dc",1,"SE",0.108
"ENSMUSG00000021782","Dlg5",1,"SE",0.159
"ENSMUSG00000021819","Zswim8",2,"RI",0.218
"ENSMUSG00000021895","Arhgef3",1,"SE",0.238
"ENSMUSG00000021972","Hmbox1",1,"SE",0.127
"ENSMUSG00000022099","Dmtn",1,"SE",0.117
"ENSMUSG00000022212","Cpne6",1,"RI",0.521
"ENSMUSG00000022228","Zscan26",1,"SE",0.195
"ENSMUSG00000022324","Matn2",1,"A3SS",0.316
"ENSMUSG00000022469","Rapgef3",2,"A3SS",0.549
"ENSMUSG00000022487","Gtsf1",1,"SE",0.166
"ENSMUSG00000022498","Txndc11",1,"SE",0.108
"ENSMUSG00000022517","Mgrn1",1,"SE",0.14
"ENSMUSG00000022537","Tmem44",1,"RI",0.196
"ENSMUSG00000022552","Sharpin",1,"A3SS",0.154
"ENSMUSG00000022565","Plec",2,"SE,A3SS",0.678
"ENSMUSG00000022580","Rhpn1",1,"RI",0.598
"ENSMUSG00000022607","Ptk2",2,"SE",0.277
"ENSMUSG00000022623","Shank3",2,"SE",0.338
"ENSMUSG00000022838","Eaf2",2,"SE",0.257
"ENSMUSG00000022890","Atp5j",1,"SE",0.108
"ENSMUSG00000022948","Setd4",4,"SE,A5SS",0.217
"ENSMUSG00000022983","Scaf4",2,"RI",0.171
"ENSMUSG00000023044","Csad",1,"SE",0.112
"ENSMUSG00000023051","Tarbp2",1,"SE",0.142
"ENSMUSG00000023153","Tmem52",1,"RI",0.361
"ENSMUSG00000023191","P3h3",1,"RI",0.14
"ENSMUSG00000023206","Il15ra",3,"SE",0.26
"ENSMUSG00000023953","Polh",1,"SE",0.176
"ENSMUSG00000024050","Wiz",1,"SE",0.17
"ENSMUSG00000024114","Prss41",1,"SE",0.547
"ENSMUSG00000024150","Mcfd2",1,"SE",0.284
"ENSMUSG00000024188","Luc7l",2,"A5SS,RI",0.28
"ENSMUSG00000024287","Thoc1",2,"A5SS,RI",0.157
"ENSMUSG00000024330","Col11a2",3,"SE",0.419
"ENSMUSG00000024485","Slc4a9",3,"SE,A3SS,RI",0.454
"ENSMUSG00000024645","Timm21",1,"RI",0.128
"ENSMUSG00000024663","Rab3il1",1,"SE",0.181
"ENSMUSG00000024726","Carnmt1",2,"SE",0.219
"ENSMUSG00000024830","Rps6kb2",1,"RI",0.195
"ENSMUSG00000024871","Doc2g",1,"RI",0.125
"ENSMUSG00000024937","Ehbp1l1",1,"MXE",0.101
"ENSMUSG00000025035","Arl3",1,"A3SS",0.277
"ENSMUSG00000025085","Ablim1",1,"A3SS",0.134
"ENSMUSG00000025138","Sirt7",4,"SE,RI",0.248
"ENSMUSG00000025165","Sectm1a",1,"SE",0.276
"ENSMUSG00000025217","Btrc",2,"SE",0.275
"ENSMUSG00000025266","Gnl3l",1,"A3SS",0.27
"ENSMUSG00000025316","Banp",1,"A3SS",0.128
"ENSMUSG00000025337","Sbds",1,"A3SS",0.168
"ENSMUSG00000025404","R3hdm2",3,"SE",0.177
"ENSMUSG00000025420","Katnal2",1,"SE",0.151
"ENSMUSG00000025464","Paox",1,"SE",0.104
"ENSMUSG00000025473","Adam8",1,"RI",0.444
"ENSMUSG00000025487","Psmd13",1,"RI",0.206
"ENSMUSG00000025494","Sigirr",1,"RI",0.282
"ENSMUSG00000025497","Cdhr5",1,"SE",0.409
"ENSMUSG00000025728","Pigq",1,"SE",0.281
"ENSMUSG00000025736","Jmjd8",1,"RI",0.205
"ENSMUSG00000025762","Larp1b",1,"SE",0.113
"ENSMUSG00000025816","Sec61a2",2,"SE",0.139
"ENSMUSG00000025920","Stau2",1,"SE",0.106
"ENSMUSG00000026005","Rpe",1,"A5SS",0.126
"ENSMUSG00000026082","Rev1",1,"SE",0.111
"ENSMUSG00000026096","Osgepl1",1,"SE",0.169
"ENSMUSG00000026153","Fam135a",1,"A3SS",0.192
"ENSMUSG00000026177","Slc11a1",1,"RI",0.102
"ENSMUSG00000026179","Pnkd",1,"SE",0.117
"ENSMUSG00000026189","Pecr",1,"SE",0.124
"ENSMUSG00000026527","Rgs7",3,"SE",0.247
"ENSMUSG00000026672","Optn",2,"SE",0.128
"ENSMUSG00000026737","Pip4k2a",1,"SE",0.154
"ENSMUSG00000026767","Mindy3",2,"SE,MXE",0.343
"ENSMUSG00000026816","Gtf3c5",1,"MXE",0.717
"ENSMUSG00000026825","Dnm1",1,"SE",0.104
"ENSMUSG00000026826","Nr4a2",1,"A3SS",0.16
"ENSMUSG00000026853","Crat",1,"SE",0.102
"ENSMUSG00000026927","Entr1",1,"SE",0.176
"ENSMUSG00000026999","Nup35",1,"SE",0.356
"ENSMUSG00000027207","Galk2",1,"SE",0.194
"ENSMUSG00000027247","Arhgap1",2,"SE,RI",0.17
"ENSMUSG00000027281","Slx4ip",1,"SE",0.22
"ENSMUSG00000027327","1700037H04Rik",1,"A3SS",0.224
"ENSMUSG00000027356","Fermt1",2,"SE",0.448
"ENSMUSG00000027469","Tpx2",1,"A5SS",0.137
"ENSMUSG00000027584","Oprl1",1,"A5SS",0.118
"ENSMUSG00000027660","Skil",1,"A5SS",0.133
"ENSMUSG00000027677","Ttc14",1,"SE",0.105
"ENSMUSG00000028013","Ppa2",1,"SE",0.221
"ENSMUSG00000028033","Kcnq5",1,"SE",0.353
"ENSMUSG00000028048","Gba",1,"SE",0.1
"ENSMUSG00000028078","Dclk2",3,"SE",0.136
"ENSMUSG00000028106","Rprd2",1,"SE",0.27
"ENSMUSG00000028391","Wdr31",1,"A5SS",0.168
"ENSMUSG00000028423","Nfx1",1,"RI",0.126
"ENSMUSG00000028433","Ubap2",1,"SE",0.109
"ENSMUSG00000028441","1110017D15Rik",1,"SE",0.181
"ENSMUSG00000028456","Unc13b",1,"SE",0.218
"ENSMUSG00000028487","Bnc2",1,"SE",0.136
"ENSMUSG00000028524","Sgip1",3,"SE",0.461
"ENSMUSG00000028545","Bend5",1,"SE",0.162
"ENSMUSG00000028549","Itgb3bp",1,"MXE",0.109
"ENSMUSG00000028621","Cyb5rl",1,"RI",0.134
"ENSMUSG00000028687","Mutyh",2,"SE,RI",0.236
"ENSMUSG00000028693","Nasp",1,"SE",0.253
"ENSMUSG00000028760","Eif4g3",1,"SE",0.183
"ENSMUSG00000028796","Phc2",1,"SE",0.202
"ENSMUSG00000028803","Nipal3",1,"SE",0.158
