"gene_id","gene_symbol","DE_log2FC","DE_padj","DE_baseMean","GeneSymbol","splicing_n_events","splicing_event_types","splicing_max_abs_dPSI","splicing_best_dPSI","splicing_min_FDR"
"ENSMUSG00000062901","Klhl24",-1.10898428693027,7.1111687766765e-83,4908.4445725242,"Klhl24",1,"SE",0.104,0.104,0.0103725740400822
"ENSMUSG00000025747","Tyms",1.12698645355903,9.24936021285045e-68,2728.50466212008,"Tyms",2,"A5SS,RI",0.216,-0.216,9.99099529036427e-10
"ENSMUSG00000040479","Dgkz",-0.754219163281185,3.26041412263108e-49,23073.2831570461,"Dgkz",2,"SE",0.152,-0.152,4.62373093758006e-09
"ENSMUSG00000031502","Col4a1",0.694915032118339,3.41030579199488e-48,11607.8363716624,"Col4a1",1,"SE",0.264,-0.264,6.10355387630414e-14
"ENSMUSG00000030346","Rad51ap1",0.913242375517283,2.82858925499927e-44,2492.82050162303,"Rad51ap1",1,"A3SS",0.113,0.113,0.0115640761446409
"ENSMUSG00000024357","Sil1",-0.976252995171422,1.22512777117465e-38,2538.62743999429,"Sil1",1,"SE",0.203,-0.203,0.0235341333076469
"ENSMUSG00000039994","Timeless",1.12335222764795,2.08927524827985e-38,3102.21921540012,"Timeless",1,"RI",0.17,0.17,0.0352763840279851
"ENSMUSG00000040811","Eml2",-1.12496254598721,2.22947954408654e-38,4515.49738805168,"Eml2",1,"SE",0.105,-0.105,4.01941352830388e-13
"ENSMUSG00000022558","Mroh1",-0.778222545064285,2.64306217283848e-38,10282.167594557,"Mroh1",5,"SE,RI",0.247,0.247,3.79776685637924e-13
"ENSMUSG00000118669","Arvcf",-0.73899259822008,3.51453339706228e-35,12370.7527432333,"Arvcf",1,"MXE",0.123,0.123,0.006616656726485
"ENSMUSG00000024462","Gabbr1",-0.701572876409067,1.04485723602149e-33,10899.9593252636,"Gabbr1",1,"SE",0.251,0.251,0.00369490594420728
"ENSMUSG00000027405","Nop56",0.741841029689591,7.86892228554747e-33,18607.3027753783,"Nop56",1,"SE",0.105,-0.105,0
"ENSMUSG00000031819","Emc8",0.670668901339544,3.26176590820258e-32,11508.0778160325,"Emc8",2,"SE",0.242,-0.242,0.0016222466614
"ENSMUSG00000038371","Sbf2",-0.661660472745309,3.89923580484042e-32,8057.60225210719,"Sbf2",1,"SE",0.222,0.222,2.17768155001628e-08
