VastDB.ID,gene,Ptbp1.dPSI,Ptbp1.signif,Srrm4.dPSI,Srrm4.signif,Srrm3.Srrm4.dPSI,Srrm3.Srrm4.signif,Srsf11.dPSI,Srsf11.signif,Rbfox2.dPSI,Rbfox2.signif,Srrm3.dPSI,Srrm3.signif,Rnps1.dPSI,Rnps1.signif
MmuEX0010431,Cdc45,-2,n.s.,3.8,n.s.,3,n.s.,-2,n.s.,2,n.s.,0,n.s.,-18,lower
MmuEX0041247,Scml2,1,n.s.,1.4,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,8,n.s.,11,higher
MmuEX0041248,Scml2,-10,lower,5.7,n.s.,8,n.s.,9,n.s.,-5,n.s.,2,n.s.,18,higher
MmuEX0009341,Cav2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0041239,Scmh1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0031675,Ngfr,0,n.s.,0.4,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0046712,Tcfe3,1,n.s.,4.9,n.s.,-2,n.s.,0,n.s.,-7,n.s.,-1,n.s.,-17,lower
MmuEX0007157,Axin2,-3,n.s.,-2.2,n.s.,-1,n.s.,-2,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0002596,AA881470,-3,n.s.,0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,-3,n.s.,-3,n.s.
MmuEX0002597,AA881470,-2,n.s.,-2.3,n.s.,-3,n.s.,-1,n.s.,-2,n.s.,-2,n.s.,0,n.s.
MmuEX0002598,AA881470,-1,n.s.,0.4,n.s.,7,n.s.,10,n.s.,7,n.s.,-10,n.s.,-37,lower
MmuEX0002599,AA881470,1,n.s.,0.4,n.s.,-1,n.s.,0,n.s.,-2,n.s.,-1,n.s.,-13,lower
MmuEX0021308,Gna12,1,n.s.,2,n.s.,0,n.s.,0,n.s.,1,n.s.,1,n.s.,0,n.s.
MmuEX0021630,Gpr107,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0021631,Gpr107,0,n.s.,0.2,n.s.,0,n.s.,0,n.s.,-1,n.s.,1,n.s.,0,n.s.
MmuEX0021632,Gpr107,0,n.s.,1,n.s.,1,n.s.,0,n.s.,0,n.s.,-1,n.s.,1,n.s.
MmuEX0008373,Btbd17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0043671,Slfn4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0041284,Scnn1g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0015704,Drp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0015705,Drp2,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0015706,Drp2,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0021296,Gmpr,-2,n.s.,1.4,n.s.,6,n.s.,1,n.s.,3,n.s.,-1,n.s.,-3,n.s.
MmuEX0041299,Scpep1,0,n.s.,0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0029362,Mnt,1,n.s.,2.4,n.s.,0,n.s.,3,n.s.,10,n.s.,-8,n.s.,-26,lower
MmuEX0022536,Hddc2,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,0,n.s.
MmuEX0011624,Clec10a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011625,Clec10a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0004713,Alox12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0004714,Alox12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0006307,Arvcf,21,higher,-31.8,lower,-42,lower,-15,lower,10,n.s.,-22,lower,-23,lower
MmuEX0013798,Dbt,0,n.s.,-3.6,n.s.,1,n.s.,2,n.s.,3,n.s.,0,n.s.,-2,n.s.
MmuEX0040085,Rnf17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0040086,Rnf17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0048770,Trappc10,0,n.s.,0.2,n.s.,-1,n.s.,-1,n.s.,0,n.s.,-1,n.s.,-2,n.s.
MmuEX0048771,Trappc10,1,n.s.,-2,n.s.,-1,n.s.,-3,n.s.,-1,n.s.,2,n.s.,-8,n.s.
MmuEX0048772,Trappc10,-2,n.s.,1.5,n.s.,0,n.s.,0,n.s.,0,n.s.,1,n.s.,-3,n.s.
MmuEX0046609,Tbrg4,0,n.s.,0.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
