VastDB.ID,gene,length,chrom,start,end,strand,neural.trend,ASD.trend
MmuEX0010431,Cdc45,138,chr16,18807517,18810481,-,NA,NA
MmuEX0041247,Scml2,183,chrX,157680124,157684188,+,NA,NA
MmuEX0041248,Scml2,152,chrX,157684300,157694497,+,NA,NA
MmuEX0009341,Cav2,184,chr6,17231511,17236896,+,NA,inconsistent
MmuEX0041239,Scmh1,66,chr4,120195255,120200760,+,NA,n.s.
MmuEX0031675,Ngfr,142,chr11,95439648,95448797,-,NA,NA
MmuEX0046712,Tcfe3,105,chrX,7344811,7346555,+,NA,NA
MmuEX0007157,Axin2,195,chr11,108804011,108804969,+,NA,n.s.
MmuEX0002596,AA881470,144,chr5,141181183,141185817,+,NA,NA
MmuEX0002597,AA881470,145,chr5,141186247,141188458,+,NA,n.s.
MmuEX0002598,AA881470,92,chr5,141189127,141190520,+,NA,NA
MmuEX0002599,AA881470,176,chr5,141192982,141193855,+,NA,inconsistent
MmuEX0021308,Gna12,216,chr5,141238595,141305947,-,NA,NA
MmuEX0021630,Gpr107,140,chr2,31024400,31029721,+,NA,NA
MmuEX0021631,Gpr107,74,chr2,31039176,31041008,+,NA,NA
MmuEX0021632,Gpr107,44,chr2,31044334,31063198,+,NA,NA
MmuEX0008373,Btbd17,134,chr11,114653863,114657077,-,NA,NA
MmuEX0043671,Slfn4,86,chr11,82989147,82989572,+,NA,NA
MmuEX0041284,Scnn1g,349,chr7,128878058,128883810,+,NA,NA
MmuEX0015704,Drp2,121,chrX,130958493,130962852,+,NA,NA
MmuEX0015705,Drp2,157,chrX,130963017,130966069,+,NA,NA
MmuEX0015706,Drp2,66,chrX,130981233,130982386,+,NA,NA
MmuEX0021296,Gmpr,120,chr13,45603113,45612367,+,NA,NA
MmuEX0041299,Scpep1,156,chr11,88805186,88808458,-,NA,NA
MmuEX0029362,Mnt,42,chr11,74650451,74651113,+,NA,NA
MmuEX0022536,Hddc2,70,chr10,31040143,31045827,+,NA,NA
MmuEX0011624,Clec10a,111,chr11,69981507,69982630,+,NA,NA
MmuEX0011625,Clec10a,107,chr11,69983580,69983919,+,NA,NA
MmuEX0004713,Alox12,122,chr11,70056580,70060396,-,NA,NA
MmuEX0004714,Alox12,87,chr11,70060567,70063548,-,NA,NA
MmuEX0006307,Arvcf,18,chr16,18400347,18401659,+,Neural-high,ASD-low
MmuEX0013798,Dbt,72,chr3,116249092,116250950,+,NA,NA
MmuEX0040085,Rnf17,90,chr14,57057746,57078802,+,NA,NA
MmuEX0040086,Rnf17,126,chr14,57124845,57128115,+,NA,NA
MmuEX0048770,Trappc10,171,chr10,77656282,77660482,-,NA,NA
MmuEX0048771,Trappc10,147,chr10,77673624,77677312,-,NA,NA
MmuEX0048772,Trappc10,197,chr10,77683130,77691523,-,NA,NA
MmuEX0046609,Tbrg4,246,chr11,6517633,6518462,-,NA,NA
MmuEX0046610,Tbrg4,172,chr11,6519717,6520744,-,NA,NA
