"VastDB.ID","gene","length","chrom","start","end","strand","neural.trend","ASD.trend","Ptbp1.dPSI","Ptbp1.signif","Srrm4.dPSI","Srrm4.signif","Srrm3.Srrm4.dPSI","Srrm3.Srrm4.signif","Srsf11.dPSI","Srsf11.signif","Rbfox2.dPSI","Rbfox2.signif","Srrm3.dPSI","Srrm3.signif","Rnps1.dPSI","Rnps1.signif","srrm3_srrm4_dPSI","srrm3_dPSI","srrm4_dPSI","srrm3_srrm4_signif","srrm3_signif","srrm4_signif","match_type","n_rmats_candidates","rmats_id","rmats_gene","rmats_chr","rmats_start","rmats_end","rmats_exon_size","rmats_dPSI","rmats_FDR","rmats_PValue"
"MmuEX0000049","0610010K14Rik",95,"chr11",70050481,70051285,"-",NA,NA,0,"n.s.",-0.4,"n.s.",0,"n.s.",0,"n.s.",-1,"n.s.",0,"n.s.",0,"n.s.",0,0,-0.004,"n.s.","n.s.","n.s.","gene_size_contained",5,59310,"0610010K14Rik","chr11",70128357,70128451,95,0,1,1
"MmuEX0000050","0610010K14Rik",65,"chr11",70048971,70049498,"-",NA,"n.s.",2,"n.s.",0.2,"n.s.",-2,"n.s.",-1,"n.s.",-13,"lower",-3,"n.s.",-17,"lower",-0.02,-0.03,0.002,"n.s.","n.s.","n.s.","gene_size",1,59302,"0610010K14Rik","chr11",70126522,70126586,65,-0.064,0.358332771448817,0.0387956356371
"MmuEX0000051","0610010K14Rik",102,"chr11",70049714,70050761,"-",NA,"n.s.",-7,"n.s.",2.8,"n.s.",-3,"n.s.",-13,"lower",-17,"lower",-6,"n.s.",-3,"n.s.",-0.03,-0.06,0.028,"n.s.","n.s.","n.s.","gene_size_contained",4,59305,"0610010K14Rik","chr11",70127703,70127804,102,-0.015,1,0.234416287794
"MmuEX0000058","0610030E20Rik",152,"chr6",72297706,72298990,"+",NA,NA,0,"n.s.",2.8,"n.s.",0,"n.s.",0,"n.s.",-2,"n.s.",0,"n.s.",-1,"n.s.",0,0,0.028,"n.s.","n.s.","n.s.","gene_size",1,25588,"0610030E20Rik","chr6",72325512,72325663,152,-0.021,1,0.27770105425
"MmuEX0000073","1110002L01Rik",85,"chr12",3407925,3426500,"-",NA,NA,NA,"n.s.",-2,"n.s.",1,"n.s.",NA,"n.s.",NA,"n.s.",-1,"n.s.",1,"n.s.",0.01,-0.01,-0.02,"n.s.","n.s.","n.s.","gene_size",1,12651,"1110002L01Rik","chr12",3473100,3473184,85,0.011,0.352142039276291,0.0378657325287
"MmuEX0000082","1110004F10Rik",192,"chr7",123237040,123242953,"+",NA,NA,0,"n.s.",NA,"n.s.",0,"n.s.",0,"n.s.",0,"n.s.",NA,"n.s.",0,"n.s.",0,NA,NA,"n.s.","n.s.","n.s.","gene_size",3,56944,"1110004F10Rik","chr7",115696997,115697188,192,0.085,0.00698596716560593,0.000229692039728
"MmuEX0000177","1110059G10Rik",145,"chr9",122857227,122859922,"-",NA,NA,0,"n.s.",-1.7,"n.s.",0,"n.s.",NA,"n.s.",-3,"n.s.",-2,"n.s.",-1,"n.s.",0,-0.02,-0.017,"n.s.","n.s.","n.s.","gene_size",1,56281,"1110059G10Rik","chr9",122777990,122778134,145,-0.004,1,1
"MmuEX0000178","1110065P20Rik",202,"chr4",124527207,124527892,"-",NA,NA,0,"n.s.",0.2,"n.s.",0,"n.s.",0,"n.s.",1,"n.s.",1,"n.s.",1,"n.s.",0,0.01,0.002,"n.s.","n.s.","n.s.","gene_size",1,19751,"1110065P20Rik","chr4",124744025,124744226,202,0,1,1
"MmuEX0000191","1190005I06Rik",144,"chr8",123132931,123152371,"-",NA,NA,2,"n.s.",-3.2,"n.s.",3,"n.s.",-4,"n.s.",-6,"n.s.",2,"n.s.",-6,"n.s.",0.03,0.02,-0.032,"n.s.","n.s.","n.s.","gene_size",1,59386,"1190005I06Rik","chr8",121337933,121338076,144,0.009,1,0.174638357977
"MmuEX0000269","1500009L16Rik",25,"chr10",83185780,83220189,"+",NA,NA,-1,"n.s.",0.5,"n.s.",0,"n.s.",-3,"n.s.",-1,"n.s.",0,"n.s.",-8,"n.s.",0,0,0.005,"n.s.","n.s.","n.s.","gene_size",2,23776,"1500009L16Rik","chr10",83573773,83573797,25,0.005,1,1
