"VastDB.ID","paper_gene","paper_length","match_type","n_candidates","selected","rmats_ID","geneSymbol","chr","exonStart_0base","exonEnd","exon_size","strand","IncLevelDifference","FDR"
"MmuEX0000049","0610010K14Rik",95,"gene_size_contained",5,FALSE,59307,"0610010K14Rik","chr11",70127713,70127804,91,"-",-0.042,0.119074352244259
"MmuEX0000049","0610010K14Rik",95,"gene_size_contained",5,FALSE,59308,"0610010K14Rik","chr11",70127713,70127804,91,"-",-0.029,0.910158139120057
"MmuEX0000049","0610010K14Rik",95,"gene_size_contained",5,FALSE,59309,"0610010K14Rik","chr11",70127713,70127804,91,"-",-0.01,1
"MmuEX0000049","0610010K14Rik",95,"gene_size_contained",5,TRUE,59310,"0610010K14Rik","chr11",70128356,70128451,95,"-",0,1
"MmuEX0000049","0610010K14Rik",95,"gene_size_contained",5,FALSE,59311,"0610010K14Rik","chr11",70128356,70128451,95,"-",0,1
"MmuEX0000051","0610010K14Rik",102,"gene_size_contained",4,FALSE,59303,"0610010K14Rik","chr11",70126521,70126626,105,"-",-0.032,0.70496086273797
"MmuEX0000051","0610010K14Rik",102,"gene_size_contained",4,FALSE,59304,"0610010K14Rik","chr11",70126521,70126626,105,"-",-0.025,1
"MmuEX0000051","0610010K14Rik",102,"gene_size_contained",4,TRUE,59305,"0610010K14Rik","chr11",70127702,70127804,102,"-",-0.015,1
"MmuEX0000051","0610010K14Rik",102,"gene_size_contained",4,FALSE,59306,"0610010K14Rik","chr11",70127702,70127804,102,"-",0,1
"MmuEX0000082","1110004F10Rik",192,"gene_size",3,FALSE,56943,"1110004F10Rik","chr7",115696996,115697188,192,"+",0.232,0.215264296756807
"MmuEX0000082","1110004F10Rik",192,"gene_size",3,TRUE,56944,"1110004F10Rik","chr7",115696996,115697188,192,"+",0.085,0.00698596716560593
"MmuEX0000082","1110004F10Rik",192,"gene_size",3,FALSE,56945,"1110004F10Rik","chr7",115696996,115697188,192,"+",0,1
"MmuEX0000269","1500009L16Rik",25,"gene_size",2,FALSE,23775,"1500009L16Rik","chr10",83573772,83573797,25,"+",-0.004,1
"MmuEX0000269","1500009L16Rik",25,"gene_size",2,TRUE,23776,"1500009L16Rik","chr10",83573772,83573797,25,"+",0.005,1
"MmuEX0000308","1600020E01Rik",198,"gene_size",3,FALSE,15581,"1600020E01Rik","chr6",86527898,86528096,198,"+",-0.015,0.0689358505190031
"MmuEX0000308","1600020E01Rik",198,"gene_size",3,FALSE,15582,"1600020E01Rik","chr6",86527898,86528096,198,"+",-0.91,1
"MmuEX0000308","1600020E01Rik",198,"gene_size",3,TRUE,15583,"1600020E01Rik","chr6",86527898,86528096,198,"+",0.445,0.00355774422498217
"MmuEX0000546","1700037H04Rik",138,"gene_size_contained",5,FALSE,29149,"1700037H04Rik","chr2",130993537,130993676,139,"-",-0.002,1
"MmuEX0000546","1700037H04Rik",138,"gene_size_contained",5,FALSE,29150,"1700037H04Rik","chr2",130993537,130993676,139,"-",0.006,1
