"event_key","event_type","GeneID","geneSymbol","exon_length","size_category","dPSI","FDR","significant"
"chrX:100584365:100584607:100582793:100586069:SE","SE","ENSMUSG00000031314","Taf1",242,"Regular (>50bp)",0.005,1,FALSE
"chrX:100584428:100584607:100582793:100586069:SE","SE","ENSMUSG00000031314","Taf1",179,"Regular (>50bp)",0.006,1,FALSE
"chrX:100605679:100605893:100603550:100606419:SE","SE","ENSMUSG00000031314","Taf1",214,"Regular (>50bp)",-0.001,1,FALSE
"chrX:100621977:100622062:100621898:100633553:SE","SE","ENSMUSG00000031314","Taf1",85,"Regular (>50bp)",-0.002,1,FALSE
"chrX:100634339:100634345:100634195:100637545:SE","SE","ENSMUSG00000031314","Taf1",6,"Microexon (0-30bp)",0.201,5.80152882256624e-11,TRUE
"chrX:73326323:73326471:73325646:73326877:SE","SE","ENSMUSG00000009995","Tafazzin",148,"Regular (>50bp)",-0.035,1,FALSE
"chrX:73327537:73327623:73327299:73331624:SE","SE","ENSMUSG00000009995","Tafazzin",86,"Regular (>50bp)",-0.001,1,FALSE
"chrX:73327537:73327623:73327299:73331783:SE","SE","ENSMUSG00000009995","Tafazzin",86,"Regular (>50bp)",-0.009,1,FALSE
"chrX:73331624:73331705:73327299:73331783:SE","SE","ENSMUSG00000009995","Tafazzin",81,"Regular (>50bp)",-0.008,1,FALSE
"chrX:73331624:73331705:73327623:73331783:SE","SE","ENSMUSG00000009995","Tafazzin",81,"Regular (>50bp)",-0.005,1,FALSE
"chrX:73331627:73331705:73327623:73331783:SE","SE","ENSMUSG00000009995","Tafazzin",78,"Regular (>50bp)",-0.01,1,FALSE
"chrX:73331783:73331825:73331705:73332056:SE","SE","ENSMUSG00000009995","Tafazzin",42,"Small (30-50bp)",0.002,1,FALSE
"chrX:73331783:73331945:73331705:73332056:SE","SE","ENSMUSG00000009995","Tafazzin",162,"Regular (>50bp)",0.001,1,FALSE
"chrX:73332267:73332320:73332119:73332534:SE","SE","ENSMUSG00000009995","Tafazzin",53,"Regular (>50bp)",0.043,0.301793472289884,FALSE
"chrX:73332267:73332320:73332119:73332589:SE","SE","ENSMUSG00000009995","Tafazzin",53,"Regular (>50bp)",0.043,0.106974479234515,FALSE
"chrX:73332267:73332320:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",53,"Regular (>50bp)",-0.017,1,FALSE
"chrX:73332267:73332320:73332119:73332904:SE","SE","ENSMUSG00000009995","Tafazzin",53,"Regular (>50bp)",-0.015,1,FALSE
"chrX:73332534:73332625:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",91,"Regular (>50bp)",-0.351,0.00016329618048729,TRUE
"chrX:73332534:73332625:73332320:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",91,"Regular (>50bp)",-0.346,1.28203538694441e-10,TRUE
"chrX:73332589:73332625:73332119:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",36,"Small (30-50bp)",-0.365,0.000452701285271854,TRUE
"chrX:73332589:73332625:73332320:73332710:SE","SE","ENSMUSG00000009995","Tafazzin",36,"Small (30-50bp)",-0.314,3.98683260318424e-10,TRUE
"chrX:73332710:73332788:73332119:73332904:SE","SE","ENSMUSG00000009995","Tafazzin",78,"Regular (>50bp)",-0.005,1,FALSE
"chrX:73332710:73332788:73332320:73332904:SE","SE","ENSMUSG00000009995","Tafazzin",78,"Regular (>50bp)",-0.004,1,FALSE
"chrX:13391063:13391090:13388586:13392236:SE","SE","ENSMUSG00000031012","Cask",27,"Microexon (0-30bp)",0.022,0.0134963564687648,FALSE
"chrX:13410752:13410868:13404080:13415403:SE","SE","ENSMUSG00000031012","Cask",116,"Regular (>50bp)",0.01,1,FALSE
"chrX:13417185:13417221:13415600:13418611:SE","SE","ENSMUSG00000031012","Cask",36,"Small (30-50bp)",0.07,0.2055903003081,FALSE
