"GeneID","geneSymbol","n_selection_events","event_types","size_categories","event_coords","mean_dPSI"
"ENSMUSG00000031865","Dctn1",4,"MXE; SE","Microexon (0-30bp)","chr6:83160917-83160938; chr6:83160917-83160938; chr6:83163409-83163427; chr6:83164745-83164766",0.129
"ENSMUSG00000022973","Synj1",3,"SE","Small (30-50bp)","chr16:90743902-90743941; chr16:90744953-90745001; chr16:90746586-90746625",0.225
"ENSMUSG00000028078","Dclk2",3,"SE","Microexon (0-30bp); Small (30-50bp)","chr3:86695928-86695941; chr3:86695928-86695941; chr3:86738130-86738178",0.124
"ENSMUSG00000032599","Ip6k2",3,"MXE; SE","Small (30-50bp)","chr9:108673739-108673771; chr9:108673739-108673771; chr9:108673739-108673771",0.186
"ENSMUSG00000039126","Prune2",3,"SE","Small (30-50bp)","chr19:17189655-17189694; chr19:17189655-17189694; chr19:17193689-17193737",0.116
"ENSMUSG00000053046","Brsk2",3,"SE","Small (30-50bp)","chr7:141554578-141554623; chr7:141554578-141554626; chr7:141554578-141554626",0.164
"ENSMUSG00000069601","Ank3",3,"SE","Microexon (0-30bp); Small (30-50bp)","chr10:69765276-69765288; chr10:69789269-69789302; chr10:69816653-69816680",0.208
"ENSMUSG00000001143","Lman2l",2,"SE","Small (30-50bp)","chr1:36468503-36468536; chr1:36468503-36468536",0.216
"ENSMUSG00000009995","Tafazzin",2,"SE","Small (30-50bp)","chrX:73332589-73332625; chrX:73332589-73332625",-0.34
"ENSMUSG00000013973","Dedd",2,"SE","Small (30-50bp)","chr1:171158820-171158853; chr1:171158820-171158853",0.142
"ENSMUSG00000020300","Cpeb4",2,"SE","Microexon (0-30bp)","chr11:31868800-31868824; chr11:31868800-31868824",0.134
"ENSMUSG00000022139","Mbnl2",2,"SE","Small (30-50bp)","chr14:120640747-120640783; chr14:120640747-120640783",0.129
"ENSMUSG00000022770","Dlg1",2,"SE","Microexon (0-30bp); Small (30-50bp)","chr16:31673470-31673506; chr16:31673485-31673506",0.018
"ENSMUSG00000024163","Mapk8ip3",2,"MXE; SE","Microexon (0-30bp)","chr17:25127384-25127402; chr17:25127384-25127402",-0.021
