"event_key","event_type","GeneID","geneSymbol","chr","strand","exon_start","exon_end","exon_length","size_category","dPSI","FDR"
"chr1:9634047:9634096:9632003:9689774:SE","SE","ENSMUSG00000079671","2610203C22Rik","chr1","-",9634047,9634096,49,"Small (30-50bp)",0.117,0.000134592748575032
"chr18:24604118:24604141:24604037:24608581:SE","SE","ENSMUSG00000024273","2700062C07Rik","chr18","+",24604118,24604141,23,"Microexon (0-30bp)",-0.102,0.0216985677542389
"chr1:120093864:120093902:120099130:120099212:120088386:120115770:MXE","MXE","ENSMUSG00000026388","3110009E18Rik","chr1","+",120093864,120093902,38,"Small (30-50bp)",-0.198,0.0245662682184164
"chr2:22970679:22970712:22970465:22977496:SE","SE","ENSMUSG00000026781","Acbd5","chr2","+",22970679,22970712,33,"Small (30-50bp)",0.171,1.77638802543842e-12
"chr5:8136593:8136623:8132269:8161894:SE","SE","ENSMUSG00000040537","Adam22","chr5","-",8136593,8136623,30,"Microexon (0-30bp)",0.13,0.00900364149579749
"chr3:148532847:148532874:148532169:148533176:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148532847,148532874,27,"Microexon (0-30bp)",0.203,0.000209883033950081
"chr3:148566062:148566074:148565169:148571235:SE","SE","ENSMUSG00000028184","Adgrl2","chr3","-",148566062,148566074,12,"Microexon (0-30bp)",0.142,8.24021668515075e-05
"chr17:14111224:14111260:14109239:14116349:SE","SE","ENSMUSG00000068036","Afdn","chr17","+",14111224,14111260,36,"Small (30-50bp)",0.179,0
"chr4:156252233:156252266:156251963:156253002:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156252233,156252266,33,"Small (30-50bp)",0.13,4.01171260164633e-06
"chr4:156253002:156253026:156252266:156253189:SE","SE","ENSMUSG00000041936","Agrn","chr4","-",156253002,156253026,24,"Microexon (0-30bp)",0.323,0.00409956888691432
"chr13:59665466:59665504:59662109:59672959:SE","SE","ENSMUSG00000021557","Agtpbp1","chr13","-",59665466,59665504,38,"Small (30-50bp)",0.119,5.21793667820254e-06
"chr3:126772904:126772916:126770596:126775448:SE","SE","ENSMUSG00000032826","Ank2","chr3","-",126772904,126772916,12,"Microexon (0-30bp)",0.138,0.00303344410374097
"chr10:69765276:69765288:69763648:69768223:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69765276,69765288,12,"Microexon (0-30bp)",0.251,0.00548380560396285
"chr10:69789269:69789302:69786888:69791755:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69789269,69789302,33,"Small (30-50bp)",0.185,0.0151230474700185
"chr10:69816653:69816680:69816224:69817945:SE","SE","ENSMUSG00000069601","Ank3","chr10","+",69816653,69816680,27,"Microexon (0-30bp)",0.187,0.000174189054449646
"chr13:94680491:94680530:94679384:94684262:SE","SE","ENSMUSG00000021686","Ap3b1","chr13","+",94680491,94680530,39,"Small (30-50bp)",0.15,0
